,name,party,firstname,lastname,position,key,start_date,end_date,hallituskausi
4,"Häkämies, Jyri",Kokoomus,Jyri,Häkämies, Elinkeinoministeri;;,Jyri_Häkämies,22.6.2011,24.6.2014,Katainen
6,"Katainen, Jyrki",Kokoomus,Jyrki,Katainen, Pääministeri;;,Jyrki_Katainen,22.6.2011,24.6.2014,Katainen
8,"Koskinen, Jari",Kokoomus,Jari,Koskinen, Maa- ja metsätalousministeri;;,Jari_Koskinen,22.6.2011,24.6.2014,Katainen
52,"Räsänen, Päivi",Kristillisdemokraatit,Päivi,Räsänen, Sisäasiainministeri;; Sisäministeri;;,Päivi_Räsänen,22.6.2011,24.6.2014,Katainen
158,"Gustafsson, Jukka",SDP,Jukka,Gustafsson, Opetusministeri;;,Jukka_Gustafsson,22.6.2011,24.6.2014,Katainen
173,"Viitanen, Pia",SDP,Pia,Viitanen, Kulttuuri- ja asuntoministeri;; Asunto- ja viestintäministeri;;,Pia_Viitanen,22.6.2011,24.6.2014,Katainen
174,"Tuomioja, Erkki",SDP,Erkki,Tuomioja, Ulkoasiainministeri;;,Erkki_Tuomioja,22.6.2011,24.6.2014,Katainen
178,"Huovinen, Susanna",SDP,Susanna,Huovinen, Peruspalveluministeri;;,Susanna_Huovinen,22.6.2011,24.6.2014,Katainen
238,"Hautala, Heidi",Vihreät,Heidi,Hautala, Kehitysministeri;;,Heidi_Hautala,22.6.2011,24.6.2014,Katainen
360,"Risikko, Paula",Kokoomus,Paula,Risikko, Sosiaali- ja terveysministeri;;,Paula_Risikko,22.6.2011,24.6.2014,Katainen
399,"Urpilainen, Jutta",SDP,Jutta,Urpilainen, Pääministerin sijainen;; Valtiovarainministeri;;,Jutta_Urpilainen,22.6.2011,24.6.2014,Katainen
404,"Vapaavuori, Jan",Kokoomus,Jan,Vapaavuori, Elinkeinoministeri;;,Jan_Vapaavuori,22.6.2011,24.6.2014,Katainen
426,"Paavo, Arhinmäki",Vasemmistoliitto,Paavo,Arhinmäki, Kulttuuri- ja urheiluministeri;;,Paavo_Arhinmäki,22.6.2011,24.6.2014,Katainen
437,"Maria, Guzenina-Richardson",SDP,Maria,Guzenina-Richardson, Peruspalveluministeri;;,Maria_Guzenina-Richardson,22.6.2011,24.6.2014,Katainen
440,"Pekka, Haavisto",Vihreät,Pekka,Haavisto, Kehitysministeri;;,Pekka_Haavisto,22.6.2011,24.6.2014,Katainen
450,"Anna-Maja, Henriksson",RKP,Anna-Maja,Henriksson, Oikeusministeri;;,Anna-Maja_Henriksson,22.6.2011,24.6.2014,Katainen
491,"Krista, Kiuru",SDP,Krista,Kiuru, Opetus- ja viestintäministeri;; Opetusministeri;; Asunto- ja viestintäministeri;;,Krista_Kiuru,22.6.2011,24.6.2014,Katainen
506,"Merja, Kyllönen",Vasemmistoliitto,Merja,Kyllönen, Liikenneministeri;;,Merja_Kyllönen,22.6.2011,24.6.2014,Katainen
534,"Ville, Niinistö",Vihreät,Ville,Niinistö, Ympäristöministeri;;,Ville_Niinistö,22.6.2011,24.6.2014,Katainen
615,"Henna, Virkkunen",Kokoomus,Henna,Virkkunen, Hallinto- ja kuntaministeri;; Liikenne- ja kuntaministeri;;,Henna_Virkkunen,22.6.2011,24.6.2014,Katainen
623,"Stefan, Wallin",RKP,Stefan,Wallin, Puolustusministeri;;,Stefan_Wallin,22.6.2011,24.6.2014,Katainen
666,"Ihalainen, Lauri",SDP,Lauri,Ihalainen, Työministeri;;,Lauri_Ihalainen,22.6.2011,24.6.2014,Katainen
792,"Stubb, Alexander",Kokoomus,Alexander,Stubb, Eurooppa- ja ulkomaankauppaministeri;;,Alexander_Stubb,22.6.2011,24.6.2014,Katainen
858,"Guzenina, Maria",SDP,Maria,Guzenina, Peruspalveluministeri;;,Maria_Guzenina,22.6.2011,24.6.2014,Katainen
861,"Haglund, Carl",RKP,Carl,Haglund, Puolustusministeri;;,Carl_Haglund,22.6.2011,24.6.2014,Katainen
985,"Rinne, Antti",SDP,Antti,Rinne, Pääministerin sijainen;; Valtiovarainministeri;;,Antti_Rinne,22.6.2011,24.6.2014,Katainen
