,name,party,firstname,lastname,position,key,start_date,end_date,hallituskausi
61,"Enestam, Jan-Erik",RKP,Jan-Erik,Enestam, Ministeri ulkoasiainministeriössä;; Ympäristöministeri;;,Jan-Erik_Enestam,24.6.2003,19.4.2007,Vanhanen
70,"Wideroos, Ulla-Maj",RKP,Ulla-Maj,Wideroos, Toinen valtiovarainministeri;;,Ulla-Maj_Wideroos,24.6.2003,19.4.2007,Vanhanen
114,"Kiviniemi, Mari",Keskusta,Mari,Kiviniemi, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;;,Mari_Kiviniemi,24.6.2003,19.4.2007,Vanhanen
115,"Korkeaoja, Juha",Keskusta,Juha,Korkeaoja, Maa- ja metsätalousministeri;;,Juha_Korkeaoja,24.6.2003,19.4.2007,Vanhanen
116,"Kääriäinen, Seppo",Keskusta,Seppo,Kääriäinen, Puolustusministeri;;,Seppo_Kääriäinen,24.6.2003,19.4.2007,Vanhanen
117,"Lehtomäki, Paula",Keskusta,Paula,Lehtomäki, Ministeri valtioneuvoston kansliassa;; Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;; Ulkomaankauppa- ja kehitysministeri;;,Paula_Lehtomäki,24.6.2003,19.4.2007,Vanhanen
118,"Manninen, Hannes",Keskusta,Hannes,Manninen, Alue- ja kuntaministeri;; Ministeri ympäristöministeriössä;;,Hannes_Manninen,24.6.2003,19.4.2007,Vanhanen
119,"Pekkarinen, Mauri",Keskusta,Mauri,Pekkarinen, Kauppa- ja teollisuusministeri;;,Mauri_Pekkarinen,24.6.2003,19.4.2007,Vanhanen
121,"Vanhanen, Matti",Keskusta,Matti,Vanhanen, Pääministeri;;,Matti_Vanhanen,24.6.2003,19.4.2007,Vanhanen
155,"Hyssälä, Liisa",Keskusta,Liisa,Hyssälä, Peruspalveluministeri;;,Liisa_Hyssälä,24.6.2003,19.4.2007,Vanhanen
157,"Filatov, Tarja",SDP,Tarja,Filatov, Työministeri;;,Tarja_Filatov,24.6.2003,19.4.2007,Vanhanen
159,"Haatainen, Tuula",SDP,Tuula,Haatainen, Opetusministeri;; Sosiaali- ja terveysministeri;;,Tuula_Haatainen,24.6.2003,19.4.2007,Vanhanen
164,"Kalliomäki, Antti",SDP,Antti,Kalliomäki, Pääministerin sijainen;; Valtiovarainministeri;; Opetusministeri;;,Antti_Kalliomäki,24.6.2003,19.4.2007,Vanhanen
168,"Koskinen, Johannes",SDP,Johannes,Koskinen, Oikeusministeri;;,Johannes_Koskinen,24.6.2003,19.4.2007,Vanhanen
172,"Rajamäki, Kari",SDP,Kari,Rajamäki, Sisäasiainministeri;;,Kari_Rajamäki,24.6.2003,19.4.2007,Vanhanen
174,"Tuomioja, Erkki",SDP,Erkki,Tuomioja, Ulkoasiainministeri;;,Erkki_Tuomioja,24.6.2003,19.4.2007,Vanhanen
178,"Huovinen, Susanna",SDP,Susanna,Huovinen, Liikenne- ja viestintäministeri;;,Susanna_Huovinen,24.6.2003,19.4.2007,Vanhanen
188,"Luhtanen, Leena",SDP,Leena,Luhtanen, Oikeusministeri;; Liikenne- ja viestintäministeri;;,Leena_Luhtanen,24.6.2003,19.4.2007,Vanhanen
191,"Mönkäre, Sinikka",SDP,Sinikka,Mönkäre, Sosiaali- ja terveysministeri;;,Sinikka_Mönkäre,24.6.2003,19.4.2007,Vanhanen
240,"Heinäluoma, Eero",SDP,Eero,Heinäluoma, Pääministerin sijainen;; Valtiovarainministeri;;,Eero_Heinäluoma,24.6.2003,19.4.2007,Vanhanen
269,"Saarela, Tanja",Keskusta,Tanja,Saarela, Kulttuuriministeri;;,Tanja_Saarela,24.6.2003,19.4.2007,Vanhanen
623,"Stefan, Wallin",RKP,Stefan,Wallin, Ministeri ulkoasiainministeriössä;; Ympäristöministeri;;,Stefan_Wallin,24.6.2003,19.4.2007,Vanhanen
