score,document_id
16,3823673
10,2790385
10,3287467
8,2581083
8,96267154
8,96267241
4,2768185
4,2790166
4,2790348
4,2790389
4,2904845
4,2974304
4,3053576
4,3054169
4,3054978
4,3235397
4,3321443
4,3813971
4,3820969
4,3892616
4,96266576
2,2575860
2,2622220
2,2656787
2,2661998
2,2740992
2,2780178
2,2790384
2,2797412
2,2804892
2,2867706
2,2939809
2,2998990
2,3003389
2,3021636
2,3029611
2,3045346
2,3054168
2,3221603
2,3261863
2,3349593
2,3384260
2,3420762
2,3440796
2,3603286
2,3618062
2,3626354
2,3626923
2,3646145
2,3697609
2,3723110
2,3734674
2,3798840
2,3824843
2,3852800
2,3852886
2,3855980
2,3860084
2,3881220
2,3884222
2,3897525
2,4035866
2,4038274
2,4046421
2,4051045
2,4051900
2,4062553
2,4063701
2,4063785
2,4065293
2,4073380
2,4379716
2,4485280
2,4590169
2,4590313
2,4595442
2,4595843
2,4629433
2,4674166
2,5431428
2,5569583
