score,document_id
14,4748714
6,3950590
6,4379032
6,4393509
6,4394027
6,4394064
6,4394312
6,4394724
6,4493154
6,98042704
4,100976354
4,100977984
4,100979174
4,2567908
4,2694017
4,2727958
4,2742014
4,2774880
4,2786325
4,2798624
4,2799567
4,2875475
4,2907581
4,3022793
4,3630555
4,3695439
4,3747225
4,3749820
4,3809488
4,3813971
4,3816907
4,3818059
4,3818199
4,3818266
4,3819607
4,3819762
4,3853399
4,3898123
4,3898464
4,3957145
4,3957169
4,3962715
4,4194082
4,4196371
4,4196872
4,4197243
4,4197599
4,4197873
4,4249693
4,4250351
4,4250365
4,4250480
4,4255394
4,4256509
4,4256629
4,4257252
4,4257286
4,4257315
4,4257361
4,4257379
4,4391422
4,4392084
4,4394950
4,4395454
4,4414855
4,4470223
4,4833645
4,4833715
4,5247376
4,94551587
4,94563844
4,94571261
4,94581908
4,98042692
2,100973295
2,100973325
2,100973326
2,100973331
2,100979700
2,100979952
2,100980424
2,101182501
2,101185580
2,101186946
2,101187562
2,101718558
2,101718582
2,101718793
2,101718946
2,101718960
2,101719364
2,101719774
2,101719987
2,101720200
2,101955691
2,101957182
2,101957807
2,101958987
2,101959053
2,101959390
2,101965681
2,102023604
2,102080577
2,2525046
2,2529353
2,2533265
2,2537151
2,2537722
2,2541588
2,2548345
2,2572164
2,2572166
2,2574716
2,2576348
2,2577718
2,2581575
2,2588986
2,2608937
2,2626909
2,2631297
2,2644082
2,2647277
2,2662543
2,2664100
2,2667101
2,2668101
2,2668841
2,2669977
2,2670851
2,2671987
2,2673054
2,2677012
2,2685630
2,2691951
2,2696126
2,2705647
2,2706047
2,2706226
2,2706983
2,2707004
2,2714304
2,2714757
2,2714873
2,2714875
2,2723984
2,2727067
2,2728078
2,2751920
2,2760785
2,2761426
2,2771560
2,2772207
2,2772678
2,2774965
2,2775025
2,2777655
2,2777858
2,2780182
2,2781518
2,2781939
2,2782593
2,2786026
2,2790426
2,2820150
2,2820498
2,2820600
2,2820890
2,2822932
2,2823424
2,2823920
2,2824124
2,2826876
2,2829988
2,2831365
2,2837082
2,2837910
2,2839284
2,2852197
2,2854790
2,2855009
2,2872161
2,2874188
2,2882117
2,2882190
2,2890623
2,2896185
2,2900607
2,2902416
2,2903618
2,2904415
2,2913856
2,2914833
2,2915353
2,2929867
2,2936424
2,2937759
2,2947914
2,2948029
2,2955917
2,2957101
2,2957822
2,2965756
2,2968639
2,2974239
2,2989674
2,2994699
2,2998448
2,3000322
2,3002531
2,3020189
2,3020197
2,3023213
2,3025782
2,3028551
2,3030932
2,3030941
2,3030952
2,3031309
2,3032033
2,3032046
2,3032496
2,3032620
2,3033075
2,3033606
2,3033681
2,3034164
2,3036067
2,3036072
2,3039411
2,3042260
2,3044037
2,3045214
2,3045297
2,3045329
2,3045348
2,3046670
2,3047506
2,3051254
2,3051967
2,3053610
2,3054175
2,3055276
2,3056181
2,3221004
2,3231329
2,3233153
2,3294634
2,3297760
2,3352093
2,3366770
2,3377502
2,3381333
2,3387394
2,3405643
2,3406482
2,3407941
2,3408511
2,3410148
2,3411029
2,3411840
2,3411861
2,3416671
2,3416691
2,3416712
2,3418379
2,3418392
2,3418421
2,3418787
2,3422098
2,3422692
2,3425781
2,3427997
2,3431914
2,3432012
2,3437325
2,3437662
2,3437672
2,3438472
2,3447078
2,3454211
2,3459310
2,3461191
2,3464793
2,3467601
2,3546187
2,3559819
2,3560629
2,3567197
2,3568188
2,3574854
2,3575406
2,3575422
2,3580855
2,3600449
2,3600495
2,3601837
2,3601876
2,3601948
2,3603286
2,3605702
2,3609919
2,3612205
2,3621463
2,3621569
2,3623295
2,3626885
2,3630222
2,3634914
2,3635485
2,3646540
2,3653299
2,3670921
2,3674638
2,3684201
2,3688588
2,3690189
2,3692974
2,3693671
2,3708270
2,3709483
2,3709690
2,3710959
2,3714402
2,3715536
2,3722504
2,3723110
2,3733777
2,3734674
2,3734790
2,3744314
2,3746977
2,3747692
2,3748329
2,3749205
2,3749282
2,3749431
2,3763064
2,3763142
2,3764928
2,3769763
2,3770297
2,3775663
2,3775709
2,3775718
2,3776577
2,3777307
2,3777515
2,3787036
2,3789495
2,3799362
2,3799675
2,3800722
2,3800780
2,3800785
2,3804080
2,3807695
2,3809494
2,3810286
2,3811137
2,3812416
2,3812495
2,3812506
2,3812531
2,3812873
2,3818799
2,3819758
2,3821344
2,3821395
2,3825036
2,3831251
2,3831518
2,3831608
2,3831628
2,3832070
2,3834354
2,3835164
2,3835178
2,3835497
2,3835510
2,3835511
2,3835565
2,3836204
2,3836769
2,3837128
2,3837852
2,3838644
2,3844002
2,3847157
2,3847637
2,3857570
2,3857918
2,3860220
2,3870534
2,3873069
2,3875757
2,3877509
2,3877855
2,3877950
2,3879292
2,3881902
2,3884556
2,3888770
2,3895133
2,3896201
2,3896386
2,3897201
2,3897847
2,3898015
