score,document_id
8,3623284
8,3832716
8,3833364
8,5543937
8,5544082
6,102311797
6,102388646
6,102456388
6,102519908
6,2938594
6,3570441
6,3667988
6,3950590
6,4387261
6,4400432
6,4611674
6,4628594
6,4641107
6,4889483
6,4901455
6,5509906
6,94688638
6,99118407
4,102092559
4,102110873
4,102155766
4,102177948
4,102193558
4,102206658
4,102261845
4,102306246
4,102317149
4,102340269
4,102393382
4,102403251
4,102456392
4,102460662
4,102478342
4,102504695
4,2670308
4,2671635
4,2676904
4,2678281
4,2693256
4,2715407
4,2813784
4,2813955
4,2815185
4,2951290
4,2975645
4,3432367
4,3438008
4,3558598
4,3559843
4,3575466
4,3585710
4,3589532
4,3601072
4,3603491
4,3610953
4,3615533
4,3619376
4,3623309
4,3623346
4,3623369
4,3623424
4,3623433
4,3623438
4,3623443
4,3626298
4,3629761
4,3631037
4,3632372
4,3632428
4,3632436
4,3658777
4,3667435
4,3667467
4,3672678
4,3677427
4,3695439
4,3706959
4,3787134
4,3813971
4,3838093
4,3840061
4,3840238
4,3840361
4,3840399
4,3841262
4,3995836
4,4005524
4,4020644
4,4044961
4,4111703
4,4161992
4,4162103
4,4162176
4,4229414
4,4231024
4,4254685
4,4255532
4,4335948
4,4370897
4,4385543
4,4399382
4,4405436
4,4406783
4,4410335
4,4411693
4,4413649
4,4413746
4,4422060
4,4424278
4,4451165
4,4593574
4,4612071
4,4618258
4,4679673
4,4812985
4,4819428
4,4830751
4,4849145
4,4868421
4,4869052
4,4871754
4,4888770
4,4896881
4,4908651
4,4915817
4,4915823
4,4916330
4,4916373
4,4916643
4,4916796
4,5053841
4,5073308
4,5077343
4,5079489
4,5091170
4,5099163
4,5099907
4,5100897
4,5120505
4,5227555
4,5227714
4,5246531
4,5261740
4,5366324
4,5429833
4,5454546
4,5491520
4,5536136
4,5536320
4,94562604
4,94569199
4,94570798
4,94575709
4,94686776
4,94687071
4,94687311
4,94687317
4,94687547
4,94687739
4,94687944
4,94688154
4,94688388
4,94688577
4,94688581
4,94688773
4,94688835
4,94689187
4,94689532
4,94689542
4,94689858
4,96609993
4,97226691
4,98101166
4,98800875
4,98801838
4,98804190
4,98805209
4,99444675
2,100237298
2,100237640
2,100237711
2,100237818
2,100343259
2,100343937
2,100400669
2,100400849
2,100517412
2,100518363
2,100520139
2,100520990
2,100551373
2,100566758
2,100566911
2,100567170
2,100705304
2,100705989
2,100761913
2,100762237
2,100786633
2,100787147
2,100856431
2,100856743
2,100952708
2,100953534
2,100955268
2,100955976
2,101160880
2,101161037
2,101166541
2,101167365
2,101168586
2,101168743
2,101193668
2,101207030
2,101374838
2,101374854
2,101375733
2,101413566
2,101418741
2,101523196
2,101523366
2,101523723
2,101579212
2,101579964
2,101580142
2,101580355
2,101580366
2,101682038
2,101847544
2,101848606
2,101850659
2,101852202
2,101852214
2,101853216
2,101900539
2,101909572
2,101910249
2,101911997
2,101912793
2,102037490
2,102037550
2,102037867
2,102054668
2,102075494
2,102107158
2,102107907
2,102109405
2,102110141
2,102306201
2,102317687
2,102317712
2,102317789
2,102352158
2,102373500
2,102403307
2,102460527
2,102487598
2,102487601
2,2509146
2,2514640
2,2515407
2,2516819
2,2517106
2,2518458
2,2518918
2,2521505
2,2522403
2,2523565
2,2538673
2,2543411
2,2547891
2,2553179
2,2563527
2,2613138
2,2660317
2,2660677
2,2662944
2,2663241
2,2663832
2,2664319
2,2665103
2,2666543
2,2666990
2,2668027
2,2668425
2,2668859
2,2670716
2,2672403
2,2673996
2,2674225
2,2674257
2,2674587
2,2675063
2,2675807
2,2677392
2,2678311
2,2678631
2,2679365
2,2679502
2,2680174
2,2680614
2,2680738
2,2681475
2,2681576
2,2681804
2,2681945
2,2681978
2,2683763
2,2684060
2,2684071
2,2688846
2,2688873
2,2689459
2,2689485
2,2690700
2,2691145
2,2691153
2,2691258
2,2691547
2,2691552
2,2692277
2,2693795
2,2696187
2,2697116
2,2697286
2,2697363
2,2698039
2,2699036
2,2699418
2,2699496
2,2699807
2,2699809
2,2699813
2,2700723
2,2700726
2,2701301
2,2701895
2,2702138
2,2702242
2,2702527
2,2702749
2,2703610
2,2703701
2,2705681
2,2705704
2,2706081
2,2706583
2,2707254
2,2708779
2,2709295
2,2709757
2,2712043
2,2712593
2,2713303
2,2714090
2,2714092
2,2714101
2,2714347
2,2714359
2,2714483
2,2714821
2,2714825
2,2715356
2,2716002
2,2716039
2,2716042
2,2716055
2,2716083
2,2716100
2,2716465
2,2716522
2,2717442
2,2717447
2,2717677
2,2718444
2,2718509
2,2718558
2,2719262
2,2719679
2,2719828
2,2719835
2,2719837
2,2720273
2,2720614
2,2721362
2,2721439
2,2722139
2,2722153
2,2722802
2,2722807
2,2723290
2,2723757
2,2725011
2,2725112
2,2726602
2,2726956
2,2728277
2,2728549
2,2729148
2,2730792
2,2730833
2,2733272
2,2733411
2,2733614
2,2753498
2,2757645
2,2758543
2,2771097
2,2771276
2,2783352
2,2823920
2,2839488
2,2840548
2,2843574
2,2844171
2,2854087
2,2854473
2,2862141
2,2862380
2,2862510
2,2862707
2,2863060
2,2863128
2,2863457
2,2863591
2,2863985
2,2864317
2,2864323
2,2866331
2,2866633
2,2867808
2,2868722
2,2868962
2,2869295
2,2869892
2,2869969
2,2870039
2,2888720
2,2889303
2,2894047
2,2895304
2,2895365
2,2896151
2,2896153
2,2896474
2,2896488
2,2896682
2,2896700
2,2896701
2,2896899
2,2897301
2,2899324
2,2899938
2,2900478
2,2901527
2,2904713
2,2907301
2,2915508
2,2920123
2,2920242
2,2920423
2,2922017
2,2933151
2,2933546
2,2933548
2,2933592
2,2933652
2,2933717
2,2933831
2,2938270
2,2938280
2,2939600
2,2940620
2,2941342
