score,document_id
20,20-30278
16,3-9077787
12,20-92991
10,3-9781482
8,3-10135096
8,3-6368426
8,3-6388203
8,3-8254435
6,3-10133155
6,3-5058939
6,3-5448063
6,3-5550761
6,3-5644666
6,3-5897465
6,3-5995278
6,3-6029162
6,3-6067344
6,3-6202034
6,3-6249322
6,3-6358722
6,3-6368141
6,3-6687295
6,3-6774177
6,3-7115467
6,3-7726795
6,3-7855276
6,3-8444372
6,3-8632141
6,3-9731921
6,3-9775300
4,20-131320
4,20-93001
4,20-93141
4,3-10430891
4,3-5403276
4,3-5477567
4,3-5477606
4,3-5621924
4,3-5698245
4,3-5715569
4,3-5766550
4,3-5959349
4,3-5970665
4,3-5974039
4,3-5981261
4,3-6071977
4,3-6182549
4,3-6369267
4,3-6389664
4,3-7779596
4,3-8239308
4,3-9360963
4,3-9732087
2,20-103074
2,20-117606
2,20-138686
2,20-163354
2,20-30280
2,20-92855
2,20-92993
2,20-93101
2,20-93137
2,3-10132486
2,3-10236213
2,3-10370170
2,3-5128799
2,3-5141729
2,3-5141731
2,3-5161561
2,3-5220735
2,3-5244569
2,3-5248438
2,3-5298230
2,3-5476223
2,3-5476757
2,3-5477181
2,3-5531738
2,3-5597789
2,3-5598885
2,3-5616524
2,3-5616960
2,3-5621810
2,3-5624991
2,3-5643285
2,3-5673658
2,3-5690194
2,3-5696233
2,3-5717478
2,3-5725094
2,3-5733569
2,3-5744300
2,3-5747048
2,3-5754996
2,3-5759672
2,3-5766535
2,3-5778554
2,3-5860269
2,3-5877816
2,3-5892051
2,3-5925109
2,3-5925784
2,3-5936420
2,3-5945254
2,3-5945355
2,3-5945406
2,3-5948622
2,3-5949314
2,3-5949648
2,3-5949883
2,3-5956143
2,3-5956960
2,3-5959348
2,3-5959962
2,3-5960512
2,3-5960805
2,3-5960848
2,3-5961135
2,3-5961344
2,3-5961351
2,3-5961373
2,3-5961377
2,3-5961395
2,3-5970757
2,3-5971862
2,3-5980687
2,3-5981212
2,3-5981805
2,3-5983471
2,3-5987819
2,3-6003184
2,3-6028967
2,3-6029526
2,3-6030093
2,3-6030318
2,3-6030339
2,3-6038702
2,3-6042103
2,3-6042141
2,3-6043159
2,3-6049846
2,3-6055600
2,3-6057048
2,3-6063408
2,3-6065532
2,3-6071209
2,3-6071482
2,3-6071942
2,3-6071961
2,3-6142655
2,3-6149998
2,3-6160421
2,3-6174769
2,3-6200753
2,3-6202100
2,3-6246675
2,3-6286012
2,3-6369279
2,3-6389767
2,3-6395938
2,3-6551200
2,3-6759497
2,3-6775375
2,3-6924469
2,3-7116269
2,3-7124376
2,3-7188061
2,3-7609873
2,3-7846072
2,3-7851742
2,3-7873753
2,3-7902115
2,3-7907196
2,3-7940228
2,3-8974202
2,3-9455341
2,3-9733419
2,3-9892805
2,3-9912912
2,3-9978866
