score,document_id
14,3-8791432
12,3-5509547
12,3-5898102
12,3-7192367
10,3-5240120
10,3-8853500
8,3-5071450
8,3-5093149
8,3-5753390
8,3-6776914
8,3-8407534
6,3-10106585
6,3-10167849
6,3-5158632
6,3-5158648
6,3-5425740
6,3-5754585
6,3-5756290
6,3-5779059
6,3-6015302
6,3-6994731
6,3-7130127
6,3-7595656
6,3-8707549
6,3-9248604
6,3-9901033
4,3-10018203
4,3-10267462
4,3-10442658
4,3-5307427
4,3-5449130
4,3-5752651
4,3-5752912
4,3-5754883
4,3-5762660
4,3-5779887
4,3-6814778
4,3-7458109
4,3-8060054
4,3-8642807
2,20-262738
2,20-30286
2,20-30290
2,3-10020344
2,3-10033870
2,3-10114298
2,3-10166716
2,3-10168580
2,3-10343926
2,3-10376397
2,3-10416608
2,3-10518705
2,3-5158645
2,3-5162357
2,3-5162459
2,3-5192824
2,3-5222018
2,3-5222103
2,3-5316325
2,3-5342712
2,3-5344516
2,3-5344620
2,3-5568207
2,3-5579533
2,3-5664567
2,3-5749962
2,3-5750972
2,3-5752787
2,3-5752900
2,3-5753110
2,3-5753320
2,3-5756085
2,3-5778576
2,3-5779025
2,3-5779143
2,3-5793927
2,3-5810561
2,3-5886891
2,3-5913851
2,3-5966546
2,3-6014217
2,3-6015139
2,3-6095870
2,3-6156955
2,3-6354440
2,3-6364715
2,3-6365466
2,3-6616239
2,3-6807972
2,3-6826385
2,3-6829094
2,3-6829124
2,3-6884181
2,3-6885864
2,3-6906352
2,3-7020541
2,3-7020887
2,3-7036843
2,3-7038417
2,3-7069280
2,3-7482273
2,3-7646887
2,3-7657718
2,3-7670965
2,3-7678882
2,3-7938719
2,3-7939349
2,3-8097052
2,3-8098568
2,3-8332846
2,3-8399777
2,3-8613393
2,3-8665784
2,3-8752472
2,3-8847078
2,3-8877780
2,3-9282431
2,3-9297801
2,3-9331949
2,3-9362355
2,3-9453662
2,3-9551598
2,3-9694219
2,3-9887112
