score,document_id
18,3-10147935
12,3-10291735
10,3-9318747
8,3-10174143
8,3-5639106
6,3-10172971
6,3-10173484
6,3-10179516
6,3-10181994
6,3-5762468
6,3-8654529
6,3-9926115
4,20-115879
4,3-5375786
4,3-5674649
4,3-5711473
4,3-9047715
2,20-113192
2,20-116446
2,20-117545
2,20-160128
2,20-192742
2,20-82449
2,20-82453
2,20-93293
2,3-5124964
2,3-5124967
2,3-5136452
2,3-5137838
2,3-5147687
2,3-5148305
2,3-5177025
2,3-5195017
2,3-5195041
2,3-5223271
2,3-5225332
2,3-5321136
2,3-5344484
2,3-5346401
2,3-5376346
2,3-5588860
2,3-5634807
2,3-5675767
2,3-5679211
2,3-5683083
2,3-5719241
2,3-5749126
2,3-5751800
2,3-5754938
2,3-5754996
2,3-5759466
2,3-5759500
2,3-5811116
2,3-5826385
2,3-5829637
2,3-5887479
2,3-6071733
2,3-6114686
2,3-6115450
2,3-6687285
2,3-7209727
2,3-8089886
2,3-8108979
2,3-8659446
2,3-9128082
2,3-9737289
2,3-9745373
2,3-9802064
