score,document_id
14,3-10548302
14,3-9870228
12,20-34719
12,3-10235174
12,3-5627935
12,3-7481460
12,3-9570416
10,3-10103679
10,3-10484312
10,3-5382478
10,3-5781978
10,3-6391169
10,3-6430767
10,3-6443598
10,3-7547723
10,3-7770433
10,3-8870543
10,3-9409853
10,3-9506623
10,3-9557739
10,3-9558938
10,3-9882315
10,3-9928953
8,3-10187590
8,3-10246281
8,3-5518487
8,3-5784888
8,3-5978818
8,3-6242374
8,3-6430423
8,3-6444359
8,3-6569550
8,3-6813372
8,3-6937521
8,3-7034120
8,3-7176427
8,3-7199423
8,3-7215799
8,3-7405066
8,3-7456242
8,3-7472463
8,3-7505015
8,3-7636159
8,3-7732934
8,3-7792206
8,3-7813267
8,3-7828939
8,3-8647752
8,3-8776477
8,3-8820620
8,3-8854335
8,3-9556097
8,3-9557798
6,20-32120
6,3-10014117
6,3-10064309
6,3-10399133
6,3-10433835
6,3-10450238
6,3-5089415
6,3-5271343
6,3-5319840
6,3-5322313
6,3-5496351
6,3-5509468
6,3-5578893
6,3-5613506
6,3-5830118
6,3-5836490
6,3-5836923
6,3-5866090
6,3-5945589
6,3-6113292
6,3-6130326
6,3-6171893
6,3-6176919
6,3-6354291
6,3-6355976
6,3-6379036
6,3-6389309
6,3-6409432
6,3-6423988
6,3-6431664
6,3-6485776
6,3-6563354
6,3-6566448
6,3-6586955
6,3-6591017
6,3-6617889
6,3-6720894
6,3-6743949
6,3-6744985
6,3-6745034
6,3-6770989
6,3-6774172
6,3-6785614
6,3-6787991
6,3-6834165
6,3-6868553
6,3-6874032
6,3-6902756
6,3-6905252
6,3-6934099
6,3-6946024
6,3-6997920
6,3-7015142
6,3-7047290
6,3-7080672
6,3-7117106
6,3-7117720
6,3-7126597
6,3-7148082
6,3-7159533
6,3-7176063
6,3-7178169
6,3-7182665
6,3-7183184
6,3-7200090
6,3-7203698
6,3-7211093
6,3-7213492
6,3-7219614
6,3-7230028
6,3-7233628
6,3-7236133
6,3-7250989
6,3-7271408
6,3-7278968
6,3-7285030
6,3-7295960
6,3-7299211
6,3-7299281
6,3-7406143
6,3-7412474
6,3-7453532
6,3-7472369
6,3-7472441
6,3-7476058
6,3-7477873
6,3-7481553
6,3-7490387
