score,document_id
16,3-10437016
14,3-10409819
14,3-5345138
12,20-239402
12,3-10428751
10,20-108298
10,20-155842
10,20-178973
10,3-5345474
10,3-5368682
10,3-5524815
10,3-6594512
8,20-233095
8,3-10411222
8,3-10426998
8,3-7792394
6,20-110418
6,20-239406
6,3-5351968
6,3-6666255
6,3-7590137
6,3-7658693
6,3-7686827
6,3-7785595
6,3-8900693
4,20-155840
4,20-72234
4,3-5332732
4,3-5345988
4,3-5393968
4,3-5495850
4,3-5711604
4,3-5778382
4,3-5778399
4,3-5838155
4,3-5904856
4,3-6282068
4,3-6505781
4,3-7623998
4,3-8702629
2,20-115898
2,20-138790
2,20-154703
2,20-155684
2,20-155919
2,20-156081
2,20-158198
2,20-159709
2,20-163078
2,20-163597
2,20-163819
2,20-167522
2,20-168452
2,20-178927
2,20-178953
2,20-208572
2,20-219070
2,20-221254
2,20-227676
2,20-228240
2,20-237845
2,20-238977
2,20-251325
2,20-253653
2,20-272047
2,20-277185
2,20-60148
2,3-10096326
2,3-10282658
2,3-10368856
2,3-10413133
2,3-10436005
2,3-10438243
2,3-10455729
2,3-10466472
2,3-10473440
2,3-10479793
2,3-10535918
2,3-10543521
2,3-5295148
2,3-5341910
2,3-5344484
2,3-5345068
2,3-5345824
2,3-5381128
2,3-5386213
2,3-5424254
2,3-5457114
2,3-5619229
2,3-5621391
2,3-5650726
2,3-5752630
2,3-5778664
2,3-5904383
2,3-5914229
2,3-5914972
2,3-6360187
2,3-6447730
2,3-6488757
2,3-6514622
2,3-6515268
2,3-6591820
2,3-6607658
2,3-6610109
2,3-6838938
2,3-7502875
2,3-7624365
2,3-7639621
2,3-7639904
2,3-7640743
2,3-7641108
2,3-7653657
2,3-7656436
2,3-7685816
2,3-7938822
2,3-7939836
2,3-8042602
2,3-8060054
2,3-8529289
2,3-8680448
2,3-8838261
2,3-8890370
2,3-8900225
2,3-9154304
2,3-9674798
2,3-9774173
