score,document_id
16,3-7942204
14,3-5056650
14,3-7079148
12,3-5060060
12,3-5071259
12,3-5421682
12,3-5466918
12,3-6548928
12,3-6993778
10,3-5518586
10,3-5632823
10,3-6242374
10,3-6354296
10,3-6542373
10,3-6629975
10,3-6646909
10,3-6742949
10,3-6868554
10,3-6948761
10,3-7458364
10,3-7486693
10,3-7847354
10,3-7939510
10,3-9258403
8,3-5054832
8,3-5078225
8,3-5345827
8,3-5356081
8,3-5361728
8,3-5383273
8,3-6076965
8,3-6479371
8,3-6610788
8,3-6875256
8,3-7477514
8,3-7629939
8,3-7939419
6,3-5063535
6,3-5069992
6,3-5087634
6,3-5099303
6,3-5138064
6,3-5344625
6,3-5345805
6,3-5358334
6,3-5377769
6,3-5788391
6,3-5918306
6,3-6076003
6,3-6247740
6,3-6249362
6,3-6303101
6,3-6345912
6,3-6360985
6,3-6381975
6,3-6447146
6,3-6474951
6,3-6511261
6,3-6567913
6,3-6571837
6,3-6619629
6,3-6620600
6,3-6633688
6,3-6638304
6,3-6648594
6,3-6649015
6,3-6686672
6,3-6734192
6,3-6773105
6,3-6774893
6,3-6775558
6,3-6796762
6,3-6940372
6,3-7152371
6,3-7186495
6,3-7234977
6,3-7267872
6,3-7281254
6,3-7301221
6,3-7417648
6,3-7449316
6,3-7538356
6,3-7609829
6,3-7661737
6,3-7699087
6,3-7773751
6,3-7857851
6,3-7886655
6,3-7939494
6,3-7948209
4,20-111767
4,3-5077440
4,3-5117426
4,3-5126427
4,3-5137971
4,3-5140431
4,3-5149293
4,3-5159594
4,3-5162595
4,3-5171612
4,3-5192828
4,3-5192841
4,3-5192913
4,3-5192923
4,3-5192991
4,3-5194082
4,3-5218584
4,3-5340557
4,3-5348568
4,3-5353659
4,3-5363279
4,3-5364117
4,3-5370473
4,3-5374128
4,3-5380224
4,3-5380397
4,3-5386953
4,3-5410711
4,3-5410915
4,3-5412401
4,3-5412434
4,3-5412827
4,3-5413172
4,3-5445317
4,3-5457951
4,3-5461021
4,3-5524262
4,3-5754490
4,3-5756928
4,3-5756940
4,3-5757374
4,3-5759148
4,3-5788444
4,3-5864404
4,3-5878789
4,3-5935283
4,3-6121292
4,3-6171975
4,3-6244255
4,3-6447100
4,3-6516844
4,3-6517496
4,3-6521598
4,3-6693095
4,3-6947550
4,3-6992892
4,3-7042619
4,3-7071021
4,3-7081645
4,3-7173878
4,3-7220286
4,3-7305366
4,3-7314704
4,3-7382074
4,3-7385608
4,3-7404452
4,3-7414330
4,3-7441399
4,3-7445491
4,3-7485021
4,3-7494006
4,3-7655356
4,3-7690363
4,3-7767029
4,3-7830573
4,3-7939501
4,3-7949651
4,3-7954684
2,20-129663
2,20-24942
2,20-24958
2,20-253647
2,20-263352
2,20-277839
2,3-10087539
2,3-10088532
2,3-10140027
2,3-5055101
2,3-5069714
2,3-5070613
2,3-5079287
2,3-5079823
2,3-5091646
2,3-5094065
2,3-5095451
2,3-5110673
2,3-5110691
2,3-5110692
2,3-5110719
2,3-5110762
2,3-5110799
2,3-5113301
2,3-5113419
2,3-5116349
2,3-5120322
2,3-5120612
2,3-5120748
2,3-5120946
2,3-5121300
2,3-5121525
2,3-5122820
2,3-5123019
2,3-5123379
2,3-5123704
2,3-5123719
2,3-5123784
2,3-5124090
2,3-5124298
2,3-5124422
2,3-5124890
2,3-5124982
2,3-5124991
2,3-5126850
2,3-5127635
2,3-5127667
2,3-5127970
2,3-5135052
2,3-5136953
2,3-5137838
2,3-5138669
2,3-5139096
2,3-5139332
2,3-5139394
2,3-5139430
2,3-5139450
2,3-5139567
2,3-5139947
2,3-5140271
2,3-5140555
2,3-5140752
2,3-5140878
2,3-5141141
2,3-5141263
2,3-5141323
2,3-5141373
2,3-5143040
2,3-5143089
2,3-5143093
2,3-5143423
2,3-5143610
2,3-5145373
2,3-5145384
2,3-5145601
2,3-5145856
2,3-5147245
2,3-5149313
2,3-5149387
2,3-5150125
2,3-5150128
2,3-5150142
2,3-5151748
2,3-5153875
2,3-5154160
2,3-5155005
2,3-5159595
2,3-5161053
2,3-5161384
2,3-5162323
2,3-5162357
2,3-5162364
2,3-5162643
2,3-5162650
2,3-5163996
2,3-5167530
2,3-5170544
2,3-5170763
2,3-5174869
2,3-5175113
2,3-5178279
2,3-5183696
2,3-5192821
2,3-5192824
2,3-5192939
2,3-5192966
2,3-5193313
2,3-5193367
2,3-5193838
2,3-5194143
2,3-5194226
2,3-5195017
2,3-5195938
2,3-5217126
2,3-5217229
2,3-5217956
2,3-5218092
2,3-5219483
2,3-5220798
2,3-5221372
2,3-5223129
2,3-5223859
2,3-5224031
2,3-5225686
2,3-5314161
2,3-5317476
2,3-5317566
2,3-5341987
2,3-5344429
2,3-5344527
2,3-5345294
2,3-5347259
2,3-5348700
2,3-5351652
2,3-5352592
2,3-5355089
2,3-5358663
2,3-5368253
2,3-5370327
2,3-5374127
2,3-5377974
2,3-5378788
2,3-5380280
2,3-5382380
2,3-5387575
2,3-5387640
2,3-5400098
2,3-5407271
2,3-5415407
2,3-5419791
2,3-5421106
2,3-5426890
2,3-5431124
2,3-5467790
2,3-5471511
2,3-5475064
2,3-5556336
2,3-5569506
2,3-5570690
2,3-5571007
2,3-5571010
2,3-5571013
2,3-5620986
2,3-5625779
2,3-5645406
2,3-5686370
2,3-5686867
2,3-5690442
2,3-5691579
2,3-5693320
2,3-5694058
2,3-5744139
2,3-5744545
2,3-5748747
2,3-5750230
2,3-5750389
2,3-5750601
2,3-5752897
2,3-5753871
2,3-5753891
2,3-5754348
2,3-5754655
2,3-5756710
2,3-5756804
2,3-5756808
2,3-5762152
2,3-5762442
2,3-5762532
2,3-5763501
2,3-5778015
2,3-5778554
2,3-5813870
2,3-5838688
2,3-5838739
2,3-5838764
2,3-5838873
2,3-5838912
2,3-5854154
2,3-5907877
2,3-5945786
2,3-5981105
2,3-5984331
2,3-6090781
2,3-6112196
2,3-6117717
2,3-6126097
2,3-6133465
2,3-6137716
2,3-6165233
2,3-6177718
2,3-6177805
2,3-6178012
2,3-6180109
2,3-6180431
2,3-6208713
2,3-6216186
2,3-6248984
2,3-6283727
2,3-6301113
2,3-6301754
2,3-6302545
2,3-6326860
2,3-6331663
2,3-6332491
2,3-6345706
2,3-6349400
2,3-6354463
2,3-6360306
2,3-6361765
2,3-6364360
2,3-6387869
2,3-6390267
2,3-6413632
2,3-6436124
2,3-6446534
2,3-6446824
2,3-6446885
2,3-6448440
2,3-6451426
2,3-6470609
2,3-6479462
2,3-6482234
2,3-6484487
2,3-6485963
2,3-6526468
2,3-6528831
2,3-6542630
2,3-6548760
2,3-6548849
2,3-6549337
2,3-6549788
2,3-6550054
2,3-6565214
2,3-6575894
2,3-6577050
2,3-6588880
2,3-6588981
2,3-6590437
2,3-6593022
2,3-6611031
2,3-6614778
2,3-6629416
2,3-6643686
2,3-6645851
2,3-6647650
2,3-6649053
2,3-6669747
2,3-6673290
2,3-6697150
2,3-6732588
2,3-6739233
2,3-6741244
2,3-6755628
2,3-6760271
2,3-6776145
2,3-6804487
2,3-6806438
2,3-6832565
2,3-6871358
2,3-6876018
2,3-6905684
2,3-6929594
2,3-6945508
2,3-6947404
2,3-6982797
2,3-6988964
2,3-6993319
2,3-7023632
2,3-7032393
2,3-7056713
2,3-7066038
2,3-7066450
2,3-7066597
2,3-7078793
2,3-7093881
2,3-7100463
2,3-7124021
2,3-7156015
2,3-7156100
2,3-7157236
2,3-7160328
2,3-7160417
2,3-7162047
2,3-7167427
2,3-7172486
