score,document_id
36,3-8402706
24,3-9413976
22,3-9656605
20,3-10471502
20,3-9711720
18,3-9666346
16,3-10247061
16,3-10345067
16,3-10548348
16,3-6918054
16,3-7597511
16,3-7895776
16,3-8733076
16,3-9626565
16,3-9873428
14,3-10452789
14,3-6094526
14,3-6710056
14,3-7900419
14,3-7918883
14,3-7927493
14,3-8025197
14,3-8276597
14,3-8337017
14,3-8831183
14,3-9095581
14,3-9340995
14,3-9493699
14,3-9921684
14,3-9960609
12,20-137474
12,3-10114128
12,3-10223944
12,3-10254094
12,3-6242374
12,3-6537233
12,3-6664938
12,3-6919419
12,3-7158303
12,3-7554146
12,3-7604292
12,3-7915233
12,3-7970591
12,3-8474085
12,3-9256241
12,3-9403853
12,3-9526671
12,3-9725356
12,3-9805744
12,3-9923325
10,20-255781
10,3-10065301
10,3-10112658
10,3-10150823
10,3-10231044
10,3-10244810
10,3-10280323
10,3-10378753
10,3-10379553
10,3-5363289
10,3-5606111
10,3-6174943
10,3-6292447
10,3-6311475
10,3-6833466
10,3-6850925
10,3-7409796
10,3-7609808
10,3-7610122
10,3-7728121
10,3-7837605
10,3-7903266
10,3-7919331
10,3-7924397
10,3-7939077
10,3-7939215
10,3-7977464
10,3-7980335
10,3-7980856
10,3-7981422
10,3-8029237
10,3-8032974
10,3-8067760
10,3-8108982
10,3-8240848
10,3-8434815
10,3-8441220
10,3-8607170
10,3-8716803
10,3-8720931
10,3-8728762
10,3-8832273
10,3-8873425
10,3-8950612
10,3-9174433
10,3-9264413
10,3-9266894
10,3-9327181
10,3-9363536
10,3-9378689
10,3-9381860
10,3-9526804
10,3-9633175
10,3-9818289
8,20-258651
8,20-258663
8,3-10175273
8,3-10176800
8,3-10187590
8,3-10277877
8,3-10416862
8,3-10420067
8,3-10423852
8,3-10424372
8,3-10424878
8,3-10426530
8,3-10517067
8,3-10538748
8,3-5742484
8,3-5743845
8,3-6091244
8,3-6103890
8,3-6182618
8,3-6260740
8,3-6264983
8,3-6282317
8,3-6364530
8,3-6364595
8,3-6492444
8,3-6493376
8,3-6510905
8,3-6611998
8,3-6612336
8,3-6856989
8,3-7161247
8,3-7163895
8,3-7225558
8,3-7246855
8,3-7247114
8,3-7365975
8,3-7389960
8,3-7432281
8,3-7497929
8,3-7503373
8,3-7549020
8,3-7609733
8,3-7641951
8,3-7645625
8,3-7852601
8,3-7873787
8,3-7876246
8,3-7881879
8,3-7934073
8,3-7936161
8,3-7938677
8,3-7939167
