score,document_id
20,20-170577
16,20-136128
16,3-6471981
16,3-6538324
14,20-114600
14,20-124220
14,20-195523
14,3-6749143
14,3-9425447
12,3-5398887
12,3-5887142
12,3-6552474
12,3-6644275
12,3-9834023
10,20-106919
10,20-108435
10,20-199557
10,20-61223
10,20-82911
10,3-10069393
10,3-5091079
10,3-5750712
10,3-5836875
10,3-7249372
10,3-9976445
8,20-107679
8,20-116608
8,20-130679
8,20-197129
8,20-199542
8,20-199548
8,20-203116
8,20-250820
8,20-75628
8,20-78958
8,20-88071
8,3-5186749
8,3-5195078
8,3-6494980
8,3-6737289
8,3-6737679
8,3-7168931
8,3-7777121
8,3-8633884
8,3-9692435
6,20-111650
6,20-116853
6,20-125499
6,20-139703
6,20-140517
6,20-141509
6,20-142926
6,20-144685
6,20-185654
6,20-196103
6,20-199596
6,20-205614
6,20-210618
6,20-228354
6,20-273152
6,20-73631
6,20-81423
6,3-10010873
6,3-5159166
6,3-5551527
6,3-5863772
6,3-5886207
6,3-5887519
6,3-5888898
6,3-6816962
6,3-7065286
6,3-7221916
6,3-7291242
6,3-7879603
6,3-8773914
6,3-9065649
6,3-9416479
6,3-9999408
4,20-103923
4,20-104697
4,20-123940
4,20-138817
4,20-156879
4,20-173445
4,20-182913
4,20-194680
4,20-203144
4,20-203398
4,20-205708
4,20-205713
4,20-213278
4,20-213782
4,20-226960
4,20-228068
4,20-272057
4,20-42456
4,20-72250
4,20-75817
4,20-83265
4,20-86437
4,3-10030514
4,3-10175846
4,3-5223698
4,3-5362392
4,3-5753342
4,3-5781880
4,3-5784212
4,3-5866639
4,3-5888888
4,3-5888909
4,3-6300426
4,3-6374952
4,3-6549868
4,3-6788685
4,3-6816279
4,3-7241526
4,3-7250018
4,3-7780144
4,3-7843165
4,3-7872694
4,3-8354890
4,3-9311448
2,20-102888
2,20-102903
2,20-107767
2,20-108375
2,20-111220
2,20-113113
2,20-114621
2,20-118565
2,20-127292
2,20-128354
2,20-129481
2,20-129876
2,20-133110
2,20-133586
2,20-133870
2,20-137664
2,20-140339
2,20-140806
2,20-141847
2,20-143694
2,20-145384
2,20-156986
2,20-158167
2,20-158695
2,20-160416
2,20-165329
2,20-166591
2,20-168703
2,20-172437
2,20-173449
2,20-181039
2,20-184166
2,20-186240
2,20-188576
2,20-194457
2,20-201451
2,20-201652
2,20-202294
2,20-203042
2,20-203714
2,20-205983
2,20-206254
2,20-206594
2,20-208237
2,20-216741
2,20-217866
2,20-226972
2,20-237921
2,20-245189
2,20-261652
2,20-279759
2,20-280635
2,20-65288
2,20-66962
2,20-68155
2,20-73633
2,20-74338
2,20-75058
2,20-78065
2,20-78753
2,20-79138
2,20-79150
2,20-79304
2,20-81422
2,20-81424
2,20-81695
2,20-83248
2,20-84634
2,20-93506
2,3-10070011
2,3-10176709
2,3-10261967
2,3-10565523
2,3-5109168
2,3-5141729
2,3-5151707
2,3-5154240
2,3-5179476
2,3-5214895
2,3-5216945
2,3-5223453
2,3-5265750
2,3-5313699
2,3-5334124
2,3-5342107
2,3-5345068
2,3-5345688
2,3-5356468
2,3-5384483
2,3-5386953
2,3-5441432
2,3-5500771
2,3-5500900
2,3-5500929
2,3-5520388
2,3-5616915
2,3-5667264
2,3-5685733
2,3-5686344
2,3-5745206
2,3-5745994
2,3-5752972
2,3-5752977
2,3-5756085
2,3-5783879
2,3-5796919
2,3-5801375
2,3-5801394
2,3-5811320
2,3-5811330
2,3-5811540
2,3-5820275
2,3-5820949
2,3-5823206
2,3-5836865
2,3-5851090
2,3-5874672
2,3-5888095
2,3-6078478
2,3-6131882
2,3-6182551
2,3-6325499
2,3-6402321
2,3-6450206
2,3-6499564
2,3-6555955
2,3-6563728
2,3-6687633
2,3-6737394
2,3-6765236
2,3-6867581
2,3-6910135
2,3-7064927
2,3-7066430
2,3-7147137
2,3-7191244
2,3-7235447
2,3-7240178
2,3-7243347
2,3-7253815
2,3-7295155
2,3-7303477
2,3-7479692
2,3-7499162
2,3-7515238
2,3-7541206
2,3-7683178
2,3-7726284
2,3-7726446
2,3-7744624
2,3-7803214
2,3-7841668
2,3-7850219
2,3-7939747
2,3-8010089
2,3-8290206
2,3-8401744
2,3-8407956
2,3-9003914
2,3-9261728
2,3-9262020
2,3-9263799
2,3-9305336
2,3-9306220
2,3-9312940
2,3-9314269
2,3-9331121
2,3-9337191
2,3-9385435
2,3-9407641
2,3-9427484
2,3-9459252
2,3-9653116
2,3-9887842
2,3-9955901
