score,document_id
10,3-5425222
6,3-10078808
6,3-5345184
6,3-6037878
6,3-6181136
6,3-8060054
4,3-5567443
4,3-5689808
2,3-10111817
2,3-10299502
2,3-10553084
2,3-10555812
2,3-5092073
2,3-5092074
2,3-5240118
2,3-5325801
2,3-5327861
2,3-5344567
2,3-5344609
2,3-5345222
2,3-5379555
2,3-5588925
2,3-5913721
2,3-5921239
2,3-6182325
2,3-6189943
2,3-6353701
2,3-6354495
2,3-6354770
2,3-6506724
2,3-7657997
2,3-7704008
2,3-7934258
2,3-7935385
2,3-7938478
2,3-7941420
2,3-8084554
2,3-8114152
2,3-8294833
2,3-8429135
2,3-8461444
2,3-8609378
2,3-8665849
2,3-8710938
2,3-9217359
2,3-9449957
2,3-9456828
2,3-9557522
2,3-9766027
2,3-9849582
