score,document_id
14,3-6357886
12,3-6127749
10,3-5380763
10,3-5383064
10,3-5883697
8,3-5344718
8,3-5356373
8,3-5356757
8,3-5567655
8,3-5821474
8,3-6127682
8,3-7386278
6,3-5764110
6,3-6127730
6,3-6275358
6,3-7938978
4,20-88795
4,3-5156578
4,3-5156599
4,3-5323127
4,3-5559359
4,3-5713102
4,3-5784534
4,3-6127762
4,3-6434900
2,20-100466
2,20-106196
2,20-201709
2,20-30286
2,20-30290
2,3-10144320
2,3-10176709
2,3-5141768
2,3-5144064
2,3-5144565
2,3-5151488
2,3-5159066
2,3-5224833
2,3-5226165
2,3-5246582
2,3-5273010
2,3-5316206
2,3-5330307
2,3-5344707
2,3-5344719
2,3-5344722
2,3-5345466
2,3-5345836
2,3-5345838
2,3-5524114
2,3-5548000
2,3-5590062
2,3-5621367
2,3-5660893
2,3-5661626
2,3-5679386
2,3-5683427
2,3-5727221
2,3-5750773
2,3-5753676
2,3-5755598
2,3-5759623
2,3-5821428
2,3-5821527
2,3-5821710
2,3-5823206
2,3-5823881
2,3-5827407
2,3-5833300
2,3-5833655
2,3-5907483
2,3-5909401
2,3-5915719
2,3-6127609
2,3-6151555
2,3-6155380
2,3-6677983
2,3-7412140
2,3-7704076
2,3-7737061
2,3-7849883
2,3-7859931
2,3-7932398
2,3-7941384
2,3-8841624
2,3-8843967
2,3-9558186
2,3-9608060
2,3-9654395
