score,document_id
12,3-7737745
10,3-5141740
8,3-5127677
8,3-7961499
6,3-10110442
6,3-5631762
6,3-6111957
6,3-7456252
6,3-7459224
6,3-7504576
6,3-8716880
6,3-8725259
4,3-5104236
4,3-5108441
4,3-5124890
4,3-5137771
4,3-5148776
4,3-5151171
4,3-5157637
4,3-5196732
4,3-5251032
4,3-5542982
4,3-5590077
4,3-5660354
4,3-5796740
4,3-5818705
4,3-5823844
4,3-5829218
4,3-5847541
4,3-5851892
4,3-6509338
4,3-6517822
2,3-10032135
2,3-5054861
2,3-5108351
2,3-5110957
2,3-5112610
2,3-5116005
2,3-5120425
2,3-5120566
2,3-5121063
2,3-5123102
2,3-5125697
2,3-5125990
2,3-5126758
2,3-5127955
2,3-5135524
2,3-5135728
2,3-5135891
2,3-5135917
2,3-5137146
2,3-5137838
2,3-5137842
2,3-5138525
2,3-5141731
2,3-5141758
2,3-5142427
2,3-5143108
2,3-5147693
2,3-5148260
2,3-5151214
2,3-5151261
2,3-5153101
2,3-5156349
2,3-5157051
2,3-5157060
2,3-5159963
2,3-5161950
2,3-5166124
2,3-5166358
2,3-5194305
2,3-5194393
2,3-5216327
2,3-5225016
2,3-5226098
2,3-5371880
2,3-5417817
2,3-5424294
2,3-5567494
2,3-5587826
2,3-5652398
2,3-5728971
2,3-5762957
2,3-5781862
2,3-5823616
2,3-5838008
2,3-5844102
2,3-5920906
2,3-6133063
2,3-6269956
2,3-6556413
2,3-6796943
2,3-6909208
2,3-7172371
2,3-7347093
2,3-7509598
2,3-7700118
2,3-7893665
2,3-8476578
2,3-8489887
2,3-8490347
2,3-8718611
2,3-8771499
2,3-9238116
