score,document_id
18,20-178654
14,3-6582893
12,3-6665132
12,3-9335210
10,3-5323129
10,3-7316761
10,3-7471231
10,3-9219243
8,3-7227595
8,3-7633077
6,3-5344620
6,3-7038417
6,3-8060054
6,3-8847078
4,3-5943208
4,3-5966179
4,3-5980792
4,3-5982301
4,3-6017157
4,3-7938719
4,3-8085985
4,3-8786604
4,3-8856432
4,3-9818322
2,20-123074
2,20-180601
2,20-30834
2,20-30836
2,3-10106585
2,3-10307731
2,3-10416608
2,3-10572796
2,3-5344464
2,3-5344577
2,3-5371998
2,3-5422774
2,3-5599527
2,3-5932028
2,3-5948942
2,3-5950766
2,3-5999112
2,3-6000931
2,3-6000989
2,3-6071678
2,3-6168288
2,3-6265128
2,3-6297164
2,3-6725508
2,3-6783573
2,3-7020887
2,3-7120405
2,3-7122789
2,3-7423354
2,3-7646887
2,3-7654452
2,3-7657718
2,3-7907196
2,3-7939349
2,3-7940228
2,3-8281635
2,3-8350071
2,3-8737596
2,3-8798084
2,3-8803444
2,3-8824708
2,3-9302563
2,3-9551598
2,3-9557183
2,3-9641323
2,3-9839831
2,3-9884829
