score,document_id
6,20-30734
6,20-33034
6,3-5380769
6,3-5570707
6,3-5885854
6,3-6041701
6,3-6157210
6,3-6298125
6,3-6676730
4,3-5091907
4,3-5154349
4,3-5255698
4,3-5269921
4,3-5345222
4,3-5913721
4,3-6878834
4,3-7935385
2,20-30736
2,3-5092073
2,3-5092074
2,3-5095353
2,3-5136486
2,3-5137838
2,3-5158025
2,3-5219908
2,3-5244485
2,3-5251918
2,3-5308674
2,3-5325801
2,3-5327861
2,3-5328867
2,3-5331754
2,3-5344567
2,3-5345122
2,3-5349339
2,3-5349341
2,3-5379555
2,3-5457415
2,3-5531742
2,3-5571025
2,3-5650891
2,3-5651833
2,3-5652767
2,3-5688173
2,3-5688297
2,3-5748128
2,3-5784534
2,3-5921239
2,3-6153357
2,3-6405205
2,3-6405310
2,3-6413435
2,3-6656778
2,3-6674573
2,3-6758804
2,3-6992655
2,3-6993010
2,3-7185707
2,3-7262964
2,3-7657997
2,3-7696180
2,3-7704008
2,3-7783045
2,3-7862356
2,3-7938478
2,3-7941032
