score,document_id
26,3-10246281
24,20-31084
18,3-8487405
16,3-10343854
16,3-8870543
16,3-8888263
14,3-10122100
14,3-10168251
14,3-10241763
14,3-10345067
14,3-7185707
14,3-7313970
14,3-8859776
14,3-8975789
14,3-9711720
12,20-70636
12,3-10060994
12,3-10181581
12,3-10548348
12,3-7099023
12,3-8141833
12,3-8518260
12,3-8950205
12,3-9087844
12,3-9117643
10,20-186585
10,3-10116647
10,3-10121664
10,3-10235203
10,3-10336351
10,3-10342554
10,3-10359971
10,3-10509797
10,3-5060751
10,3-6732521
10,3-6742743
10,3-7302761
10,3-7313075
10,3-7412788
10,3-7549227
10,3-8253523
10,3-8844156
10,3-8846989
10,3-8860608
10,3-8880059
10,3-8884275
10,3-8885257
10,3-8902103
10,3-8958566
10,3-8970975
10,3-8976858
10,3-9036760
10,3-9043700
10,3-9082818
10,3-9169595
10,3-9197506
10,3-9244302
10,3-9326413
10,3-9584873
10,3-9637643
10,3-9662347
10,3-9709451
10,3-9858311
10,3-9966088
10,3-9969477
8,3-10047419
8,3-10121052
8,3-10121401
8,3-10165904
8,3-10187590
8,3-10247061
8,3-10341419
8,3-10344590
8,3-10372348
8,3-10424372
8,3-10427453
8,3-5583706
8,3-6406385
8,3-6562332
8,3-6723265
8,3-6765323
8,3-6845917
8,3-7051884
8,3-7109196
8,3-7201888
8,3-7318605
8,3-7349770
8,3-7362030
8,3-7468355
8,3-7591128
8,3-7596037
8,3-7613977
8,3-7656939
8,3-7938478
8,3-8106361
8,3-8247654
8,3-8286940
8,3-8297299
8,3-8481130
8,3-8493323
8,3-8609378
8,3-8665758
8,3-8708831
8,3-8852989
8,3-8856141
8,3-8856188
8,3-8859724
8,3-8860247
8,3-8863922
8,3-8897571
8,3-8908432
8,3-8909021
8,3-8950134
8,3-8950540
8,3-8950612
8,3-8953003
8,3-8957267
8,3-8973184
8,3-9079413
8,3-9086248
8,3-9115419
8,3-9133624
8,3-9160676
8,3-9517224
8,3-9556341
8,3-9692391
8,3-9697590
8,3-9830470
8,3-9908965
6,20-263973
6,3-10013873
6,3-10023463
6,3-10033089
6,3-10061583
6,3-10068470
6,3-10103196
6,3-10107999
6,3-10168580
6,3-10182766
6,3-10217957
6,3-10221432
6,3-10232851
6,3-10233101
6,3-10235559
6,3-10246459
6,3-10246590
6,3-10261707
6,3-10270187
6,3-10309195
6,3-10340317
6,3-10352846
6,3-10373643
6,3-10373699
6,3-10414751
6,3-10434338
6,3-10439403
6,3-10439506
6,3-10446647
6,3-10475293
6,3-10506686
6,3-10511290
6,3-10518706
6,3-10548327
6,3-10558503
6,3-5331597
6,3-5361728
6,3-5705837
6,3-5719965
6,3-5735527
6,3-6079495
6,3-6130209
6,3-6154400
6,3-6249997
6,3-6261388
6,3-6374815
6,3-6413435
6,3-6431307
6,3-6460563
6,3-6513906
6,3-6571837
6,3-6586777
6,3-6592049
6,3-6610084
6,3-6610277
6,3-6629161
6,3-6635114
6,3-6743949
6,3-6787706
6,3-6822786
6,3-6893366
6,3-6958456
6,3-7020541
6,3-7073303
6,3-7103241
6,3-7120517
6,3-7126597
6,3-7148553
6,3-7176063
6,3-7177455
6,3-7178169
6,3-7180810
6,3-7201630
6,3-7208965
6,3-7297888
6,3-7298189
6,3-7299141
6,3-7314039
6,3-7314457
6,3-7349802
6,3-7351012
6,3-7356563
6,3-7395205
6,3-7399988
6,3-7429669
6,3-7442641
6,3-7446450
6,3-7479246
6,3-7495027
6,3-7500708
6,3-7513056
6,3-7526446
6,3-7543773
6,3-7548531
6,3-7548598
6,3-7637570
6,3-7642538
6,3-7649055
6,3-7649794
6,3-7651911
6,3-7695836
6,3-7696851
6,3-7726229
6,3-7742563
6,3-7783465
6,3-7934258
6,3-8022410
6,3-8038894
6,3-8081328
6,3-8099306
6,3-8100585
6,3-8105907
6,3-8197798
6,3-8227714
6,3-8254321
6,3-8261869
6,3-8294329
6,3-8298124
6,3-8304601
6,3-8305053
6,3-8308751
6,3-8317635
6,3-8323915
6,3-8324642
6,3-8359894
6,3-8403210
6,3-8428365
6,3-8446482
6,3-8449061
6,3-8459607
6,3-8460276
6,3-8476551
6,3-8478854
6,3-8511119
6,3-8512514
6,3-8523972
6,3-8540683
6,3-8573846
6,3-8575900
6,3-8577548
6,3-8600622
6,3-8600775
6,3-8601494
6,3-8622182
6,3-8623540
6,3-8624997
6,3-8627290
6,3-8666454
6,3-8668021
6,3-8678868
6,3-8700497
6,3-8715454
6,3-8746701
6,3-8752674
6,3-8768016
6,3-8768518
6,3-8792942
6,3-8806602
6,3-8813748
6,3-8814470
6,3-8820620
6,3-8827138
6,3-8827750
6,3-8843508
6,3-8847684
6,3-8848094
6,3-8854335
6,3-8858439
6,3-8859019
6,3-8859296
6,3-8859303
6,3-8860011
6,3-8861056
6,3-8863197
6,3-8865211
6,3-8867285
6,3-8874092
6,3-8888963
6,3-8893161
6,3-8894260
6,3-8895744
6,3-8895942
6,3-8907486
6,3-8934654
