score,document_id
10,3-7975520
8,3-5063803
8,3-5263376
8,3-5678107
8,3-6406541
8,3-6875032
6,3-5177401
6,3-5423749
6,3-7390690
4,20-127030
4,20-184511
4,3-10333411
4,3-5235667
4,3-5802798
4,3-6406722
4,3-6881084
4,3-6921293
4,3-7616048
2,20-122948
2,20-125708
2,20-194680
2,20-254048
2,3-10117735
2,3-10520603
2,3-5053170
2,3-5064375
2,3-5065291
2,3-5072489
2,3-5107161
2,3-5123861
2,3-5123865
2,3-5224556
2,3-5243733
2,3-5349341
2,3-5380397
2,3-5382394
2,3-5382649
2,3-5425450
2,3-5446548
2,3-5446565
2,3-5465103
2,3-5499813
2,3-5558620
2,3-5568297
2,3-5588860
2,3-5643319
2,3-5648234
2,3-5686344
2,3-5722696
2,3-5759672
2,3-5836938
2,3-5838212
2,3-5838315
2,3-5866863
2,3-5889428
2,3-6122124
2,3-6154400
2,3-6454340
2,3-6501405
2,3-6518527
2,3-6666046
2,3-6778897
2,3-7066870
2,3-7209727
2,3-7273501
2,3-7515413
2,3-7651994
2,3-7841668
2,3-7843165
2,3-7939290
2,3-7939494
2,3-7939501
2,3-7940119
2,3-7982024
2,3-9491040
