score,document_id
18,3-5907596
10,3-5546750
8,3-5962929
8,3-6154467
6,3-5342056
6,3-5653134
6,3-6154132
6,3-6438106
4,3-5534266
4,3-5547738
4,3-5652423
4,3-5669699
4,3-5779007
4,3-6020734
4,3-6151717
4,3-6157166
2,20-30286
2,20-30290
2,20-45835
2,3-5085837
2,3-5132061
2,3-5132163
2,3-5137838
2,3-5252005
2,3-5555003
2,3-5588804
2,3-5588844
2,3-5637794
2,3-5711084
2,3-5751800
2,3-5770365
2,3-5888142
2,3-5888501
2,3-5911006
2,3-5921096
2,3-6154717
2,3-6629114
2,3-8724127
2,3-9282166
