score,document_id
14,3-10234747
10,3-10165482
8,3-6378681
8,3-6480393
6,3-10253865
6,3-6330148
6,3-6355056
6,3-6355118
6,3-6419287
6,3-6441218
6,3-6787987
6,3-6789729
6,3-8585884
4,3-5460386
4,3-5923562
4,3-6073306
4,3-6639810
4,3-6788471
4,3-6797417
4,3-6917940
4,3-7165244
2,3-10164951
2,3-10296526
2,3-10512500
2,3-5100981
2,3-5249330
2,3-5377000
2,3-5419145
2,3-5434891
2,3-5623879
2,3-5633461
2,3-5634854
2,3-5769171
2,3-6072361
2,3-6147498
2,3-6363949
2,3-6368878
2,3-6416029
2,3-6432820
2,3-6442412
2,3-6470854
2,3-6480208
2,3-6650583
2,3-6661435
2,3-6852749
2,3-6925518
2,3-6925587
2,3-6933722
2,3-6936753
2,3-6940584
2,3-6940971
2,3-6960496
2,3-7529054
2,3-7889259
2,3-7993025
2,3-8095312
2,3-9560737
2,3-9561623
2,3-9625965
2,3-9636993
2,3-9828414
