score,document_id
24,3-10090026
16,3-10076175
16,3-10144156
16,3-10184545
14,3-10086418
14,3-5420834
12,20-89600
12,3-5490658
10,3-10151378
10,3-5552564
10,3-5566253
10,3-5781976
10,3-5863982
8,20-96821
8,3-10075664
8,3-10078324
8,3-5093231
8,3-5138048
8,3-5427609
8,3-5428801
8,3-5525889
8,3-5529300
8,3-5619805
8,3-5629132
8,3-5666290
8,3-5863720
8,3-5873875
6,20-107226
6,3-10075877
6,3-10077019
6,3-10078246
6,3-10081197
6,3-10088509
6,3-5090779
6,3-5132777
6,3-5171786
6,3-5318938
6,3-5345083
6,3-5345688
6,3-5345836
6,3-5513559
6,3-5517972
6,3-5525009
6,3-5526485
6,3-5526488
6,3-5526677
6,3-5526867
6,3-5614475
6,3-5672532
6,3-5673811
6,3-5719473
6,3-5726573
6,3-5743415
6,3-5784112
6,3-5784117
6,3-5784472
6,3-5794434
6,3-5801232
6,3-5838699
6,3-5865877
6,3-5892028
6,3-5933851
6,3-5935141
6,3-6151922
6,3-6152087
4,20-207737
4,3-10071607
4,3-10077460
4,3-10079022
4,3-10085789
4,3-10104836
4,3-10387854
4,3-5091516
4,3-5092337
4,3-5102082
4,3-5113944
4,3-5138055
4,3-5171841
4,3-5238414
4,3-5247791
4,3-5253972
4,3-5269846
4,3-5270373
4,3-5275103
4,3-5279713
4,3-5279872
4,3-5301740
4,3-5317349
4,3-5339406
4,3-5340468
4,3-5490662
4,3-5502384
4,3-5502492
4,3-5507952
4,3-5523985
4,3-5524236
4,3-5524669
4,3-5525408
4,3-5525536
4,3-5525726
4,3-5525878
4,3-5525890
4,3-5526484
4,3-5527293
4,3-5527403
4,3-5528394
4,3-5530707
4,3-5534202
4,3-5550728
4,3-5552943
4,3-5560132
4,3-5565219
4,3-5573565
4,3-5620213
4,3-5647679
4,3-5653807
4,3-5658814
4,3-5661663
4,3-5666303
4,3-5667200
4,3-5668519
4,3-5718469
4,3-5722399
4,3-5723233
4,3-5726822
4,3-5771002
4,3-5782031
4,3-5787352
4,3-5790431
4,3-5790582
4,3-5793969
4,3-5794099
4,3-5794202
4,3-5797448
4,3-5800369
4,3-5803270
4,3-5804827
4,3-5808943
4,3-5821462
4,3-5823006
4,3-5823298
4,3-5823651
4,3-5826116
4,3-5830314
4,3-5833848
4,3-5836661
4,3-5836887
4,3-5838416
4,3-5839533
4,3-5844131
4,3-5847576
4,3-5848547
4,3-5858264
4,3-5858487
4,3-5863198
4,3-5865683
4,3-5883034
4,3-5883712
4,3-5895003
4,3-5895164
4,3-5897437
4,3-5901070
4,3-5934012
4,3-5936608
4,3-5938065
4,3-5939561
4,3-6115298
4,3-6118081
4,3-6119031
4,3-6151246
4,3-6151352
4,3-6151849
4,3-6153350
2,20-101213
2,20-111981
2,20-113318
2,20-160029
2,20-160975
2,20-162517
2,20-79209
2,3-10011485
2,3-10073274
2,3-10074264
2,3-10078771
2,3-10079032
2,3-10080574
2,3-10081798
2,3-10081856
2,3-10083588
2,3-10085440
2,3-10086800
2,3-10089445
2,3-10093605
2,3-10114037
2,3-5095198
2,3-5101759
2,3-5103367
2,3-5103529
2,3-5105785
2,3-5107922
2,3-5109683
2,3-5109758
2,3-5111033
2,3-5111164
2,3-5111284
2,3-5111304
2,3-5112681
2,3-5114185
2,3-5115211
2,3-5115321
2,3-5115885
2,3-5116584
2,3-5116730
2,3-5116830
2,3-5117470
2,3-5118124
2,3-5123369
2,3-5129418
2,3-5130768
2,3-5131646
2,3-5132972
2,3-5133450
2,3-5133760
2,3-5133761
2,3-5133851
2,3-5135767
2,3-5136115
2,3-5136569
2,3-5136796
2,3-5136825
2,3-5136944
2,3-5137013
2,3-5137170
2,3-5137186
2,3-5137690
2,3-5137838
2,3-5137936
2,3-5138073
2,3-5138249
2,3-5139857
2,3-5149819
2,3-5157196
2,3-5163415
2,3-5167123
2,3-5169861
2,3-5171152
2,3-5171412
2,3-5171716
2,3-5171719
2,3-5173338
2,3-5177616
2,3-5178195
2,3-5181358
2,3-5196448
2,3-5222546
2,3-5223093
2,3-5241712
2,3-5241816
2,3-5242374
2,3-5248956
2,3-5257108
2,3-5264173
2,3-5266578
2,3-5269861
2,3-5271014
2,3-5274629
2,3-5275102
2,3-5276618
2,3-5279728
2,3-5280619
2,3-5282965
2,3-5309025
2,3-5320251
2,3-5320293
2,3-5320966
2,3-5323127
2,3-5324849
2,3-5344511
2,3-5344707
2,3-5344719
2,3-5345466
2,3-5345838
2,3-5361077
2,3-5366255
2,3-5408862
2,3-5408877
2,3-5433192
2,3-5462453
2,3-5470147
2,3-5496707
2,3-5507933
2,3-5518793
2,3-5526039
2,3-5526383
2,3-5527362
2,3-5527365
2,3-5527594
2,3-5527615
2,3-5529445
2,3-5530001
2,3-5531584
2,3-5531960
2,3-5532294
2,3-5532968
2,3-5536073
2,3-5552473
2,3-5552518
2,3-5558572
2,3-5560474
2,3-5563093
2,3-5564017
2,3-5568726
2,3-5587975
2,3-5590076
2,3-5594607
2,3-5609842
2,3-5621952
2,3-5625034
2,3-5627755
2,3-5636633
2,3-5637403
2,3-5644039
2,3-5645969
2,3-5646758
2,3-5647498
2,3-5649065
2,3-5652376
2,3-5652861
2,3-5652871
2,3-5653393
2,3-5653827
2,3-5654956
2,3-5658598
2,3-5660274
2,3-5664862
2,3-5665553
2,3-5679240
2,3-5688812
2,3-5689323
2,3-5690760
2,3-5715978
2,3-5726536
2,3-5726629
2,3-5727221
2,3-5730383
2,3-5731680
2,3-5734169
2,3-5769821
2,3-5781666
2,3-5781991
2,3-5783902
2,3-5784198
2,3-5785076
2,3-5788729
2,3-5791819
2,3-5800704
2,3-5805022
2,3-5810563
2,3-5811312
2,3-5813422
2,3-5824171
2,3-5824388
2,3-5824446
2,3-5826071
2,3-5826987
2,3-5829177
2,3-5829374
2,3-5829394
2,3-5829538
2,3-5833164
2,3-5833171
2,3-5836786
2,3-5837040
2,3-5838109
2,3-5838212
2,3-5838315
2,3-5838494
2,3-5838786
2,3-5844902
2,3-5850595
2,3-5852649
2,3-5865749
2,3-5871481
2,3-5875871
2,3-5878433
2,3-5879322
2,3-5887960
2,3-5891795
2,3-5892468
2,3-5904263
2,3-5906347
2,3-5926241
2,3-5930099
2,3-5932006
2,3-5932680
2,3-5933548
2,3-5933740
2,3-5933827
2,3-5933928
2,3-5933992
2,3-5935053
2,3-5936010
2,3-5937084
2,3-5937329
2,3-5937916
