score,document_id
12,3-5496682
12,3-5575588
12,3-5705964
10,3-5304802
10,3-5631337
8,3-5629413
8,3-5688677
6,3-5303797
6,3-5494768
6,3-5656471
6,3-5729823
6,3-5813232
6,3-5826632
4,3-5085813
4,3-5085926
4,3-5341110
4,3-5805119
4,3-5874207
2,20-103450
2,20-194680
2,20-30286
2,20-30290
2,3-5080922
2,3-5089630
2,3-5090338
2,3-5256749
2,3-5257444
2,3-5259015
2,3-5263334
2,3-5277724
2,3-5323127
2,3-5325391
2,3-5329561
2,3-5333824
2,3-5342264
2,3-5344722
2,3-5559359
2,3-5631308
2,3-5635494
2,3-5636682
2,3-5660893
2,3-5661626
2,3-5671328
2,3-5727744
2,3-5728821
2,3-5735784
2,3-5735849
2,3-5744816
2,3-5784534
2,3-5805181
2,3-5899540
2,3-5915719
2,3-6027981
2,3-6031393
2,3-6151555
2,3-6155380
