,name,party,firstname,lastname,position,key,start_date,end_date,hallituskausi
2,"Heinonen, Olli-Pekka",Kokoomus,Olli-Pekka,Heinonen, Liikenneministeri;; Liikenne- ja viestintäministeri;;,Olli-Pekka_Heinonen,15.4.1999,17.4.2003,Lipponen II
5,"Itälä, Ville",Kokoomus,Ville,Itälä, Pääministerin sijainen;; Sisäasiainministeri;;,Ville_Itälä,15.4.1999,17.4.2003,Lipponen II
8,"Koskinen, Jari",Kokoomus,Jari,Koskinen, Maa- ja metsätalousministeri;;,Jari_Koskinen,15.4.1999,17.4.2003,Lipponen II
12,"Lindén, Suvi",Kokoomus,Suvi,Lindén, Kulttuuriministeri;;,Suvi_Lindén,15.4.1999,17.4.2003,Lipponen II
13,"Niinistö, Sauli",Kokoomus,Sauli,Niinistö, Pääministerin sijainen;; Valtiovarainministeri;;,Sauli_Niinistö,15.4.1999,17.4.2003,Lipponen II
18,"Vilén, Jari",Kokoomus,Jari,Vilén, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppaministeri;; Ministeri kauppa- ja teollisuusministeriössä;;,Jari_Vilén,15.4.1999,17.4.2003,Lipponen II
24,"Sasi, Kimmo",Kokoomus,Kimmo,Sasi, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppaministeri;; Liikenne- ja viestintäministeri;; Ministeri kauppa- ja teollisuusministeriössä;;,Kimmo_Sasi,15.4.1999,17.4.2003,Lipponen II
29,"Dromberg, Kaarina",Kokoomus,Kaarina,Dromberg, Kulttuuriministeri;;,Kaarina_Dromberg,15.4.1999,17.4.2003,Lipponen II
42,"Perho, Maija",Kokoomus,Maija,Perho, Sosiaali- ja terveysministeri;;,Maija_Perho,15.4.1999,17.4.2003,Lipponen II
60,"Biaudet, Eva",RKP,Eva,Biaudet, Peruspalveluministeri;; Peruspalveluministeri;;,Eva_Biaudet,15.4.1999,17.4.2003,Lipponen II
61,"Enestam, Jan-Erik",RKP,Jan-Erik,Enestam, Ministeri ulkoasiainministeriössä;; Puolustusministeri;;,Jan-Erik_Enestam,15.4.1999,17.4.2003,Lipponen II
74,"Korhonen, Martti",Vasemmistoliitto,Martti,Korhonen, Alue- ja kuntaministeri;;,Martti_Korhonen,15.4.1999,17.4.2003,Lipponen II
81,"Siimes, Suvi-Anne",Vasemmistoliitto,Suvi-Anne,Siimes, Ministeri ulkoasiainministeriössä;; Ministeri valtiovarainministeriössä;; Ministeri ympäristöministeriössä;;,Suvi-Anne_Siimes,15.4.1999,17.4.2003,Lipponen II
98,"Hassi, Satu",Vihreät,Satu,Hassi, Ministeri ulkoasiainministeriössä;; Ympäristöministeri;;,Satu_Hassi,15.4.1999,17.4.2003,Lipponen II
102,"Soininvaara, Osmo",Vihreät,Osmo,Soininvaara, Peruspalveluministeri;;,Osmo_Soininvaara,15.4.1999,17.4.2003,Lipponen II
156,"Backman, Jouni",SDP,Jouni,Backman, Ympäristöministeri;;,Jouni_Backman,15.4.1999,17.4.2003,Lipponen II
157,"Filatov, Tarja",SDP,Tarja,Filatov, Työministeri;;,Tarja_Filatov,15.4.1999,17.4.2003,Lipponen II
161,"Halonen, Tarja",SDP,Tarja,Halonen, Ulkoasiainministeri;;,Tarja_Halonen,15.4.1999,17.4.2003,Lipponen II
168,"Koskinen, Johannes",SDP,Johannes,Koskinen, Oikeusministeri;;,Johannes_Koskinen,15.4.1999,17.4.2003,Lipponen II
170,"Lipponen, Paavo",SDP,Paavo,Lipponen, Pääministeri;;,Paavo_Lipponen,15.4.1999,17.4.2003,Lipponen II
174,"Tuomioja, Erkki",SDP,Erkki,Tuomioja, Ulkoasiainministeri;; Kauppa- ja teollisuusministeri;;,Erkki_Tuomioja,15.4.1999,17.4.2003,Lipponen II
191,"Mönkäre, Sinikka",SDP,Sinikka,Mönkäre, Kauppa- ja teollisuusministeri;; Työministeri;;,Sinikka_Mönkäre,15.4.1999,17.4.2003,Lipponen II
198,"Rask, Maija",SDP,Maija,Rask, Opetusministeri;;,Maija_Rask,15.4.1999,17.4.2003,Lipponen II
