,name,party,firstname,lastname,position,key,start_date,end_date,hallituskausi
3,"Holmlund, Anne",Kokoomus,Anne,Holmlund, Sisäasiainministeri;;,Anne_Holmlund,19.4.2007,22.6.2010,Vanhanen II
4,"Häkämies, Jyri",Kokoomus,Jyri,Häkämies, Ministeri valtioneuvoston kansliassa;; Puolustusministeri;;,Jyri_Häkämies,19.4.2007,22.6.2010,Vanhanen II
6,"Katainen, Jyrki",Kokoomus,Jyrki,Katainen, Pääministerin sijainen;; Valtiovarainministeri;;,Jyrki_Katainen,19.4.2007,22.6.2010,Vanhanen II
10,"Kanerva, Ilkka",Kokoomus,Ilkka,Kanerva, Ulkoasiainministeri;;,Ilkka_Kanerva,19.4.2007,22.6.2010,Vanhanen II
12,"Lindén, Suvi",Kokoomus,Suvi,Lindén, Viestintäministeri;;,Suvi_Lindén,19.4.2007,22.6.2010,Vanhanen II
23,"Sarkomaa, Sari",Kokoomus,Sari,Sarkomaa, Opetusministeri;;,Sari_Sarkomaa,19.4.2007,22.6.2010,Vanhanen II
96,"Brax, Tuija",Vihreät,Tuija,Brax, Oikeusministeri;;,Tuija_Brax,19.4.2007,22.6.2010,Vanhanen II
103,"Sinnemäki, Anni",Vihreät,Anni,Sinnemäki, Työministeri;;,Anni_Sinnemäki,19.4.2007,22.6.2010,Vanhanen II
108,"Anttila, Sirkka-Liisa",Keskusta,Sirkka-Liisa,Anttila, Maa- ja metsätalousministeri;;,Sirkka-Liisa_Anttila,19.4.2007,22.6.2010,Vanhanen II
113,"Väyrynen, Paavo",Keskusta,Paavo,Väyrynen, Ulkomaankauppa- ja kehitysministeri;;,Paavo_Väyrynen,19.4.2007,22.6.2010,Vanhanen II
114,"Kiviniemi, Mari",Keskusta,Mari,Kiviniemi, Ministeri sisäasiainministeriössä;; Hallinto- ja kuntaministeri;;,Mari_Kiviniemi,19.4.2007,22.6.2010,Vanhanen II
117,"Lehtomäki, Paula",Keskusta,Paula,Lehtomäki, Ympäristöministeri;; Ympäristöministeri;;,Paula_Lehtomäki,19.4.2007,22.6.2010,Vanhanen II
119,"Pekkarinen, Mauri",Keskusta,Mauri,Pekkarinen, Ministeri sisäasiainministeriössä;; Kauppa- ja teollisuusministeri;; Elinkeinoministeri;;,Mauri_Pekkarinen,19.4.2007,22.6.2010,Vanhanen II
121,"Vanhanen, Matti",Keskusta,Matti,Vanhanen, Pääministeri;;,Matti_Vanhanen,19.4.2007,22.6.2010,Vanhanen II
122,"Vehviläinen, Anu",Keskusta,Anu,Vehviläinen, Liikenneministeri;;,Anu_Vehviläinen,19.4.2007,22.6.2010,Vanhanen II
146,"Rehula, Juha",Keskusta,Juha,Rehula, Sosiaali- ja terveysministeri;;,Juha_Rehula,19.4.2007,22.6.2010,Vanhanen II
155,"Hyssälä, Liisa",Keskusta,Liisa,Hyssälä, Sosiaali- ja terveysministeri;; Ministeri työministeriössä;;,Liisa_Hyssälä,19.4.2007,22.6.2010,Vanhanen II
222,"Cronberg, Tarja",Vihreät,Tarja,Cronberg, Työministeri;; Työministeri;;,Tarja_Cronberg,19.4.2007,22.6.2010,Vanhanen II
360,"Risikko, Paula",Kokoomus,Paula,Risikko, Peruspalveluministeri;; Ministeri ympäristöministeriössä;;,Paula_Risikko,19.4.2007,22.6.2010,Vanhanen II
390,"Thors, Astrid",RKP,Astrid,Thors, Ministeri valtioneuvoston kansliassa;; Ministeri oikeusministeriössä;; Maahanmuutto- ja eurooppaministeri;; Ministeri työministeriössä;;,Astrid_Thors,19.4.2007,22.6.2010,Vanhanen II
391,"Tiilikainen, Kimmo",Keskusta,Kimmo,Tiilikainen, Ympäristöministeri;;,Kimmo_Tiilikainen,19.4.2007,22.6.2010,Vanhanen II
404,"Vapaavuori, Jan",Kokoomus,Jan,Vapaavuori, Ministeri valtioneuvoston kansliassa;; Ministeri ulkoasiainministeriössä;; Asuntoministeri;;,Jan_Vapaavuori,19.4.2007,22.6.2010,Vanhanen II
615,"Henna, Virkkunen",Kokoomus,Henna,Virkkunen, Opetusministeri;; Opetusministeri;;,Henna_Virkkunen,19.4.2007,22.6.2010,Vanhanen II
623,"Stefan, Wallin",RKP,Stefan,Wallin, Kulttuuri- ja urheiluministeri;; Kulttuuri- ja urheiluministeri;; Ministeri sosiaali- ja terveysministeriössä;;,Stefan_Wallin,19.4.2007,22.6.2010,Vanhanen II
792,"Stubb, Alexander",Kokoomus,Alexander,Stubb, Ulkoasiainministeri;;,Alexander_Stubb,19.4.2007,22.6.2010,Vanhanen II
