,name,party,firstname,lastname,position
0,"Aalto, Touko",Vihreät,Touko,Aalto, 
1,"Adlercreutz, Anders",RKP,Anders,Adlercreutz, 
2,"Ala-Nissilä, Olavi",Keskusta,Olavi,Ala-Nissilä, 
3,"Alanko-Kahiluoto, Outi",Vihreät,Outi,Alanko-Kahiluoto, 
4,"Alatalo, Mikko",Keskusta,Mikko,Alatalo, 
5,"Andersson, Li",Vasemmistoliitto,Li,Andersson, 
6,"Anttila, Sirkka-Liisa",Keskusta,Sirkka-Liisa,Anttila, 
7,"Arhinmäki, Paavo",Vasemmistoliitto,Paavo,Arhinmäki, 
8,"Berner, Anne",Keskusta,Anne,Berner, Liikenne- ja viestintäministeri;; Liikenne- ja viestintäministeri;;
9,"Biaudet, Eva",RKP,Eva,Biaudet, 
10,"Blomqvist, Thomas",RKP,Thomas,Blomqvist, 
11,"Eerola, Juho",Perussuomalaiset,Juho,Eerola, 
12,"Eestilä, Markku",Kokoomus,Markku,Eestilä, 
13,"Elo, Simon",Siniset,Simon,Elo, 
14,"Elomaa, Ritva",Perussuomalaiset,Ritva,Elomaa, 
15,"Eloranta, Eeva-Johanna",Sosiaalidemokraatit,Eeva-Johanna,Eloranta, 
16,"Elovaara, Tiina",Siniset,Tiina,Elovaara, 
17,"Essayah, Sari",Kristillisdemokraatit,Sari,Essayah, 
18,"Feldt-Ranta, Maarit",Sosiaalidemokraatit,Maarit,Feldt-Ranta, 
19,"Filatov, Tarja",Sosiaalidemokraatit,Tarja,Filatov, 
20,"Grahn-Laasonen, Sanni",Kokoomus,Sanni,Grahn-Laasonen, Opetusministeri;; Opetus- ja kulttuuriministeri;;
21,"Gustafsson, Jukka",Sosiaalidemokraatit,Jukka,Gustafsson, 
22,"Guzenina, Maria",Sosiaalidemokraatit,Maria,Guzenina, 
23,"Haatainen, Tuula",Sosiaalidemokraatit,Tuula,Haatainen, 
24,"Haavisto, Pekka",Vihreät,Pekka,Haavisto, 
25,"Haglund, Carl",RKP,Carl,Haglund, 
26,"Hakanen, Pertti",Keskusta,Pertti,Hakanen, 
27,"Hakkarainen, Teuvo",Perussuomalaiset,Teuvo,Hakkarainen, 
28,"Halmeenpää, Hanna",Vihreät,Hanna,Halmeenpää, 
29,"Harakka, Timo",Sosiaalidemokraatit,Timo,Harakka, 
30,"Harkimo, Harry",Liike Nyt,Harry,Harkimo, 
31,"Hassi, Satu",Vihreät,Satu,Hassi, 
32,"Hautala, Lasse",Keskusta,Lasse,Hautala, 
33,"Heikkinen, Hannakaisa",Keskusta,Hannakaisa,Heikkinen, 
34,"Heinonen, Timo",Kokoomus,Timo,Heinonen, 
35,"Heinäluoma, Eero",Sosiaalidemokraatit,Eero,Heinäluoma, 
36,"Henriksson, Anna-Maja",RKP,Anna-Maja,Henriksson, 
37,"Hongisto, Reijo",Siniset,Reijo,Hongisto, 
38,"Honkonen, Petri",Keskusta,Petri,Honkonen, 
39,"Hoskonen, Hannu",Keskusta,Hannu,Hoskonen, 
40,"Huhtasaari, Laura",Perussuomalaiset,Laura,Huhtasaari, 
41,"Huovinen, Susanna",Sosiaalidemokraatit,Susanna,Huovinen, 
42,"Häkkänen, Antti",Kokoomus,Antti,Häkkänen, Oikeusministeri;;
43,"Hänninen, Katja",Vasemmistoliitto,Katja,Hänninen, 
44,"Ihalainen, Lauri",Sosiaalidemokraatit,Lauri,Ihalainen, 
45,"Immonen, Olli",Perussuomalaiset,Olli,Immonen, 
46,"Jalonen, Ari",Siniset,Ari,Jalonen, 
47,"Jarva, Marisanna",Keskusta,Marisanna,Jarva, 
48,"Jaskari, Harri",Kokoomus,Harri,Jaskari, 
49,"Jokinen, Kalle",Kokoomus,Kalle,Jokinen, 
50,"Juhantalo, Kauko",Keskusta,Kauko,Juhantalo, 
51,"Juvonen, Arja",Perussuomalaiset,Arja,Juvonen, 
52,"Järvinen, Heli",Vihreät,Heli,Järvinen, 
53,"Kaikkonen, Antti",Keskusta,Antti,Kaikkonen, 
54,"Kalli, Timo",Keskusta,Timo,Kalli, 
55,"Kalmari, Anne",Keskusta,Anne,Kalmari, 
56,"Kanerva, Ilkka",Kokoomus,Ilkka,Kanerva, 
57,"Kankaanniemi, Toimi",Perussuomalaiset,Toimi,Kankaanniemi, 
58,"Kantola, Ilkka",Sosiaalidemokraatit,Ilkka,Kantola, 
59,"Kari, Emma",Vihreät,Emma,Kari, 
60,"Kari, Mika",Sosiaalidemokraatit,Mika,Kari, 
61,"Karimäki, Johanna",Vihreät,Johanna,Karimäki, 
62,"Kasvi, Jyrki",Vihreät,Jyrki,Kasvi, 
63,"Katainen, Elsi",Keskusta,Elsi,Katainen, 
64,"Kauma, Pia",Kokoomus,Pia,Kauma, 
65,"Keränen, Niilo",Keskusta,Niilo,Keränen, 
66,"Kiljunen, Anneli",Sosiaalidemokraatit,Anneli,Kiljunen, 
67,"Kiuru, Krista",Sosiaalidemokraatit,Krista,Kiuru, 
68,"Kiuru, Pauli",Kokoomus,Pauli,Kiuru, 
69,"Kivelä, Kimmo",Siniset,Kimmo,Kivelä, 
70,"Kiviranta, Esko",Keskusta,Esko,Kiviranta, 
71,"Kontula, Anna",Vasemmistoliitto,Anna,Kontula, 
72,"Kopra, Jukka",Kokoomus,Jukka,Kopra, 
73,"Korhonen, Timo",Keskusta,Timo,Korhonen, 
74,"Koski, Susanna",Kokoomus,Susanna,Koski, 
75,"Kosonen, Hanna",Keskusta,Hanna,Kosonen, 
76,"Kulmala, Kari",Siniset,Kari,Kulmala, 
77,"Kulmuni, Katri",Keskusta,Katri,Kulmuni, 
78,"Kurvinen, Antti",Keskusta,Antti,Kurvinen, 
79,"Kymäläinen, Suna",Sosiaalidemokraatit,Suna,Kymäläinen, 
80,"Kärnä, Mikko",Keskusta,Mikko,Kärnä, 
81,"Kääriäinen, Seppo",Keskusta,Seppo,Kääriäinen, 
82,"Laiho, Mia",Kokoomus,Mia,Laiho, 
83,"Laitinen-Pesola, Jaana",Kokoomus,Jaana,Laitinen-Pesola, 
84,"Lapintie, Annika",Vasemmistoliitto,Annika,Lapintie, 
85,"Laukkanen, Antero",Kristillisdemokraatit,Antero,Laukkanen, 
86,"Lauslahti, Sanna",Kokoomus,Sanna,Lauslahti, 
87,"Lehti, Eero",Kokoomus,Eero,Lehti, 
88,"Lehto, Rami",Perussuomalaiset,Rami,Lehto, 
89,"Lehtomäki, Paula",Keskusta,Paula,Lehtomäki, 
90,"Lepomäki, Elina",Kokoomus,Elina,Lepomäki, 
91,"Leppä, Jari",Keskusta,Jari,Leppä, Maa- ja metsätalousministeri;;
92,"Lindström, Jari",Siniset,Jari,Lindström, Oikeus- ja työministeri;; Työministeri;; Työministeri;;
93,"Lindtman, Antti",Sosiaalidemokraatit,Antti,Lindtman, 
94,"Lintilä, Mika",Keskusta,Mika,Lintilä, Elinkeinoministeri;; Elinkeinoministeri;;
95,"Lohela, Maria",Liike Nyt,Maria,Lohela, 
96,"Lohi, Markus",Keskusta,Markus,Lohi, 
97,"Louhelainen, Anne",Siniset,Anne,Louhelainen, 
98,"Löfström, Mats",Åländsk Samling,Mats,Löfström, 
99,"Maijala, Eeva-Maria",Keskusta,Eeva-Maria,Maijala, 
100,"Marin, Sanna",Sosiaalidemokraatit,Sanna,Marin, 
101,"Mattila, Hanna-Leena",Keskusta,Hanna-Leena,Mattila, 
102,"Mattila, Pirkko",Siniset,Pirkko,Mattila, Sosiaali- ja terveysministeri;; Sosiaali- ja terveysministeri;;
103,"Meri, Leena",Perussuomalaiset,Leena,Meri, 
104,"Mikkonen, Krista",Vihreät,Krista,Mikkonen, 
105,"Modig, Silvia",Vasemmistoliitto,Silvia,Modig, 
106,"Multala, Sari",Kokoomus,Sari,Multala, 
107,"Mustajärvi, Markus",Vasemmistoliitto,Markus,Mustajärvi, 
108,"Mykkänen, Kai",Kokoomus,Kai,Mykkänen, Ulkomaankauppa- ja kehitysministeri;; Sisäministeri;;
109,"Myller, Riitta",Sosiaalidemokraatit,Riitta,Myller, 
110,"Myllykoski, Jari",Vasemmistoliitto,Jari,Myllykoski, 
111,"Mäkelä, Jani",Perussuomalaiset,Jani,Mäkelä, 
112,"Mäkelä, Outi",Kokoomus,Outi,Mäkelä, 
