score,document_id
12,5486782
12,5486879
8,5607802
8,95163098
8,95668264
6,3003964
6,3813971
6,96656957
6,96677687
4,2717217
4,3392224
4,3571631
4,3798669
4,3838846
4,3976424
4,4030746
4,4030765
4,4030884
4,4109567
4,4110449
4,4407263
4,4514745
4,4586846
4,4875858
4,4893340
4,5074434
4,5096419
4,5312908
4,5442344
4,5675112
4,95130450
4,95137164
4,96789860
2,2656726
2,2670635
2,2689669
2,2777186
2,2777276
2,2792897
2,2818179
2,2871104
2,2900617
2,2997556
2,3002531
2,3004399
2,3006082
2,3006344
2,3012369
2,3012717
2,3020520
2,3038511
2,3046839
2,3221004
2,3257808
2,3259203
2,3292200
2,3317844
2,3321554
2,3352948
2,3383752
2,3417956
2,3455808
2,3578277
2,3578304
2,3578698
2,3586208
2,3588161
2,3603286
2,3607667
2,3607828
2,3611134
2,3642153
2,3659031
2,3664688
2,3682607
2,3689746
2,3693884
2,3702194
2,3704319
2,3744138
2,3760909
2,3797550
2,3798202
2,3798643
2,3820279
2,3822302
2,3823678
2,3823742
2,3823834
2,3823908
2,3833986
2,3847108
2,3874473
2,3892244
2,3902569
2,3979462
2,4002670
2,4004020
2,4013785
2,4013857
2,4013877
2,4013954
2,4025656
2,4025701
2,4025778
2,4025804
2,4027127
2,4027184
2,4027387
2,4027393
2,4027489
2,4029710
2,4033407
2,4035338
2,4035894
2,4044313
2,4045520
2,4046421
2,4084802
2,4158706
2,4171309
2,4205278
2,4207039
2,4220586
2,4221465
2,4249768
2,4250506
2,4290056
2,4327969
2,4373767
2,4410449
2,4417063
2,4429654
2,4440658
2,4445267
2,4445743
2,4517993
2,4530107
2,4533109
2,4534646
2,4562902
2,4570949
2,4573451
2,4595876
2,4621811
2,4631298
2,4659120
2,4670737
2,4688559
2,4689940
2,4700028
2,4700041
2,4708189
2,4724307
2,4729319
2,4737908
2,4742975
2,4743056
2,4754058
2,4773269
2,4773281
2,4776073
2,4777053
2,4777268
2,4778077
2,4781251
2,4792321
2,4833036
2,4834316
2,4834380
2,4836533
2,4836749
2,4841627
2,4842086
2,4846244
2,4854715
2,4854860
2,4856998
2,4878709
2,4881760
2,4897296
2,4905861
2,4913870
2,4913929
2,4930380
2,4934095
2,4946934
2,4950677
2,4982639
2,4982647
2,5006497
2,5013514
2,5013672
2,5027970
2,5049466
2,5086428
2,5090322
2,5090533
2,5091216
2,5091816
2,5091937
2,5092129
2,5112519
2,5131092
2,5158081
2,5168334
2,5171779
2,5178298
2,5179707
2,5183600
2,5188298
2,5203027
2,5225460
2,5242720
2,5243288
2,5277691
2,5297850
2,5299181
2,5305088
2,5345564
2,5367060
2,5374478
2,5383062
2,5399730
2,5410531
2,5412278
2,5429677
2,5442541
2,5442676
2,5444689
2,5457558
2,5457715
2,5517231
2,5517296
2,5523952
2,5525529
2,5527947
2,5534036
2,5570936
2,5577332
2,5577357
2,5581308
2,5585029
2,5589892
2,5603683
2,5608434
2,5617640
2,5617788
2,5617924
2,5618217
2,5618341
2,5620069
2,5629473
2,5629596
2,5640781
2,5642085
2,5643564
2,5674308
2,5674409
2,5675248
2,5871061
2,5871205
2,5871834
2,6121744
2,6121772
2,6121854
2,94549682
2,94562172
2,94562375
2,94567110
2,94578200
2,94689089
2,94856227
2,94898731
2,94898972
2,94966163
2,95047882
2,95136966
2,95155654
2,95157093
2,95160223
2,95161244
2,95161876
2,95164273
2,95322809
2,95458924
2,95532272
2,95623609
2,95698508
2,95777925
2,95956641
2,96374853
2,96639023
2,96647815
2,96754041
2,96803157
2,96887957
2,96938352
2,97088760
2,97090751
2,97091052
