score,document_id
4,100662834
4,5085054
4,5088629
2,2780109
2,3001002
2,3001004
2,3045268
2,3214618
2,3298741
2,3579377
2,3741403
2,3741422
2,3768882
2,3768935
2,3768938
2,3782305
2,3784821
2,4488380
2,4577125
2,4588979
2,4873430
2,4892620
2,4901667
2,4913711
2,4917666
2,4933887
2,4934002
2,4938879
2,4946606
2,4974885
2,5020607
2,5071701
2,5078208
2,5088935
2,5100777
2,5132019
2,5139132
2,5158606
2,5158626
2,5160479
2,5186537
2,5308607
2,5376327
2,5392482
2,5394209
2,5462290
2,5462549
2,5473249
2,5496533
2,5536828
2,5536922
2,5558480
2,5604026
2,5642043
2,94549811
2,94689902
