score,document_id
16,3-7606876
14,3-6152482
12,3-10548302
12,3-5353541
12,3-7653292
10,3-10054215
10,3-5350972
10,3-7859610
8,3-5245720
8,3-5252359
8,3-5345724
8,3-5645945
8,3-5714075
8,3-5728361
8,3-7330207
8,3-9026139
8,3-9582822
6,3-10190540
6,3-10356267
6,3-10400485
6,3-5080156
6,3-5252148
6,3-5256842
6,3-5262467
6,3-5276598
6,3-5281832
6,3-5305087
6,3-5320300
6,3-5322115
6,3-5330118
6,3-5334124
6,3-5338762
6,3-5343887
6,3-5346625
6,3-5368397
6,3-5371545
6,3-5374480
6,3-5488233
6,3-5496488
6,3-5498012
6,3-5504841
6,3-5507181
6,3-5538044
6,3-5573536
6,3-5574303
6,3-5618858
6,3-5635915
6,3-5641724
6,3-5641726
6,3-5652865
6,3-5709200
6,3-5725333
6,3-5848717
6,3-5848728
6,3-5856811
6,3-5856863
6,3-5861955
6,3-5883046
6,3-5886234
6,3-5894038
6,3-5894404
6,3-5895982
6,3-5909564
6,3-5914268
6,3-6611996
6,3-6699691
6,3-6838816
6,3-6906352
6,3-7152534
6,3-7220781
6,3-7651197
6,3-7654385
6,3-7666165
6,3-7735567
6,3-7739465
6,3-8058096
6,3-9071927
6,3-9170115
6,3-9255105
6,3-9392581
6,3-9434072
6,3-9498202
6,3-9526427
4,20-186303
4,20-197027
4,20-54864
4,3-10066803
4,3-10222023
4,3-10493365
4,3-5079755
4,3-5089904
4,3-5215492
4,3-5215544
4,3-5216540
4,3-5252136
4,3-5252150
4,3-5255145
4,3-5263145
4,3-5265781
4,3-5270774
4,3-5272947
4,3-5273971
4,3-5275818
4,3-5287314
4,3-5288804
4,3-5306695
4,3-5311473
4,3-5311685
4,3-5312010
4,3-5312797
4,3-5313012
4,3-5317357
4,3-5322105
4,3-5325403
4,3-5327872
4,3-5328146
4,3-5331135
4,3-5332295
4,3-5339245
4,3-5339291
4,3-5344389
4,3-5344413
4,3-5345186
4,3-5347073
4,3-5349361
4,3-5349725
4,3-5350378
4,3-5351998
4,3-5352191
4,3-5352860
4,3-5358151
4,3-5359544
4,3-5361430
4,3-5364487
4,3-5369434
4,3-5369831
4,3-5374155
4,3-5374260
4,3-5374354
4,3-5449126
4,3-5487531
4,3-5493866
4,3-5497743
4,3-5512224
4,3-5512861
4,3-5522346
4,3-5522392
4,3-5524721
4,3-5526611
4,3-5533496
4,3-5534200
4,3-5545338
4,3-5545681
4,3-5546823
4,3-5549016
4,3-5550723
4,3-5552199
4,3-5552377
4,3-5559207
4,3-5563404
4,3-5563816
4,3-5569236
4,3-5569244
4,3-5571969
4,3-5586157
4,3-5610711
4,3-5612889
4,3-5618848
4,3-5624357
4,3-5631945
4,3-5642461
4,3-5642466
4,3-5662856
4,3-5668616
4,3-5674006
4,3-5685139
4,3-5716425
4,3-5718538
4,3-5722056
4,3-5728187
4,3-5729629
4,3-5732943
4,3-5732945
4,3-5732974
4,3-5788056
4,3-5802097
4,3-5802857
4,3-5810961
4,3-5833136
4,3-5845541
4,3-5851132
4,3-5854972
4,3-5860984
4,3-5864740
