score,document_id
14,3-5425166
10,3-10531604
10,3-8842383
8,3-5376125
8,3-7690363
6,3-10479793
6,3-5093978
6,3-5225917
6,3-5240220
6,3-5253293
6,3-5514183
6,3-5532339
6,3-5719965
6,3-5820812
6,3-5878818
6,3-6564630
6,3-7156109
6,3-7156119
6,3-7185393
6,3-7545281
6,3-7876507
6,3-8685020
6,3-9217359
6,3-9360072
6,3-9663521
4,3-10225938
4,3-5080320
4,3-5265242
4,3-5316043
4,3-5342062
4,3-5344703
4,3-5346448
4,3-5414212
4,3-5431422
4,3-5516832
4,3-5549796
4,3-5551168
4,3-5615248
4,3-5640954
4,3-5652295
4,3-5716641
4,3-5725983
4,3-5851502
4,3-5913996
4,3-6112573
4,3-6150160
4,3-6283693
4,3-6562332
4,3-6947875
4,3-6949015
4,3-7157746
4,3-7829122
4,3-7859316
4,3-8060054
4,3-8742650
4,3-9631706
2,20-121809
2,20-253647
2,20-30286
2,20-30290
2,3-10056495
2,3-10094055
2,3-10153652
2,3-10159115
2,3-10221812
2,3-10223986
2,3-10224112
2,3-10227722
2,3-10235559
2,3-10268306
2,3-10312355
2,3-10416402
2,3-10423002
2,3-10482944
2,3-10497984
2,3-10535102
2,3-10535918
2,3-5052893
2,3-5079287
2,3-5101711
2,3-5101747
2,3-5113983
2,3-5115902
2,3-5132521
2,3-5137838
2,3-5145601
2,3-5153917
2,3-5154490
2,3-5192956
2,3-5194143
2,3-5194146
2,3-5218743
2,3-5253238
2,3-5256749
2,3-5256774
2,3-5257481
2,3-5259024
2,3-5262116
2,3-5263320
2,3-5263360
2,3-5265930
2,3-5266768
2,3-5269790
2,3-5301656
2,3-5319792
2,3-5325801
2,3-5341104
2,3-5342116
2,3-5344567
2,3-5345222
2,3-5354901
2,3-5361077
2,3-5364115
2,3-5364485
2,3-5370653
2,3-5378336
2,3-5380395
2,3-5380847
2,3-5383700
2,3-5383919
2,3-5414853
2,3-5419791
2,3-5451299
2,3-5454964
2,3-5461021
2,3-5486189
2,3-5506610
2,3-5514704
2,3-5539209
2,3-5540067
2,3-5550933
2,3-5557842
2,3-5587895
2,3-5632949
2,3-5633414
2,3-5633644
2,3-5654199
2,3-5659239
2,3-5659983
2,3-5664658
2,3-5682385
2,3-5684204
2,3-5693320
2,3-5694058
2,3-5720047
2,3-5726416
2,3-5727742
2,3-5728157
2,3-5731909
2,3-5737749
2,3-5744994
2,3-5751130
2,3-5752036
2,3-5756061
2,3-5778820
2,3-5784282
2,3-5790912
2,3-5800632
2,3-5802475
2,3-5826836
2,3-5827011
2,3-5836872
2,3-5839219
2,3-5845534
2,3-5848487
2,3-5848857
2,3-5852715
2,3-5864526
2,3-5873355
2,3-5878547
2,3-5887131
2,3-5890590
2,3-5915701
2,3-5917177
2,3-5921239
2,3-5923574
2,3-5931178
2,3-5964906
2,3-5969616
2,3-5990603
2,3-6082864
2,3-6087563
2,3-6112686
2,3-6117194
2,3-6117390
2,3-6137973
2,3-6151625
2,3-6176919
2,3-6298125
2,3-6302127
2,3-6302140
2,3-6391067
2,3-6420295
2,3-6430735
2,3-6436159
2,3-6451426
2,3-6486713
2,3-6549880
2,3-6620493
2,3-6629416
2,3-6631574
2,3-6654897
2,3-6655303
2,3-6680335
2,3-6733101
2,3-6755628
2,3-6758804
2,3-6876018
2,3-6930915
2,3-6950753
2,3-6981536
2,3-7020241
2,3-7038499
2,3-7056713
2,3-7062034
2,3-7069391
2,3-7133935
2,3-7134042
2,3-7134142
2,3-7144992
2,3-7252211
2,3-7253225
2,3-7261973
2,3-7265990
2,3-7290358
2,3-7305366
2,3-7305369
2,3-7324290
2,3-7385608
2,3-7392311
2,3-7421864
2,3-7443983
2,3-7449583
2,3-7453217
2,3-7490523
2,3-7502270
2,3-7518986
2,3-7520312
2,3-7600648
2,3-7656491
2,3-7657997
2,3-7704008
2,3-7803050
2,3-7827940
2,3-7829549
2,3-7857951
2,3-7862573
2,3-7891035
2,3-7894801
2,3-7897814
2,3-7934258
2,3-7941420
2,3-8294833
2,3-8477236
2,3-8609378
2,3-8690241
2,3-8700118
2,3-8710938
2,3-8734952
2,3-8826937
2,3-8838852
2,3-9161767
2,3-9190935
2,3-9212806
2,3-9218460
2,3-9315860
2,3-9339874
2,3-9360254
2,3-9480201
2,3-9485728
2,3-9609456
2,3-9617674
2,3-9653503
2,3-9692759
2,3-9695861
2,3-9696396
2,3-9707822
2,3-9713827
2,3-9714508
2,3-9783451
2,3-9819874
2,3-9849582
