score,document_id
14,3-6472346
14,3-6575746
12,3-6347776
12,3-6904712
12,3-8973729
12,3-9028467
10,3-10069830
10,3-5052618
10,3-6503066
10,3-6585801
10,3-6585958
10,3-7607178
10,3-9033546
10,3-9116619
10,3-9430273
8,20-254336
8,3-10417497
8,3-5736264
8,3-5917530
8,3-6289407
8,3-6472371
8,3-6472754
8,3-6592049
8,3-6908544
8,3-7361793
8,3-8658148
6,20-124628
6,3-10004898
6,3-10058585
6,3-10072204
6,3-10132763
6,3-10143777
6,3-10243475
6,3-10381763
6,3-5052558
6,3-5055718
6,3-5061054
6,3-5252892
6,3-5331762
6,3-5367796
6,3-5430191
6,3-5430742
6,3-5454964
6,3-5560991
6,3-5694180
6,3-5719159
6,3-5884811
6,3-5885468
6,3-5886222
6,3-5896255
6,3-5915394
6,3-5916307
6,3-6086403
6,3-6147508
6,3-6472239
6,3-6498725
6,3-6504837
6,3-6552455
6,3-6589388
6,3-6593753
6,3-6598513
6,3-6610203
6,3-6752651
6,3-7085837
6,3-7168813
6,3-7245139
6,3-7510223
6,3-8457465
6,3-8460215
6,3-8461143
6,3-8784612
6,3-8962493
6,3-8998291
6,3-9011388
6,3-9015681
6,3-9033520
6,3-9044940
6,3-9109126
6,3-9230213
6,3-9240244
6,3-9472725
6,3-9665802
6,3-9672980
6,3-9681547
6,3-9681755
6,3-9747843
6,3-9790499
4,20-253679
4,20-96888
4,3-10070491
4,3-10185972
4,3-10186127
4,3-10210052
4,3-10362360
4,3-10362792
4,3-10415200
4,3-10539114
4,3-5166636
4,3-5223365
4,3-5236525
4,3-5248440
4,3-5266073
4,3-5275102
4,3-5282942
4,3-5310732
4,3-5311097
4,3-5311355
4,3-5332144
4,3-5437013
4,3-5442810
4,3-5506384
4,3-5527222
4,3-5534191
4,3-5542481
4,3-5544877
4,3-5615676
4,3-5665960
4,3-5673111
4,3-5751751
4,3-5755461
4,3-5767303
4,3-5782016
4,3-5794874
4,3-5813446
4,3-5821644
4,3-5839228
4,3-5847860
4,3-5886220
4,3-5891168
4,3-5896759
4,3-5897076
4,3-5907472
4,3-5911252
4,3-5912554
4,3-5912588
4,3-6116791
4,3-6118161
4,3-6158962
4,3-6348467
4,3-6471854
4,3-6593859
4,3-6604939
4,3-7305969
4,3-7948265
4,3-8040969
4,3-8060054
4,3-8194087
4,3-8641469
4,3-8676927
4,3-8890509
4,3-8989737
4,3-9000121
4,3-9255298
4,3-9401422
4,3-9933045
2,20-252962
2,20-254014
2,20-254501
2,20-254529
2,20-254537
2,20-277902
2,20-30392
2,3-10005335
2,3-10006318
2,3-10009628
2,3-10047470
2,3-10050264
2,3-10058982
2,3-10072519
2,3-10086391
2,3-10097072
2,3-10097114
2,3-10118781
2,3-10132162
2,3-10138822
2,3-10144405
2,3-10147125
2,3-10147433
2,3-10150823
2,3-10177375
2,3-10189310
2,3-10191654
2,3-10219013
2,3-10273017
2,3-10275389
2,3-10313794
2,3-10336351
2,3-10349061
2,3-10415733
2,3-10421037
2,3-10421417
2,3-10422772
2,3-10498955
2,3-10530192
2,3-10533347
2,3-10545676
2,3-5055330
2,3-5055761
2,3-5063059
2,3-5064517
2,3-5096067
2,3-5122176
2,3-5122194
2,3-5162357
2,3-5162563
2,3-5163688
2,3-5169560
2,3-5172374
2,3-5173844
2,3-5194686
2,3-5215976
2,3-5225647
2,3-5244569
2,3-5246039
2,3-5249258
2,3-5251699
2,3-5256752
2,3-5262116
2,3-5262707
2,3-5272249
2,3-5300084
2,3-5306312
2,3-5311096
2,3-5311184
2,3-5312003
2,3-5312343
2,3-5315429
2,3-5325044
2,3-5338091
2,3-5344484
2,3-5344643
2,3-5345083
2,3-5345688
2,3-5371327
2,3-5377963
2,3-5393765
2,3-5409711
2,3-5417208
2,3-5425450
2,3-5430182
2,3-5430212
2,3-5430471
2,3-5443508
2,3-5443509
2,3-5463520
2,3-5467272
2,3-5467298
2,3-5482518
2,3-5482883
2,3-5499367
2,3-5505610
2,3-5512636
2,3-5543426
2,3-5555717
2,3-5558729
2,3-5578362
2,3-5588860
2,3-5606111
2,3-5610710
2,3-5615962
2,3-5623821
2,3-5634239
2,3-5635394
2,3-5649067
2,3-5666683
2,3-5677781
2,3-5687844
2,3-5688608
2,3-5689414
2,3-5689438
2,3-5719955
2,3-5723930
2,3-5724575
2,3-5742419
2,3-5750118
2,3-5754996
2,3-5755124
2,3-5762160
2,3-5775723
2,3-5801937
2,3-5813870
2,3-5824055
2,3-5838088
2,3-5838427
2,3-5838442
2,3-5838488
2,3-5844121
2,3-5884271
2,3-5884413
2,3-5884470
2,3-5884773
2,3-5884774
2,3-5885440
2,3-5886195
2,3-5887721
2,3-5888478
2,3-5888861
2,3-5890325
2,3-5897597
2,3-5903257
2,3-5908645
2,3-5909816
2,3-5923332
2,3-6005842
2,3-6050705
2,3-6050735
2,3-6051154
2,3-6077145
2,3-6116766
2,3-6116780
2,3-6116801
2,3-6131865
2,3-6137964
2,3-6137965
2,3-6212004
2,3-6220401
2,3-6221013
2,3-6238158
2,3-6279369
2,3-6289573
2,3-6289630
2,3-6300194
2,3-6306237
2,3-6306506
2,3-6328945
2,3-6329611
2,3-6365137
2,3-6391067
2,3-6472276
2,3-6472429
2,3-6472600
2,3-6472758
2,3-6473555
2,3-6475114
2,3-6481396
2,3-6498621
2,3-6502870
2,3-6522251
2,3-6538551
2,3-6588298
2,3-6606569
2,3-6607161
2,3-6736906
2,3-6799357
2,3-6909438
2,3-6930093
2,3-6996911
2,3-7028888
2,3-7066870
2,3-7111532
2,3-7158134
2,3-7160909
2,3-7171694
2,3-7243837
2,3-7290525
2,3-7305366
2,3-7346286
2,3-7369492
2,3-7395832
2,3-7468368
2,3-7655372
2,3-7656062
2,3-7674563
2,3-7740605
2,3-7824062
2,3-7916133
2,3-7931363
2,3-7938943
2,3-7963347
2,3-7964955
2,3-7985517
2,3-8064200
2,3-8098568
2,3-8188177
2,3-8195005
2,3-8392231
2,3-8393946
2,3-8461385
2,3-8462948
2,3-8514250
2,3-8516537
2,3-8593991
2,3-8604759
2,3-8629594
2,3-8754190
2,3-8798084
2,3-8861066
2,3-8938091
2,3-8951242
2,3-8969644
2,3-8972009
2,3-8978600
2,3-8980346
2,3-8987712
2,3-8993443
2,3-9028421
2,3-9055802
2,3-9057138
2,3-9112804
2,3-9113634
2,3-9117504
2,3-9120794
2,3-9137824
2,3-9150020
2,3-9188382
2,3-9207114
2,3-9207749
2,3-9211788
2,3-9240521
2,3-9242358
2,3-9252951
2,3-9284741
2,3-9292231
2,3-9377486
2,3-9413824
2,3-9435380
2,3-9442426
2,3-9443628
2,3-9454856
2,3-9501393
2,3-9556301
2,3-9617674
2,3-9622354
2,3-9630930
2,3-9639353
2,3-9641047
2,3-9641624
2,3-9642258
2,3-9659534
2,3-9665450
2,3-9665477
2,3-9665828
2,3-9666036
2,3-9686556
2,3-9689847
2,3-9695615
2,3-9718743
2,3-9719191
2,3-9744338
2,3-9755900
2,3-9777335
2,3-9791212
2,3-9823187
2,3-9842046
2,3-9853377
2,3-9853955
2,3-9857267
2,3-9858054
2,3-9861262
2,3-9863135
2,3-9865149
2,3-9867528
2,3-9873303
2,3-9875228
2,3-9891082
2,3-9906261
2,3-9931383
2,3-9954640
2,3-9970648
2,3-9973153
2,3-9986089
