score,document_id
14,3-9257761
12,3-7885898
12,3-9362049
10,3-6474842
10,3-9430273
8,3-10206068
8,3-6674341
8,3-7955832
8,3-7963748
8,3-8029237
8,3-8287843
8,3-9259518
8,3-9302079
8,3-9318206
6,3-10090113
6,3-10136140
6,3-10195917
6,3-10352535
6,3-10381763
6,3-10383760
6,3-10393157
6,3-5315163
6,3-5717144
6,3-6106981
6,3-6108913
6,3-6164871
6,3-6183651
6,3-6432281
6,3-6474867
6,3-6975778
6,3-7036843
6,3-7042619
6,3-7065648
6,3-7231513
6,3-7302761
6,3-7689338
6,3-7743883
6,3-7881454
6,3-7888223
6,3-7888303
6,3-7949651
6,3-7966670
6,3-7975890
6,3-7993308
6,3-8032686
6,3-8153221
6,3-8161374
6,3-8276534
6,3-8290699
6,3-8309944
6,3-8440478
6,3-8490224
6,3-8715715
6,3-8780129
6,3-8795059
6,3-8889002
6,3-8994600
6,3-9103995
6,3-9121467
6,3-9176058
6,3-9258633
6,3-9266762
6,3-9279545
6,3-9287880
6,3-9304146
6,3-9697590
6,3-9873985
4,3-10057349
4,3-10292830
4,3-10539114
4,3-10545226
4,3-5072959
4,3-5867798
4,3-5945589
4,3-6187134
4,3-6432228
4,3-6847175
4,3-7038417
4,3-7689497
4,3-7786005
4,3-7862139
4,3-7889675
4,3-7993914
4,3-8003213
4,3-8039303
4,3-8060054
4,3-8429851
4,3-8711270
4,3-8863697
4,3-9126417
4,3-9258463
4,3-9258841
4,3-9259468
4,3-9260583
4,3-9298514
4,3-9300247
4,3-9401422
4,3-9818289
2,20-120680
2,20-128806
2,20-137477
2,20-85664
2,3-10071991
2,3-10077748
2,3-10082914
2,3-10087711
2,3-10118819
2,3-10132196
2,3-10143777
2,3-10146267
2,3-10146708
2,3-10162329
2,3-10170923
2,3-10179852
2,3-10186127
2,3-10203769
2,3-10284335
2,3-10293696
2,3-10352011
2,3-10352846
2,3-10353913
2,3-10366647
2,3-10368555
2,3-10408263
2,3-10412703
2,3-10420582
2,3-10475685
2,3-10528628
2,3-10530192
2,3-10551454
2,3-10567193
2,3-5059998
2,3-5063633
2,3-5246709
2,3-5307024
2,3-5344484
2,3-5345824
2,3-5383190
2,3-5384561
2,3-5423600
2,3-5424224
2,3-5424261
2,3-5450690
2,3-5459811
2,3-5507128
2,3-5520106
2,3-5546072
2,3-5609042
2,3-5632137
2,3-5663889
