score,document_id
18,3-9493288
14,3-5345345
12,3-6133771
12,3-6821098
10,3-5058680
10,3-5236027
10,3-5448981
10,3-6570035
10,3-7455887
10,3-7457841
10,3-7595040
8,3-10239127
8,3-5063102
8,3-5250642
8,3-5342254
8,3-5344685
8,3-5428813
8,3-5471373
8,3-5650710
8,3-6102919
8,3-6924242
8,3-7157672
8,3-7497103
8,3-8497822
8,3-8918682
8,3-9414710
6,3-5089212
6,3-5240109
6,3-5276135
6,3-5327079
6,3-5345967
6,3-5349428
6,3-5630791
6,3-5868565
6,3-5974237
6,3-6110336
6,3-6120292
6,3-6136610
6,3-6510210
6,3-6570177
6,3-7245481
6,3-7263395
6,3-7319799
6,3-8060054
6,3-8131448
6,3-8545451
6,3-8967589
6,3-8968163
6,3-8968256
6,3-9079374
6,3-9626411
6,3-9985799
4,3-10047828
4,3-10459056
4,3-5057167
4,3-5269319
4,3-5281539
4,3-5337352
4,3-5345925
4,3-5356823
4,3-5365251
4,3-5384079
4,3-5403496
4,3-5440447
4,3-5440772
4,3-5564072
4,3-5579807
4,3-5613353
4,3-5623090
4,3-5643986
4,3-5657289
4,3-5768541
4,3-6050171
4,3-6103087
4,3-6185815
4,3-6382497
4,3-6904239
4,3-7973957
4,3-8492594
4,3-9370960
4,3-9432844
4,3-9653399
2,20-209745
2,20-221244
2,20-75759
2,3-10483768
2,3-10499855
2,3-10542943
2,3-10564829
2,3-5060829
2,3-5069737
2,3-5082405
2,3-5089198
2,3-5094289
2,3-5095131
2,3-5105248
2,3-5246872
2,3-5247338
2,3-5248660
2,3-5249363
2,3-5266124
2,3-5288007
2,3-5301737
2,3-5335932
2,3-5344545
2,3-5344574
2,3-5353280
2,3-5368246
2,3-5382555
2,3-5398080
2,3-5409597
2,3-5421874
2,3-5430825
2,3-5441726
2,3-5452420
2,3-5457116
2,3-5519394
2,3-5550143
2,3-5580211
2,3-5595437
2,3-5600928
2,3-5622889
2,3-5623886
2,3-5639898
2,3-5657128
2,3-5657193
2,3-5666328
2,3-5678545
2,3-5705854
2,3-5765047
2,3-5770963
2,3-5864029
2,3-5864079
2,3-5874246
2,3-5887964
2,3-5898407
2,3-5906684
2,3-5907619
2,3-5911792
2,3-5970912
2,3-6130871
2,3-6150234
2,3-6159908
2,3-6264249
2,3-6267983
2,3-6354601
2,3-6360818
2,3-6376204
2,3-6376384
2,3-6387912
2,3-6421678
2,3-6422351
2,3-6431164
2,3-6433347
2,3-6436231
2,3-6439385
2,3-6441217
2,3-6446789
2,3-6501682
2,3-6515595
2,3-6526193
2,3-6620513
2,3-6679862
2,3-6747327
2,3-6777153
2,3-6783790
2,3-6799093
2,3-6859735
2,3-6875390
2,3-6881237
2,3-6881643
2,3-6920635
2,3-6994175
2,3-7041226
2,3-7049561
2,3-7063559
2,3-7066038
2,3-7119531
2,3-7141601
2,3-7152572
2,3-7277915
2,3-7318743
2,3-7318886
2,3-7375996
2,3-7376400
2,3-7445491
2,3-7544689
2,3-7639904
2,3-7641108
2,3-7658186
2,3-7672019
2,3-7686594
2,3-7688648
2,3-7767029
2,3-7846976
2,3-7873393
2,3-7900589
2,3-7916064
2,3-7938342
2,3-7939079
2,3-7939191
2,3-7939452
2,3-7939545
2,3-7939713
2,3-8095980
2,3-8099171
2,3-8283363
2,3-8329377
2,3-8428261
2,3-8594960
2,3-8643208
2,3-8667314
2,3-8701451
2,3-8702234
2,3-8946056
2,3-8981485
2,3-9223858
2,3-9420641
2,3-9449957
2,3-9486434
2,3-9509569
2,3-9510586
2,3-9557455
2,3-9558269
2,3-9563535
2,3-9579114
2,3-9888507
