score,document_id
12,3-9102549
12,3-9476666
10,3-7658406
8,3-7709978
6,3-10292830
6,3-6518527
6,3-7325965
6,3-7703632
6,3-8060054
6,3-9671489
6,3-9687244
6,3-9691794
4,3-10222420
4,3-7318743
4,3-7318886
4,3-7319078
4,3-9212736
4,3-9292881
4,3-9666816
4,3-9711720
2,20-125308
2,3-10050264
2,3-10077748
2,3-10180298
2,3-10208182
2,3-10295657
2,3-10360528
2,3-10449605
2,3-10565402
2,3-5053625
2,3-5345824
2,3-6348670
2,3-6349406
2,3-6351737
2,3-6492787
2,3-6502870
2,3-6514622
2,3-6529084
2,3-6701114
2,3-6862784
2,3-6929171
2,3-6945508
2,3-6947404
2,3-7110375
2,3-7341803
2,3-7502875
2,3-7544689
2,3-7639904
2,3-7658161
2,3-7658258
2,3-7658644
2,3-8028642
2,3-8098568
2,3-8401551
2,3-8432267
2,3-8691075
2,3-8701071
2,3-8891224
2,3-8964873
2,3-9480201
2,3-9485503
2,3-9655375
2,3-9662223
2,3-9666223
2,3-9666763
2,3-9667646
2,3-9668237
2,3-9670840
2,3-9671562
2,3-9672098
2,3-9681232
2,3-9686496
2,3-9692779
2,3-9699030
2,3-9896042
2,3-9962984
2,3-9997836
