score,document_id
12,3-6796148
10,3-5567322
10,3-7230018
6,3-5668765
6,3-5711114
6,3-6711878
4,3-5064665
4,3-5113366
4,3-5152859
4,3-5158562
4,3-5319147
4,3-5474497
4,3-5961733
4,3-7952929
2,20-31753
2,3-10326233
2,3-5080385
2,3-5091646
2,3-5094673
2,3-5137838
2,3-5166370
2,3-5178279
2,3-5239663
2,3-5267903
2,3-5317476
2,3-5341987
2,3-5360132
2,3-5376950
2,3-5410956
2,3-5453343
2,3-5471911
2,3-5517793
2,3-5526930
2,3-5526967
2,3-5547740
2,3-5552277
2,3-5557432
2,3-5660876
2,3-5679404
2,3-5679441
2,3-5680204
2,3-5680230
2,3-5682486
2,3-5691579
2,3-5756385
2,3-5887938
2,3-5901133
2,3-5915421
2,3-5916191
2,3-5945071
2,3-5947988
2,3-5950636
2,3-5961604
2,3-5961683
2,3-5992526
2,3-6079371
2,3-6142655
2,3-6151690
2,3-6156413
2,3-6162468
2,3-6305389
2,3-6331530
2,3-6345618
2,3-6356501
2,3-6364655
2,3-6373897
2,3-6887755
2,3-6890225
2,3-6905116
2,3-7250949
2,3-7855630
2,3-8161352
2,3-8579270
2,3-9614525
2,3-9807939
2,3-9966953
