score,document_id
10,3-7261984
10,3-7262885
10,3-7533219
8,3-7074747
8,3-7328501
6,3-7261887
6,3-7880163
6,3-8033243
4,3-5267865
4,3-5335143
4,3-5535423
4,3-5675255
4,3-5767191
4,3-5770213
4,3-5770247
4,3-5801699
4,3-7952069
4,3-8521604
2,3-10565494
2,3-5059434
2,3-5112614
2,3-5128893
2,3-5130431
2,3-5131530
2,3-5132120
2,3-5136486
2,3-5137838
2,3-5266838
2,3-5306801
2,3-5307056
2,3-5313937
2,3-5318058
2,3-5318719
2,3-5320498
2,3-5345783
2,3-5569330
2,3-5778590
2,3-7337351
2,3-7941756
2,3-8114152
2,3-8514153
2,3-8612505
2,3-9057195
