score,document_id
14,3-6949608
14,3-7099261
12,3-7262174
10,20-194219
10,3-10223714
10,3-5056650
10,3-5069938
10,3-5699952
10,3-5920524
10,3-6006667
10,3-6127392
10,3-7200090
10,3-7207783
10,3-7225316
10,3-7257010
10,3-7325148
10,3-8570962
8,3-10550427
8,3-5054801
8,3-5065586
8,3-5307393
8,3-5378415
8,3-5380992
8,3-5408898
8,3-5449812
8,3-5450333
8,3-5458332
8,3-5499527
8,3-5629596
8,3-5811036
8,3-5826845
8,3-5839403
8,3-5900568
8,3-6127335
8,3-6130309
8,3-6158198
8,3-6184954
8,3-6203703
8,3-6222968
8,3-6465808
8,3-6660877
8,3-6808203
8,3-6877724
8,3-6906774
8,3-7024514
8,3-7039110
8,3-7044201
8,3-7167243
8,3-7167545
6,3-10060783
6,3-10067278
6,3-5052401
6,3-5053672
6,3-5059888
6,3-5063048
6,3-5063124
6,3-5065365
6,3-5070011
6,3-5071844
6,3-5072827
6,3-5077983
6,3-5078129
6,3-5252368
6,3-5267146
6,3-5282230
6,3-5282977
6,3-5335842
6,3-5362570
6,3-5380965
6,3-5395273
6,3-5401583
6,3-5408790
6,3-5414857
6,3-5415224
6,3-5415412
6,3-5427839
6,3-5429640
6,3-5431178
6,3-5434856
6,3-5471398
6,3-5471434
6,3-5471554
6,3-5488248
6,3-5491490
6,3-5497046
6,3-5498186
6,3-5498520
6,3-5498663
6,3-5515257
6,3-5524859
6,3-5541646
6,3-5543740
6,3-5549195
6,3-5579555
6,3-5634405
6,3-5645186
6,3-5646270
6,3-5652349
6,3-5712717
6,3-5713582
6,3-5717660
6,3-5721129
6,3-5721690
6,3-5726011
6,3-5727750
6,3-5730846
6,3-5731894
6,3-5763956
6,3-5764087
6,3-5767707
6,3-5770882
6,3-5775960
6,3-5878799
6,3-5890814
6,3-5898941
6,3-5900680
6,3-5902454
6,3-5902898
6,3-5970918
6,3-6050718
6,3-6060689
6,3-6087595
6,3-6114950
6,3-6128806
6,3-6129342
6,3-6131585
6,3-6166759
6,3-6197597
6,3-6198269
6,3-6198664
6,3-6206608
6,3-6210617
6,3-6244248
6,3-6252357
6,3-6255977
6,3-6277778
6,3-6285608
6,3-6332371
6,3-6342752
6,3-6391374
6,3-6395195
6,3-6438590
6,3-6446350
6,3-6447993
6,3-6464440
6,3-6465222
6,3-6476012
6,3-6501632
6,3-6555255
6,3-6574798
6,3-6586886
6,3-6643567
6,3-6653543
6,3-6684139
6,3-6697150
6,3-6758013
6,3-6810617
6,3-6887791
6,3-6897805
6,3-6899365
6,3-6918682
6,3-6920210
6,3-6990150
6,3-6990278
6,3-6998081
6,3-7023223
6,3-7023787
6,3-7023827
6,3-7025550
6,3-7032316
6,3-7037013
6,3-7045289
6,3-7049679
6,3-7049895
6,3-7051845
6,3-7051884
6,3-7057652
6,3-7062130
6,3-7063082
6,3-7131311
6,3-7135835
6,3-7137763
6,3-7147360
6,3-7147850
6,3-7151869
6,3-7164316
6,3-7165752
6,3-7168030
6,3-7168517
6,3-7170436
6,3-7176063
6,3-7178169
6,3-7182847
6,3-7194549
6,3-7198943
6,3-7206734
6,3-7207105
6,3-7207346
6,3-7214719
6,3-7216044
6,3-7228110
6,3-7256089
6,3-7257385
6,3-7257544
6,3-7258284
6,3-7262559
6,3-7290644
6,3-7295892
6,3-7313184
6,3-8135652
6,3-8184683
6,3-8185588
6,3-8273259
6,3-8761050
4,20-220372
4,20-30554
4,20-30556
4,3-10561895
4,3-5052413
4,3-5054149
4,3-5054698
4,3-5054798
4,3-5054894
4,3-5055317
4,3-5055371
4,3-5056007
4,3-5058515
4,3-5058520
4,3-5059470
4,3-5059863
4,3-5060751
4,3-5061925
4,3-5062765
4,3-5062822
