score,document_id
12,3-6265556
10,3-5087408
10,3-5630686
8,20-30256
8,3-5258586
8,3-5379533
8,3-5564123
6,3-5382070
6,3-5405924
6,3-5509897
6,3-5526945
6,3-5531733
6,3-5610334
6,3-5624281
6,3-5637634
6,3-5888228
6,3-5892878
6,3-5892882
4,3-5129317
4,3-5181005
4,3-5247988
4,3-5254026
4,3-5258539
4,3-5313946
4,3-5318719
4,3-5342034
4,3-5535257
4,3-5655860
4,3-5714407
4,3-5877607
4,3-6154720
4,3-7466077
4,3-7888658
2,20-30286
2,20-30290
2,20-30422
2,20-30754
2,20-30762
2,3-10426996
2,3-5065846
2,3-5112614
2,3-5113698
2,3-5128830
2,3-5128893
2,3-5131530
2,3-5137838
2,3-5158951
2,3-5167070
2,3-5266013
2,3-5275981
2,3-5303506
2,3-5313937
2,3-5313941
2,3-5313943
2,3-5315659
2,3-5318058
2,3-5359859
2,3-5376348
2,3-5386151
2,3-5386253
2,3-5446052
2,3-5466952
2,3-5487561
2,3-5515682
2,3-5527025
2,3-5550952
2,3-5642633
2,3-5647837
2,3-5688200
2,3-5710832
2,3-5711572
2,3-5731904
2,3-5769800
2,3-5769870
2,3-5772428
2,3-5886547
2,3-5886565
2,3-5886616
2,3-5890696
2,3-5892603
2,3-5892885
2,3-5896499
2,3-5896543
2,3-5916197
2,3-5920324
2,3-5951737
2,3-5957948
2,3-5998132
2,3-6096858
2,3-6120164
2,3-6120533
2,3-6121013
2,3-6150863
2,3-6151859
2,3-8291113
2,3-9623808
