score,document_id
18,3-7485777
18,3-9831291
16,20-73803
16,3-10013873
16,3-5461040
16,3-9292906
14,20-96817
14,3-5320666
14,3-6524813
14,3-7827195
14,3-9330240
12,20-104543
12,3-10421303
12,3-5373584
12,3-5537308
12,3-5557161
12,3-5885716
12,3-6442648
12,3-6522251
12,3-7183204
12,3-7215755
12,3-8629253
12,3-9827367
10,3-5313732
10,3-5460585
10,3-5774907
10,3-5774960
10,3-5781986
10,3-5829215
10,3-5829379
10,3-5907491
10,3-6521685
10,3-6542408
10,3-6570285
10,3-6707109
10,3-7130675
10,3-7158490
10,3-7199502
10,3-7214755
10,3-7264641
10,3-7332987
10,3-7409438
10,3-7733253
10,3-7876507
10,3-7940762
10,3-8367992
10,3-8457605
10,3-8460785
10,3-8466744
10,3-8585369
10,3-8596743
10,3-8724445
10,3-8807351
10,3-8890509
10,3-8989737
10,3-9130436
10,3-9406376
10,3-9436605
10,3-9577713
10,3-9718160
10,3-9896743
8,20-96547
8,20-96809
8,3-10056120
8,3-5313722
8,3-5313728
8,3-5316626
8,3-5322433
8,3-5325695
8,3-5341881
8,3-5351645
8,3-5412191
8,3-5700188
8,3-5723816
8,3-5784605
8,3-5817755
8,3-5826940
8,3-5826992
8,3-5830535
8,3-5854420
8,3-5867877
8,3-5874994
8,3-5883059
8,3-5883921
8,3-5886266
8,3-5886594
8,3-5910996
8,3-6007771
8,3-6075643
8,3-6470500
8,3-6705725
8,3-6706956
8,3-6708806
8,3-6717847
8,3-6718005
8,3-7190812
8,3-7256875
8,3-7334854
8,3-7591128
8,3-7938478
8,3-8074129
8,3-8330840
8,3-8469206
8,3-8913862
8,3-9003943
8,3-9456053
6,20-102449
6,20-160047
6,20-160128
6,20-186585
6,20-232407
6,20-233819
6,20-77775
6,20-93823
6,20-93824
6,3-10122286
6,3-10446952
6,3-5061516
6,3-5115474
6,3-5115604
6,3-5148377
6,3-5222538
6,3-5267139
6,3-5284532
6,3-5290988
6,3-5313719
6,3-5313848
6,3-5315015
6,3-5315573
6,3-5316997
6,3-5344561
6,3-5451299
6,3-5452589
6,3-5454293
6,3-5503639
6,3-5505644
6,3-5535672
6,3-5579080
6,3-5582369
6,3-5583706
6,3-5601013
6,3-5625686
6,3-5698230
6,3-5774754
6,3-5775236
6,3-5775561
6,3-5775681
6,3-5785324
6,3-5817739
6,3-5818327
6,3-5821333
6,3-5823506
6,3-5824055
6,3-5826967
6,3-5828910
6,3-5828978
6,3-5829249
6,3-5829398
6,3-5829424
6,3-5859328
6,3-5868318
6,3-5895533
6,3-5900968
6,3-5942080
6,3-5943288
6,3-5961989
6,3-6006360
6,3-6007729
6,3-6007855
6,3-6033653
6,3-6043099
6,3-6073400
6,3-6075126
6,3-6097366
6,3-6098729
6,3-6322831
6,3-6338227
6,3-6407648
6,3-6486713
6,3-6553835
6,3-6717980
6,3-6781568
6,3-6822457
6,3-6822490
6,3-7049204
6,3-7049205
6,3-7120768
6,3-7134042
6,3-7134142
6,3-7155317
6,3-7177455
6,3-7207466
6,3-7214973
6,3-7218530
6,3-7222991
6,3-7260280
6,3-7266568
6,3-7334092
6,3-7345915
