score,document_id
10,3-5352262
8,3-6274704
8,3-7084580
8,3-8043824
8,3-8356787
6,3-5316274
6,3-5331855
6,3-5605650
6,3-5721020
6,3-5726202
6,3-6063701
6,3-7299500
6,3-7941157
6,3-8453937
6,3-8754005
4,3-5268414
4,3-5269314
4,3-5333570
4,3-5339565
4,3-5370392
4,3-5413104
4,3-5491492
4,3-5502545
4,3-5502600
4,3-5504911
4,3-5520723
4,3-5556545
4,3-5560143
4,3-5591357
4,3-5635616
4,3-5637701
4,3-5641187
4,3-5643364
4,3-5667996
4,3-5668058
4,3-5683427
4,3-5691260
4,3-5711301
4,3-5767670
4,3-5768374
4,3-5910600
4,3-5971021
4,3-6049610
4,3-6163295
4,3-6169959
4,3-6492288
4,3-6579418
4,3-6939586
4,3-6976857
4,3-7131202
4,3-7409764
4,3-7541006
4,3-8266320
2,3-5060811
2,3-5062720
2,3-5066377
2,3-5091358
2,3-5093257
2,3-5095353
2,3-5112536
2,3-5113412
2,3-5246587
2,3-5267770
2,3-5319803
2,3-5321144
2,3-5325653
2,3-5330307
2,3-5342727
2,3-5343567
2,3-5344493
2,3-5344534
2,3-5344656
2,3-5344674
2,3-5345200
2,3-5345218
2,3-5345339
2,3-5345829
2,3-5440798
2,3-5441450
2,3-5493870
2,3-5515683
2,3-5537582
2,3-5538383
2,3-5573544
2,3-5579794
2,3-5581122
2,3-5587436
2,3-5588784
2,3-5589352
2,3-5619839
2,3-5621367
2,3-5634880
2,3-5637568
2,3-5641976
2,3-5643292
2,3-5662445
2,3-5670596
2,3-5672236
2,3-5722448
2,3-5726629
2,3-5729327
2,3-5763937
2,3-5768390
2,3-5832400
2,3-5864450
2,3-5878625
2,3-5882957
2,3-5888397
2,3-5898355
2,3-5915555
2,3-5967316
2,3-5967365
2,3-6050691
2,3-6133970
2,3-6151555
2,3-6155380
2,3-6158962
2,3-6162068
2,3-6164037
2,3-6625389
2,3-6871722
2,3-6946056
2,3-7203447
2,3-7274707
2,3-7296394
2,3-7297647
2,3-7299442
2,3-7418013
2,3-7444592
2,3-7537097
2,3-7636798
2,3-7845826
2,3-7855534
2,3-7866236
2,3-7932160
2,3-7935769
2,3-7938502
2,3-7939264
2,3-7939515
2,3-7939682
2,3-7942880
2,3-8087727
2,3-8546426
2,3-8605216
2,3-9148651
2,3-9163441
2,3-9495226
