score,document_id
12,3-5345306
10,3-5531692
10,3-6672153
10,3-7614314
10,3-8897011
8,3-5250529
8,3-5328925
8,3-6523547
8,3-8911996
8,3-9003645
6,3-5062576
6,3-5555778
6,3-6413066
6,3-6490765
6,3-6795435
6,3-6795567
6,3-6795743
6,3-6816296
6,3-8594690
6,3-9292012
6,3-9424890
6,3-9506807
6,3-9531505
4,3-10503994
4,3-5342254
4,3-5345308
4,3-5453697
4,3-5525726
4,3-5553764
4,3-5583558
4,3-5627201
4,3-5657739
4,3-6154577
4,3-6159408
4,3-6307989
4,3-6313394
4,3-6662612
4,3-7140978
4,3-7191697
4,3-7599009
4,3-7742289
4,3-7995174
4,3-8070723
4,3-8444358
4,3-8919400
4,3-9182038
4,3-9259514
4,3-9276481
4,3-9349693
2,3-5243868
2,3-5243871
2,3-5249904
2,3-5250671
2,3-5252011
2,3-5260484
2,3-5330333
2,3-5353280
2,3-5549127
2,3-5549132
2,3-5549372
2,3-5637488
2,3-5650794
2,3-5650962
2,3-5677797
2,3-5768906
2,3-5768943
2,3-5836938
2,3-5891862
2,3-5892508
2,3-5893682
2,3-5900346
2,3-5907114
2,3-5907922
2,3-5968492
2,3-6082562
2,3-6131186
2,3-6150965
2,3-6153841
2,3-6306670
2,3-6373477
2,3-6384123
2,3-6445854
2,3-6481152
2,3-6485514
2,3-6495996
2,3-6525750
2,3-6581155
2,3-6644931
2,3-6651853
2,3-6662333
2,3-6663212
2,3-6682322
2,3-6682768
2,3-6774358
2,3-6787665
2,3-6815999
2,3-6820896
2,3-6822719
2,3-6823147
2,3-6908952
2,3-6924779
2,3-6961225
2,3-6967277
2,3-7041773
2,3-7055949
2,3-7109933
2,3-7119206
2,3-7131728
2,3-7223989
2,3-7240551
2,3-7277915
2,3-7424240
2,3-7445298
2,3-7664055
2,3-7767029
2,3-7769389
2,3-7834511
2,3-7871286
2,3-7912838
2,3-8066712
2,3-8267447
2,3-8269265
2,3-8287848
2,3-8331333
2,3-8376231
2,3-8424826
2,3-8641864
2,3-8659094
2,3-8786140
2,3-8853386
2,3-8905642
2,3-8940004
2,3-8955310
2,3-9069349
2,3-9143898
2,3-9227243
2,3-9236640
2,3-9279592
2,3-9330620
2,3-9347930
2,3-9349665
2,3-9352920
2,3-9414074
2,3-9432535
2,3-9433022
2,3-9471125
2,3-9471607
2,3-9498345
2,3-9509400
2,3-9516389
