score,document_id
14,3-9444351
12,3-10439386
12,3-5441475
12,3-5679322
10,3-5463685
10,3-7128167
10,3-7471592
10,3-7632755
10,3-8026416
10,3-8364059
10,3-8438110
10,3-9585399
8,3-10213566
8,3-10213684
8,3-5368924
8,3-5418072
8,3-5624461
8,3-6162931
8,3-6409849
8,3-6522817
8,3-6589966
8,3-6915944
8,3-7210492
8,3-7286831
8,3-8742793
8,3-9211273
8,3-9584472
8,3-9795158
6,3-10243248
6,3-10309986
6,3-10406549
6,3-10407940
6,3-10546900
6,3-5065997
6,3-5299013
6,3-5345805
6,3-5546660
6,3-5624936
6,3-5738290
6,3-5974164
6,3-6121913
6,3-6158750
6,3-6350105
6,3-6986741
6,3-7066832
6,3-7831869
6,3-7973957
6,3-8060054
6,3-8408746
6,3-8786474
6,3-9583341
6,3-9586845
6,3-9588278
6,3-9767689
6,3-9774626
6,3-9996268
4,3-10088391
4,3-10443287
4,3-10458269
4,3-10548340
4,3-10556386
4,3-5069714
4,3-5255031
4,3-5277649
4,3-5299706
4,3-5324970
4,3-5344588
4,3-5351944
4,3-5411454
4,3-5475064
4,3-5521574
4,3-5563407
4,3-5579837
4,3-5624268
4,3-5709303
4,3-5772918
4,3-5805646
4,3-5861925
4,3-6118095
4,3-6153178
4,3-6158500
4,3-6162911
4,3-6576005
4,3-7305366
4,3-7675523
4,3-7767029
4,3-7842014
4,3-8403508
4,3-9608038
4,3-9778834
4,3-9781397
4,3-9879946
4,3-9924394
2,20-195674
2,3-10016650
2,3-10026474
2,3-10026596
2,3-10027627
2,3-10028558
2,3-10066263
2,3-10075288
2,3-10078822
2,3-10085650
2,3-10088623
2,3-10126146
2,3-10126552
2,3-10144109
2,3-10185372
2,3-10196059
2,3-10196212
2,3-10197684
2,3-10215128
2,3-10290196
2,3-10349061
2,3-10352281
2,3-10353769
2,3-10356049
2,3-10377096
2,3-10384153
2,3-10385859
2,3-10388058
2,3-10406671
2,3-10443358
2,3-10470870
2,3-10472847
2,3-10488424
2,3-10490154
2,3-10518468
2,3-10526147
2,3-10529518
2,3-10552563
2,3-10562336
2,3-10563604
2,3-5069999
2,3-5085782
2,3-5091646
2,3-5132463
2,3-5137838
2,3-5143176
2,3-5178508
2,3-5220822
2,3-5224898
2,3-5235939
2,3-5248444
2,3-5250037
2,3-5269107
2,3-5269779
2,3-5304746
2,3-5306447
2,3-5316398
2,3-5316656
2,3-5317476
2,3-5327087
2,3-5342862
2,3-5344527
2,3-5345271
2,3-5352592
2,3-5370032
2,3-5383899
2,3-5431124
2,3-5434034
2,3-5536579
2,3-5569997
2,3-5570062
2,3-5588795
2,3-5588947
2,3-5588961
2,3-5650590
2,3-5691579
2,3-5734707
2,3-5759743
2,3-5784459
2,3-5806065
2,3-5806179
2,3-5806205
2,3-5806208
2,3-5806299
2,3-5807479
2,3-5856918
2,3-6150528
2,3-6217194
2,3-6384110
2,3-6436007
2,3-6517496
2,3-6525322
2,3-6526468
2,3-6550054
2,3-6577050
2,3-6659936
2,3-6683667
2,3-6693095
2,3-6702078
2,3-6842694
2,3-6871472
2,3-6905684
2,3-6932023
2,3-6988964
2,3-7063559
2,3-7066038
2,3-7157236
2,3-7277915
2,3-7445491
2,3-7463064
2,3-7655356
2,3-7658150
2,3-7726076
2,3-7831234
2,3-7900589
2,3-7938342
2,3-7938415
2,3-7939079
2,3-7939191
2,3-7939677
2,3-7939713
2,3-7963568
2,3-8041056
2,3-8060476
2,3-8085794
2,3-8154013
2,3-8297714
2,3-8329377
2,3-8492594
2,3-8594960
2,3-8609496
2,3-8701451
2,3-8702234
2,3-8728099
2,3-8734952
2,3-8912101
2,3-8981485
2,3-9041521
2,3-9042580
2,3-9274165
2,3-9414710
2,3-9556584
2,3-9581818
2,3-9582039
2,3-9583344
2,3-9584431
2,3-9585919
2,3-9587649
2,3-9594671
2,3-9596060
2,3-9596662
2,3-9597802
2,3-9600533
2,3-9614125
2,3-9633894
2,3-9645079
2,3-9658424
2,3-9706923
2,3-9791281
2,3-9839350
2,3-9866630
2,3-9872641
2,3-9873528
2,3-9888507
2,3-9918951
2,3-9933045
2,3-9954100
2,3-9954962
2,3-9989676
