score,document_id
10,3-6374425
10,3-8184002
10,3-9850100
6,3-6354396
4,20-75759
4,3-10104139
4,3-6308963
4,3-8060054
4,3-8286377
4,3-8688536
4,3-9845066
2,20-209745
2,3-10147433
2,3-10191490
2,3-10474873
2,3-10519170
2,3-5086391
2,3-5337336
2,3-5344684
2,3-6153130
2,3-6441174
2,3-6709484
2,3-6862864
2,3-6869433
2,3-7066241
2,3-7359297
2,3-7363092
2,3-7498562
2,3-7741623
2,3-7898806
2,3-7938424
2,3-7939601
2,3-7939608
2,3-8099171
2,3-8219271
2,3-8235046
2,3-8424183
2,3-8428261
2,3-8741068
2,3-9123917
2,3-9420759
2,3-9536485
2,3-9557700
2,3-9666223
2,3-9666816
2,3-9671097
2,3-9805291
