score,document_id
16,3-5058341
12,3-5415342
12,3-7786968
12,3-8309437
10,3-5064746
10,3-5726075
10,3-5769437
10,3-6300493
10,3-9133647
8,3-10464525
8,3-5116072
8,3-5116723
8,3-5616535
8,3-5729774
8,3-5755407
8,3-5755435
8,3-7156760
8,3-7180298
8,3-7187751
6,3-5064804
6,3-5143667
6,3-5143738
6,3-5143756
6,3-5718962
6,3-5754682
6,3-6590619
6,3-7056190
6,3-7193464
6,3-7194063
4,3-5116055
4,3-5116713
4,3-5117307
4,3-5117372
4,3-5117913
4,3-5121677
4,3-5121908
4,3-5122233
4,3-5123446
4,3-5124250
4,3-5143844
4,3-5155380
4,3-5195894
4,3-5222623
4,3-5222931
4,3-5749691
4,3-5750118
4,3-5752827
4,3-5763272
4,3-7898941
2,20-25952
2,20-26053
2,3-5066114
2,3-5103002
2,3-5105919
2,3-5114269
2,3-5116706
2,3-5117297
2,3-5117300
2,3-5117308
2,3-5117309
2,3-5117415
2,3-5117470
2,3-5117479
2,3-5117617
2,3-5117857
2,3-5118219
2,3-5118582
2,3-5120882
2,3-5121063
2,3-5121804
2,3-5121829
2,3-5121852
2,3-5121907
2,3-5121929
2,3-5122017
2,3-5122132
2,3-5122210
2,3-5122221
2,3-5122284
2,3-5122353
2,3-5122380
2,3-5122487
2,3-5122946
2,3-5122965
2,3-5124065
2,3-5124067
2,3-5124328
2,3-5124747
2,3-5124772
2,3-5125301
2,3-5125334
2,3-5125424
2,3-5127141
2,3-5127190
2,3-5127737
2,3-5135348
2,3-5135432
2,3-5135446
2,3-5135498
2,3-5135621
2,3-5135710
2,3-5135747
2,3-5136533
2,3-5136566
2,3-5136645
2,3-5137070
2,3-5137115
2,3-5137123
2,3-5137157
2,3-5137228
2,3-5137838
2,3-5138306
2,3-5138479
2,3-5139322
2,3-5139506
2,3-5140121
2,3-5140431
2,3-5140555
2,3-5140702
2,3-5141054
2,3-5141580
2,3-5141611
2,3-5141663
2,3-5141738
2,3-5141740
2,3-5141742
2,3-5141744
2,3-5141846
2,3-5141904
2,3-5142558
2,3-5142614
2,3-5142891
2,3-5142940
2,3-5143065
2,3-5144464
2,3-5144693
2,3-5144706
2,3-5145172
2,3-5146145
2,3-5146168
2,3-5146529
2,3-5146798
2,3-5147842
2,3-5148330
2,3-5148497
2,3-5149114
2,3-5150852
2,3-5151104
2,3-5151844
2,3-5151874
2,3-5152153
2,3-5152349
2,3-5153086
2,3-5153480
2,3-5154380
2,3-5155233
2,3-5155347
2,3-5155405
2,3-5155412
2,3-5155501
2,3-5155529
2,3-5156039
2,3-5156933
2,3-5156953
2,3-5157146
2,3-5157558
2,3-5157563
2,3-5158045
2,3-5158590
2,3-5158625
2,3-5158632
2,3-5158648
2,3-5159159
2,3-5159956
2,3-5160981
2,3-5161019
2,3-5161502
2,3-5161543
2,3-5161552
2,3-5161920
2,3-5161929
2,3-5162047
2,3-5162127
2,3-5162146
2,3-5162257
2,3-5162337
2,3-5164681
2,3-5165809
2,3-5192998
2,3-5194625
2,3-5194804
2,3-5194984
2,3-5216961
2,3-5218996
2,3-5219651
2,3-5219815
2,3-5222939
2,3-5223365
2,3-5224317
2,3-5224795
2,3-5224823
2,3-5225934
2,3-5236458
2,3-5514951
2,3-5648284
2,3-5729805
2,3-5730089
2,3-5744664
2,3-5747467
2,3-5749864
2,3-5749875
2,3-5751493
2,3-5753993
2,3-5756087
2,3-5756146
2,3-5762496
2,3-5763171
2,3-6536749
2,3-9214723
2,3-9833157
