score,document_id
14,3-5344601
14,3-5345345
14,3-5452381
12,3-7128339
12,3-7940845
10,3-5097556
10,3-5351985
10,3-7471521
10,3-7485021
10,3-7939060
10,3-7976008
10,3-7981223
8,3-5058773
8,3-5292415
8,3-6135804
8,3-6552625
8,3-6832845
8,3-6885001
8,3-7497103
6,3-5078012
6,3-5078118
6,3-5327749
6,3-5341181
6,3-5418003
6,3-5441462
6,3-6104108
6,3-6109155
6,3-6147759
6,3-6221930
6,3-6322693
6,3-6431164
6,3-6459712
6,3-6566772
6,3-6613254
6,3-6649755
6,3-6885272
6,3-6887248
6,3-6981768
6,3-7040771
6,3-7156682
6,3-7486386
6,3-7675143
6,3-7939452
6,3-7939545
6,3-8306591
6,3-8313161
4,3-5060706
4,3-5345239
4,3-5475045
4,3-5528441
4,3-6089857
4,3-6108299
4,3-6147808
4,3-6354728
4,3-6872060
4,3-6889143
4,3-7595040
4,3-7886655
4,3-9910336
2,20-116431
2,20-117850
2,20-138429
2,3-5057167
2,3-5060786
2,3-5060829
2,3-5070893
2,3-5084185
2,3-5119979
2,3-5137499
2,3-5342254
2,3-5344545
2,3-5344574
2,3-5345925
2,3-5345986
2,3-5353280
2,3-5378858
2,3-5382555
2,3-5405342
2,3-5430825
2,3-5440447
2,3-5553969
2,3-5566247
2,3-5650168
2,3-5767684
2,3-5767796
2,3-5868480
2,3-6104772
2,3-6107323
2,3-6107742
2,3-6121691
2,3-6135732
2,3-6279369
2,3-6315692
2,3-6346227
2,3-6353597
2,3-6354306
2,3-6404298
2,3-6413426
2,3-6436231
2,3-6439385
2,3-6446789
2,3-6454340
2,3-6526193
2,3-6534853
2,3-6570177
2,3-6590753
2,3-6614369
2,3-6636950
2,3-6747327
2,3-6760271
2,3-6797735
2,3-6864319
2,3-6872283
2,3-6875256
2,3-6884708
2,3-6913780
2,3-6934261
2,3-7005923
2,3-7063559
2,3-7066038
2,3-7067258
2,3-7071582
2,3-7152572
2,3-7233715
2,3-7277915
2,3-7337349
2,3-7440647
2,3-7441399
2,3-7445491
2,3-7548649
2,3-7658186
2,3-7672019
2,3-7686594
2,3-7767029
2,3-7873393
2,3-7939191
2,3-7939419
2,3-7939510
2,3-7939713
2,3-7939907
2,3-7939932
2,3-8022457
2,3-8846885
