score,document_id
30,20-261153
20,3-5494016
14,3-10429183
14,3-7219614
12,3-10067278
12,3-5351984
12,3-6615487
12,3-6822720
12,3-7176063
12,3-7176796
12,3-7496641
12,3-8025841
12,3-9253960
12,3-9336004
12,3-9724258
10,20-34269
10,3-10100049
10,3-10256960
10,3-5057426
10,3-5081224
10,3-5335633
10,3-5358152
10,3-5671733
10,3-5778655
10,3-5781984
10,3-6153184
10,3-6333754
10,3-6687094
10,3-6757769
10,3-6839120
10,3-6861695
10,3-6883626
10,3-6947231
10,3-7183822
10,3-7299434
10,3-7306439
10,3-7355889
10,3-7463997
10,3-8375453
10,3-8824445
10,3-9052490
10,3-9458464
10,3-9642834
10,3-9966858
8,20-109148
8,20-34197
8,3-5057427
8,3-5249039
8,3-5315387
8,3-5325504
8,3-5336071
8,3-5337487
8,3-5349683
8,3-5353936
8,3-5355811
8,3-5363637
8,3-5370290
8,3-5373965
8,3-5378178
8,3-5428507
8,3-5506350
8,3-5517108
8,3-5595001
8,3-5617103
8,3-5617995
8,3-5634897
8,3-5725562
8,3-5774553
8,3-5796987
8,3-5818602
8,3-5850530
8,3-5850549
8,3-5869286
8,3-5883060
8,3-5911053
8,3-5918904
8,3-6012536
8,3-6057839
8,3-6061243
8,3-6111775
8,3-6113866
8,3-6127278
8,3-6174316
8,3-6183841
8,3-6257827
8,3-6317816
8,3-6326145
8,3-6345458
8,3-6417196
8,3-6532567
8,3-6533302
8,3-6562487
8,3-6576832
8,3-6612869
8,3-6650122
8,3-6674403
8,3-6732521
8,3-6760252
8,3-6783537
8,3-6823548
8,3-6824612
8,3-6836231
8,3-6861424
8,3-6982128
8,3-7027182
8,3-7176072
8,3-7176282
8,3-7176327
8,3-7176357
8,3-7176482
8,3-7176988
8,3-7187172
8,3-7193464
8,3-7224431
8,3-7232932
8,3-7274444
8,3-7295799
8,3-7329156
8,3-7355900
8,3-7418945
8,3-7463765
8,3-7492557
8,3-7496808
8,3-7514918
8,3-7990305
8,3-8030488
8,3-8312320
8,3-8496406
6,20-104186
6,20-129792
6,20-260010
6,20-30708
6,20-96817
6,3-10090795
6,3-10229956
6,3-10251957
6,3-10270946
6,3-10277567
6,3-10278383
6,3-5054564
6,3-5055826
6,3-5056153
6,3-5058334
6,3-5066389
6,3-5068344
6,3-5070883
6,3-5076708
6,3-5078132
6,3-5080553
6,3-5082231
6,3-5088116
6,3-5090423
6,3-5092222
6,3-5093591
6,3-5093675
6,3-5155380
6,3-5196042
6,3-5222432
6,3-5225595
6,3-5235673
6,3-5242761
6,3-5259016
6,3-5259681
6,3-5262467
6,3-5264893
6,3-5265705
6,3-5285015
6,3-5303708
6,3-5305623
6,3-5308006
6,3-5327159
6,3-5327872
6,3-5328288
6,3-5328292
6,3-5329408
6,3-5331597
6,3-5340000
6,3-5344501
6,3-5345255
6,3-5347043
6,3-5348643
6,3-5349682
6,3-5353181
6,3-5353565
6,3-5357754
6,3-5357800
6,3-5358570
6,3-5358909
6,3-5358925
6,3-5359616
6,3-5359694
6,3-5360106
6,3-5360377
6,3-5360392
6,3-5360770
6,3-5361381
6,3-5361425
6,3-5361744
6,3-5363461
6,3-5363472
6,3-5363633
6,3-5364480
6,3-5365662
6,3-5367526
6,3-5368048
6,3-5368378
6,3-5368393
6,3-5369433
6,3-5369783
6,3-5369974
6,3-5369976
6,3-5370327
6,3-5370392
6,3-5370415
6,3-5370478
6,3-5370501
6,3-5370648
6,3-5372198
6,3-5372289
6,3-5374019
6,3-5374921
6,3-5376097
6,3-5377950
6,3-5378044
6,3-5378412
6,3-5378415
6,3-5379739
6,3-5380044
6,3-5380097
6,3-5380395
6,3-5381496
6,3-5381783
6,3-5393765
6,3-5394409
6,3-5395108
6,3-5400683
6,3-5401009
6,3-5401854
6,3-5403205
6,3-5409708
6,3-5414934
6,3-5415894
6,3-5417412
6,3-5419777
6,3-5424059
6,3-5428752
6,3-5429853
6,3-5432764
6,3-5432844
6,3-5433623
6,3-5435401
6,3-5440699
6,3-5441057
6,3-5443509
6,3-5450671
6,3-5457928
6,3-5458609
6,3-5466098
6,3-5466771
6,3-5467790
6,3-5474835
6,3-5496505
6,3-5503994
6,3-5509082
6,3-5510779
6,3-5521077
6,3-5521083
6,3-5535787
6,3-5540040
6,3-5542736
6,3-5544336
6,3-5553708
6,3-5557094
6,3-5561868
6,3-5569245
6,3-5580133
6,3-5585415
6,3-5605936
6,3-5615185
6,3-5618890
6,3-5621960
6,3-5627756
6,3-5629217
6,3-5631937
6,3-5635619
6,3-5636836
6,3-5654141
6,3-5657270
6,3-5670502
6,3-5673561
6,3-5674268
6,3-5681868
6,3-5684580
6,3-5685859
6,3-5688811
6,3-5712112
6,3-5713100
6,3-5725546
6,3-5732326
6,3-5734352
6,3-5736158
6,3-5744664
6,3-5750150
6,3-5750739
6,3-5753871
6,3-5756173
6,3-5756207
6,3-5757077
6,3-5757122
6,3-5759000
6,3-5759002
6,3-5759567
6,3-5759769
6,3-5762996
6,3-5764185
6,3-5778336
6,3-5778547
6,3-5788219
6,3-5797262
6,3-5803024
6,3-5806025
6,3-5807807
6,3-5817900
6,3-5820299
6,3-5826867
6,3-5829215
6,3-5829381
6,3-5829432
6,3-5830450
6,3-5836919
6,3-5836923
6,3-5838977
6,3-5845382
6,3-5845537
6,3-5847365
6,3-5847932
6,3-5856056
6,3-5864374
6,3-5868918
6,3-5875793
6,3-5885728
6,3-5887479
6,3-5893431
6,3-5901346
6,3-5906320
6,3-5910355
6,3-5915665
6,3-5920459
6,3-6014217
6,3-6015139
6,3-6028672
6,3-6075652
6,3-6085644
6,3-6093485
6,3-6107236
6,3-6109627
6,3-6115638
6,3-6116078
6,3-6116780
6,3-6118378
6,3-6119817
6,3-6124080
6,3-6125757
6,3-6126061
6,3-6126906
6,3-6129754
6,3-6130109
6,3-6144601
6,3-6150019
6,3-6150194
6,3-6155316
6,3-6163338
6,3-6170213
6,3-6175049
6,3-6176480
6,3-6178012
6,3-6178729
6,3-6183954
6,3-6184365
6,3-6184487
6,3-6185349
6,3-6185574
6,3-6185617
6,3-6185925
6,3-6186792
6,3-6190520
6,3-6191613
6,3-6194368
6,3-6197027
6,3-6202283
6,3-6204938
6,3-6213164
6,3-6216842
6,3-6218043
6,3-6222045
6,3-6229002
6,3-6237170
6,3-6237443
6,3-6238539
6,3-6242969
6,3-6251642
6,3-6256420
6,3-6256938
6,3-6257916
6,3-6267271
6,3-6273848
6,3-6275716
6,3-6290682
6,3-6292230
6,3-6293925
6,3-6298727
6,3-6299564
6,3-6300522
6,3-6303474
6,3-6307414
6,3-6309025
6,3-6315070
6,3-6319164
6,3-6325754
6,3-6328419
6,3-6336173
6,3-6336872
6,3-6341194
6,3-6345368
6,3-6345448
6,3-6346292
6,3-6348769
6,3-6353947
6,3-6354127
6,3-6370773
6,3-6372036
6,3-6372764
6,3-6373530
6,3-6374356
6,3-6374644
6,3-6374726
6,3-6378788
6,3-6384057
6,3-6389118
6,3-6398952
6,3-6401557
6,3-6401688
6,3-6404215
6,3-6426600
6,3-6450346
6,3-6464187
6,3-6471379
6,3-6475408
6,3-6479292
6,3-6483858
6,3-6488005
6,3-6488208
6,3-6491072
6,3-6493309
6,3-6499697
6,3-6511486
6,3-6521574
6,3-6522756
6,3-6527147
6,3-6531037
6,3-6533961
6,3-6535800
6,3-6539505
6,3-6541391
6,3-6550157
6,3-6554571
6,3-6557302
6,3-6561278
6,3-6561951
6,3-6570096
6,3-6581262
6,3-6581797
6,3-6586862
6,3-6610173
6,3-6617712
6,3-6619853
6,3-6620600
6,3-6635669
6,3-6644445
6,3-6644704
6,3-6650254
6,3-6650805
6,3-6654191
6,3-6656931
6,3-6677347
6,3-6678286
6,3-6685776
6,3-6686145
6,3-6687487
6,3-6694753
6,3-6695423
6,3-6708843
6,3-6708868
6,3-6731296
6,3-6760218
6,3-6760318
6,3-6760385
6,3-6774450
6,3-6776212
6,3-6777029
6,3-6788732
6,3-6789541
6,3-6789564
6,3-6793361
6,3-6793388
6,3-6796479
6,3-6808495
6,3-6815607
6,3-6829523
6,3-6832321
6,3-6842846
6,3-6842856
6,3-6842866
6,3-6859299
6,3-6863633
6,3-6876444
6,3-6877419
6,3-6881521
6,3-6888210
6,3-6897496
6,3-6898632
6,3-6902055
6,3-6903303
6,3-6903382
6,3-6908348
6,3-6920410
6,3-6921513
6,3-6923625
6,3-6927041
6,3-6945037
6,3-6947460
6,3-6949849
6,3-6950225
6,3-6953234
6,3-6955097
6,3-6959575
6,3-6965235
6,3-6974402
6,3-6974494
6,3-6974544
6,3-6993143
6,3-7006180
6,3-7026731
6,3-7037185
6,3-7042423
6,3-7049244
6,3-7049280
6,3-7049609
6,3-7066022
6,3-7070450
6,3-7070719
6,3-7089791
6,3-7096670
6,3-7097861
6,3-7099483
6,3-7105071
6,3-7112550
6,3-7114993
6,3-7115042
6,3-7122089
6,3-7123055
6,3-7139343
6,3-7142183
6,3-7148008
6,3-7149190
6,3-7150309
6,3-7157201
6,3-7166043
6,3-7168258
6,3-7172941
6,3-7175999
6,3-7176019
6,3-7176239
6,3-7176390
6,3-7176466
6,3-7176871
6,3-7177485
6,3-7178169
6,3-7178392
6,3-7183113
6,3-7187922
6,3-7187969
6,3-7188025
6,3-7188027
6,3-7190688
6,3-7200761
6,3-7212134
6,3-7222563
6,3-7225669
6,3-7226616
6,3-7227488
6,3-7231471
6,3-7232651
6,3-7232675
6,3-7232750
6,3-7233646
6,3-7234667
6,3-7242365
6,3-7243070
6,3-7257975
6,3-7260448
6,3-7262509
6,3-7264344
6,3-7266425
6,3-7266601
6,3-7273420
6,3-7287861
6,3-7292501
6,3-7294445
6,3-7299117
