score,document_id
12,20-175740
12,3-10437439
10,20-213433
10,3-10061596
10,3-10151736
10,3-8781378
10,3-9220900
10,3-9830739
8,3-10070893
8,3-10216246
8,3-10332381
8,3-10512490
8,3-7368261
8,3-7412123
8,3-8081527
8,3-8970975
8,3-9009664
8,3-9044940
8,3-9175109
8,3-9615315
8,3-9645562
6,3-10057249
6,3-10071148
6,3-10080898
6,3-10119383
6,3-10138030
6,3-10281910
6,3-10290672
6,3-10292126
6,3-10346090
6,3-10355046
6,3-10390077
6,3-10392126
6,3-10497474
6,3-10502574
6,3-10520089
6,3-10542143
6,3-10543093
6,3-10547528
6,3-10552696
6,3-10560313
6,3-7211732
6,3-7382196
6,3-7496776
6,3-7539320
6,3-8060054
6,3-8144060
6,3-8436412
6,3-8974192
6,3-9027689
6,3-9042580
6,3-9111643
6,3-9126406
6,3-9141496
6,3-9142360
6,3-9144247
6,3-9229126
6,3-9232148
6,3-9261777
6,3-9284431
6,3-9289214
6,3-9289377
6,3-9311171
6,3-9395000
6,3-9415955
6,3-9419948
6,3-9430294
6,3-9451578
6,3-9533728
6,3-9722878
6,3-9743607
6,3-9746511
6,3-9919659
6,3-9985193
4,20-128791
4,20-272896
4,3-10061898
4,3-10081488
4,3-10086800
4,3-10218436
4,3-10269925
4,3-10302332
4,3-10349930
4,3-10364210
4,3-10419987
4,3-10493606
4,3-10495203
4,3-10529242
4,3-10538168
4,3-7453144
4,3-8975789
4,3-8976858
4,3-8978264
4,3-8979382
4,3-9562735
4,3-9974873
2,20-172115
2,20-175694
2,20-178467
2,20-178472
2,20-266826
2,20-272367
2,20-278720
2,3-10006318
2,3-10034921
2,3-10048366
2,3-10059223
2,3-10060588
2,3-10060994
2,3-10064973
2,3-10066977
2,3-10071088
2,3-10071310
2,3-10071356
2,3-10083942
2,3-10109774
2,3-10110130
2,3-10132135
2,3-10138018
2,3-10148299
2,3-10149648
2,3-10157873
2,3-10165904
2,3-10176977
2,3-10181557
2,3-10181581
2,3-10183651
2,3-10187924
2,3-10191258
2,3-10204532
2,3-10208543
2,3-10222661
2,3-10226031
2,3-10227106
2,3-10227855
2,3-10229938
2,3-10233516
2,3-10234501
2,3-10239759
2,3-10257188
2,3-10261971
2,3-10264005
2,3-10266308
2,3-10277860
2,3-10280511
2,3-10280925
2,3-10281749
2,3-10283164
2,3-10287179
2,3-10287706
2,3-10288537
2,3-10294969
2,3-10301044
2,3-10312033
2,3-10314147
2,3-10324494
2,3-10325138
2,3-10332309
2,3-10334785
2,3-10336746
2,3-10337815
2,3-10345438
2,3-10346553
2,3-10347307
2,3-10351053
2,3-10353281
2,3-10354232
2,3-10354250
2,3-10360479
2,3-10361450
2,3-10368856
2,3-10382413
2,3-10385973
2,3-10386548
2,3-10395683
2,3-10396362
2,3-10398739
2,3-10399151
2,3-10400538
2,3-10401383
2,3-10403843
2,3-10404207
2,3-10412041
2,3-10416862
2,3-10418834
2,3-10419705
2,3-10420054
2,3-10420697
2,3-10423885
2,3-10426334
2,3-10426756
2,3-10446904
2,3-10447035
2,3-10452229
2,3-10455404
2,3-10465774
2,3-10470872
2,3-10482379
2,3-10496989
2,3-10499268
2,3-10507116
2,3-10513201
2,3-10517243
2,3-10528644
2,3-10531228
2,3-10531272
2,3-10534206
2,3-10534556
2,3-10538160
2,3-10538992
2,3-10540677
2,3-10543575
2,3-10543860
2,3-10543950
2,3-10545089
2,3-10554328
2,3-10555411
2,3-10564842
2,3-10564883
2,3-10565129
2,3-10565402
2,3-10565810
2,3-10569155
2,3-6180674
2,3-6219573
2,3-6416419
2,3-6779596
2,3-7382681
2,3-7660581
2,3-7937486
2,3-7939747
2,3-7955632
2,3-8032629
2,3-8190357
2,3-8195277
2,3-8442108
2,3-8455189
2,3-8528133
2,3-8684711
2,3-8801770
2,3-8872709
2,3-8940576
2,3-8975330
2,3-8976531
2,3-8977543
2,3-8977897
2,3-8995077
2,3-8995182
2,3-9026373
2,3-9027045
2,3-9098152
2,3-9112193
2,3-9122478
2,3-9130273
2,3-9151115
2,3-9152779
2,3-9152849
2,3-9169298
2,3-9175582
2,3-9178685
2,3-9187158
2,3-9189014
2,3-9229614
2,3-9229851
2,3-9235535
2,3-9239437
2,3-9242358
2,3-9249855
2,3-9264319
2,3-9269895
2,3-9280049
2,3-9288838
2,3-9311001
2,3-9314218
2,3-9332075
2,3-9336426
2,3-9351537
2,3-9367823
2,3-9392278
2,3-9402417
2,3-9412291
2,3-9412468
2,3-9413476
2,3-9416551
2,3-9419776
2,3-9419952
2,3-9421001
2,3-9430693
2,3-9432029
2,3-9448838
2,3-9462656
2,3-9463186
2,3-9471928
2,3-9478431
2,3-9482229
2,3-9485503
2,3-9509521
2,3-9532968
2,3-9557690
2,3-9557739
2,3-9561013
2,3-9566429
2,3-9583775
2,3-9637881
2,3-9645366
2,3-9681232
2,3-9776761
2,3-9793965
2,3-9858311
2,3-9864869
2,3-9880698
2,3-9880868
2,3-9897632
2,3-9899835
2,3-9946794
2,3-9968751
2,3-9976438
