score,document_id
14,3-5603533
12,3-5075968
12,3-7126411
10,3-5078320
10,3-5332941
8,3-5255756
8,3-5620711
8,3-5685503
6,3-5343519
6,3-5344501
6,3-5730797
6,3-6128418
6,3-6297362
4,3-5082557
4,3-5085329
4,3-5089400
4,3-5242848
4,3-5325504
4,3-5342124
4,3-5388056
4,3-5496598
4,3-5543023
4,3-5639176
4,3-5648527
4,3-5649991
4,3-5651838
4,3-5685817
4,3-9841991
2,20-30286
2,20-30290
2,20-70910
2,3-5080922
2,3-5082763
2,3-5083768
2,3-5106956
2,3-5112586
2,3-5128867
2,3-5137838
2,3-5150514
2,3-5150631
2,3-5150645
2,3-5159066
2,3-5218859
2,3-5238722
2,3-5242845
2,3-5244652
2,3-5255042
2,3-5255733
2,3-5256777
2,3-5260484
2,3-5262351
2,3-5272745
2,3-5273123
2,3-5342091
2,3-5364351
2,3-5516403
2,3-5581483
2,3-5588111
2,3-5588847
2,3-5634890
2,3-5653492
2,3-5653627
2,3-5667030
2,3-5667743
2,3-5676882
2,3-5722235
2,3-5726822
2,3-5729383
2,3-5732714
2,3-5746684
2,3-5787726
2,3-5787775
2,3-5808842
2,3-5833300
2,3-5887192
2,3-5888506
2,3-6119030
2,3-6158962
2,3-6164037
2,3-6353606
2,3-6354232
2,3-6354508
2,3-7094712
2,3-7894019
2,3-9580237
