score,document_id
16,3-8673934
14,20-132998
14,3-6939569
14,3-7703376
12,3-7807598
12,3-8099171
12,3-9671929
10,3-5345291
10,3-6833228
10,3-9532190
8,20-164374
8,20-164559
8,3-10380808
8,3-6372722
8,3-6569371
8,3-7261319
8,3-9160336
8,3-9481711
8,3-9666864
6,20-178923
6,3-5742619
6,3-6078590
6,3-6447342
6,3-6500753
6,3-6694739
6,3-7152024
6,3-7200147
6,3-7332499
6,3-7525870
6,3-8099454
6,3-8126738
6,3-8184783
6,3-8291224
6,3-8320373
6,3-8334845
6,3-8355444
6,3-9654925
6,3-9667166
4,20-167013
4,20-176616
4,20-176638
4,20-178891
4,20-182064
4,20-277224
4,20-64911
4,20-75759
4,3-5344518
4,3-5344583
4,3-5344586
4,3-5345846
4,3-5371333
4,3-5425814
4,3-5742962
4,3-6179986
4,3-8060054
4,3-9251612
4,3-9410056
4,3-9669703
4,3-9706476
2,20-133189
2,20-138688
2,20-140928
2,20-142494
2,20-153864
2,20-169155
2,20-175345
2,20-182910
2,20-194072
2,20-199134
2,20-201273
2,20-204926
2,20-209745
2,20-212168
2,3-10122960
2,3-10301757
2,3-10306463
2,3-10350921
2,3-10436005
2,3-10492671
2,3-5062244
2,3-5097400
2,3-5342091
2,3-5345326
2,3-5347205
2,3-5364984
2,3-5365703
2,3-5365742
2,3-5379103
2,3-5405240
2,3-5475057
2,3-6006674
2,3-6217376
2,3-6267845
2,3-6294034
2,3-6409672
2,3-6492787
2,3-6525322
2,3-6706532
2,3-6847948
2,3-6905684
2,3-6912728
2,3-6979787
2,3-7056876
2,3-7065972
2,3-7224898
2,3-7262585
2,3-7276806
2,3-7515413
2,3-7621062
2,3-7657362
2,3-7658797
2,3-7672189
2,3-7686144
2,3-7871337
2,3-7919940
2,3-7935068
2,3-7938622
2,3-7938834
2,3-7943932
2,3-7948304
2,3-7979022
2,3-8081985
2,3-8186550
2,3-8340298
2,3-8426917
2,3-8595651
2,3-8641296
2,3-8642785
2,3-8652020
2,3-8812647
2,3-9291512
2,3-9350209
2,3-9410372
2,3-9501438
2,3-9555966
2,3-9556101
2,3-9557029
2,3-9593240
2,3-9658440
2,3-9659368
2,3-9666223
2,3-9666816
2,3-9667646
2,3-9668302
2,3-9677534
2,3-9802467
2,3-9885054
