score,document_id
14,3-9585277
12,3-5530058
12,3-5607506
12,3-8379845
12,3-8926572
12,3-9394156
10,3-7652462
10,3-7939716
10,3-7950172
10,3-8644264
10,3-8741980
10,3-8963289
8,3-10506321
8,3-5065107
8,3-5345205
8,3-5436749
8,3-7491846
8,3-7496993
8,3-7594826
8,3-7930742
8,3-7933515
8,3-8232782
8,3-8450292
8,3-8808823
8,3-8880059
6,3-5357271
6,3-6410231
6,3-6620661
6,3-6829514
6,3-6833290
6,3-7101436
6,3-7356918
6,3-7630385
6,3-7703671
6,3-7740276
6,3-7792136
6,3-7979631
6,3-8860260
6,3-8997133
4,3-10078808
4,3-10111817
4,3-5065036
4,3-5078594
4,3-5079676
4,3-5376527
4,3-5419328
4,3-5432905
4,3-5439904
4,3-5457050
4,3-5471169
4,3-5471307
4,3-5624430
4,3-5652956
4,3-5866101
4,3-7122813
4,3-7370072
4,3-7445535
4,3-7939377
4,3-8060054
4,3-9144368
4,3-9557722
2,20-159709
2,20-60211
2,3-10065881
2,3-10071882
2,3-10169797
2,3-10191534
2,3-10292830
2,3-10309195
2,3-10311664
2,3-10392784
2,3-10440433
2,3-10483546
2,3-10531427
2,3-5060281
2,3-5078164
2,3-5079107
2,3-5244462
2,3-5250698
2,3-5313231
2,3-5338837
2,3-5344589
2,3-5345312
2,3-5345826
2,3-5346610
2,3-5353042
2,3-5375614
2,3-5418571
2,3-5422510
2,3-5435576
2,3-5437309
2,3-5448987
2,3-5489607
2,3-5515864
2,3-5562238
2,3-5655068
2,3-5771508
2,3-5894135
2,3-5911055
2,3-6133154
2,3-6150851
2,3-6282068
2,3-6354314
2,3-6456847
2,3-6469706
2,3-6514622
2,3-6515268
2,3-6852751
2,3-6857235
2,3-6868180
2,3-7045000
2,3-7310187
2,3-7318743
2,3-7477083
2,3-7479785
2,3-7544689
2,3-7599733
2,3-7639108
2,3-7639904
2,3-7641108
2,3-7653470
2,3-7658058
2,3-7693299
2,3-7839467
2,3-7859726
2,3-7912773
2,3-7921628
2,3-7925580
2,3-7936826
2,3-7938752
2,3-7939408
2,3-7939494
2,3-7941419
2,3-7949651
2,3-7949839
2,3-7979707
2,3-8097354
2,3-8153738
2,3-8238823
2,3-8268135
2,3-8290288
2,3-8290662
2,3-8290707
2,3-8444654
2,3-8561077
2,3-8609378
2,3-8641762
2,3-8710938
2,3-8751604
2,3-9048298
2,3-9213377
2,3-9235848
2,3-9294252
2,3-9361447
2,3-9486523
2,3-9557306
2,3-9557512
2,3-9563382
2,3-9779702
2,3-9849582
2,3-9986024
