score,document_id
12,3-7092499
12,3-7437110
8,20-227380
8,3-5347025
8,3-6689337
8,3-7439568
8,3-7450265
8,3-7450374
8,3-7452848
8,3-7486625
8,3-9144271
8,3-9214792
6,3-5061502
6,3-5432102
6,3-6364484
6,3-6633191
6,3-6656671
6,3-7399067
6,3-7410433
6,3-7437854
6,3-7444857
6,3-7447251
6,3-7449316
6,3-7450228
6,3-7450345
6,3-7450885
6,3-7452937
6,3-7498624
6,3-7555349
6,3-7646339
6,3-7695897
6,3-7710034
6,3-7711396
6,3-8934648
6,3-9213153
6,3-9386504
6,3-9411008
6,3-9910336
4,3-10224490
4,3-10261312
4,3-5346471
4,3-5388342
4,3-5389045
4,3-5765506
4,3-6089857
4,3-6409073
4,3-6978959
4,3-7347434
4,3-7450449
4,3-7450907
4,3-7461177
4,3-7467926
4,3-7655149
4,3-8710509
4,3-9123969
4,3-9131089
4,3-9278169
4,3-9387846
2,20-116431
2,20-66051
2,3-10074777
2,3-10205754
2,3-10245325
2,3-10387078
2,3-5060531
2,3-5061519
2,3-5063059
2,3-5072054
2,3-5313433
2,3-5340301
2,3-5346072
2,3-5379559
2,3-5429855
2,3-5461910
2,3-5781958
2,3-5787922
2,3-6355231
2,3-6409198
2,3-6435236
2,3-6471895
2,3-6502870
2,3-6531896
2,3-6554752
2,3-6629981
2,3-6642276
2,3-6643893
2,3-6697378
2,3-6724479
2,3-6732244
2,3-6732521
2,3-6837452
2,3-6847496
2,3-6856004
2,3-6890341
2,3-6916858
2,3-6947271
2,3-6972607
2,3-7010849
2,3-7028562
2,3-7046326
2,3-7049260
2,3-7049383
2,3-7100463
2,3-7147641
2,3-7252738
2,3-7264266
2,3-7288092
2,3-7313929
2,3-7450388
2,3-7453140
2,3-7464397
2,3-7475248
2,3-7477109
2,3-7489751
2,3-7499048
2,3-7507978
2,3-7510406
2,3-7547687
2,3-7587966
2,3-7603176
2,3-7606876
2,3-7635721
2,3-7726284
2,3-7731927
2,3-7850219
2,3-7872694
2,3-7915903
2,3-7940180
2,3-7988723
2,3-8007076
2,3-8027456
2,3-8028415
2,3-8058129
2,3-8285235
2,3-8327284
2,3-8331678
2,3-8409209
2,3-8415879
2,3-8435333
2,3-8475812
2,3-8608581
2,3-8640846
2,3-8727469
2,3-8749980
2,3-8825166
2,3-8876113
2,3-8978458
2,3-8986745
2,3-9113712
2,3-9119148
2,3-9135165
2,3-9138182
2,3-9141141
2,3-9197399
2,3-9198522
2,3-9206280
2,3-9227799
2,3-9228644
2,3-9269268
2,3-9271149
2,3-9301505
2,3-9307117
2,3-9321675
2,3-9326964
2,3-9326966
2,3-9327020
2,3-9383532
2,3-9524826
2,3-9954050
