score,document_id
10,3-5778142
8,3-5755113
8,3-6111761
6,3-5193074
6,3-5221487
6,3-5777940
6,3-5777942
6,3-5777966
6,3-5777968
6,3-5778314
4,3-5143974
4,3-5155900
4,3-5161706
4,3-5164619
4,3-5193252
4,3-5193488
4,3-5194660
4,3-5196287
4,3-5196782
4,3-5215421
4,3-5215651
4,3-5215734
4,3-5216490
4,3-5216728
4,3-5218244
4,3-5219439
4,3-5219550
4,3-5219642
4,3-5220243
4,3-5222570
4,3-5222672
4,3-5224906
4,3-5225671
4,3-5225718
4,3-5752652
4,3-5759239
4,3-5759639
4,3-5759697
4,3-5762300
4,3-5782008
4,3-5810561
4,3-5848783
4,3-5969086
2,20-25263
2,3-5104432
2,3-5116768
2,3-5131578
2,3-5137696
2,3-5137838
2,3-5142410
2,3-5142871
2,3-5142886
2,3-5143056
2,3-5143176
2,3-5143578
2,3-5143887
2,3-5143934
2,3-5144271
2,3-5144493
2,3-5144499
2,3-5144736
2,3-5144886
2,3-5144989
2,3-5145678
2,3-5145729
2,3-5146132
2,3-5148282
2,3-5149226
2,3-5149579
2,3-5149586
2,3-5150898
2,3-5151661
2,3-5151832
2,3-5151890
2,3-5152184
2,3-5152845
2,3-5153530
2,3-5153531
2,3-5153732
2,3-5153757
2,3-5154148
2,3-5154396
2,3-5154837
2,3-5155047
2,3-5155101
2,3-5155614
2,3-5155687
2,3-5155699
2,3-5155798
2,3-5155865
2,3-5156048
2,3-5156080
2,3-5157307
2,3-5157944
2,3-5157949
2,3-5158521
2,3-5158551
2,3-5159173
2,3-5159230
2,3-5159260
2,3-5159337
2,3-5159565
2,3-5159834
2,3-5160767
2,3-5160771
2,3-5160931
2,3-5161244
2,3-5162192
2,3-5162458
2,3-5162461
2,3-5164488
2,3-5164841
2,3-5165107
2,3-5165453
2,3-5182917
2,3-5183662
2,3-5183696
2,3-5183705
2,3-5193536
2,3-5194040
2,3-5194309
2,3-5194633
2,3-5194722
2,3-5195507
2,3-5195718
2,3-5195766
2,3-5195816
2,3-5196182
2,3-5196208
2,3-5196223
2,3-5196415
2,3-5196510
2,3-5215239
2,3-5215274
2,3-5215379
2,3-5216900
2,3-5216907
2,3-5217390
2,3-5217420
2,3-5217501
2,3-5217728
2,3-5218092
2,3-5218169
2,3-5218542
2,3-5218850
2,3-5219101
2,3-5219503
2,3-5219535
2,3-5219560
2,3-5219576
2,3-5220442
2,3-5220465
2,3-5221073
2,3-5221302
2,3-5221637
2,3-5222117
2,3-5222252
2,3-5222561
2,3-5223125
2,3-5223425
2,3-5223588
2,3-5223691
2,3-5224790
2,3-5224982
2,3-5225513
2,3-5225963
2,3-5726536
2,3-5743760
2,3-5744052
2,3-5744101
2,3-5744126
2,3-5744138
2,3-5744300
2,3-5744903
2,3-5745567
2,3-5745857
2,3-5746067
2,3-5746134
2,3-5746465
2,3-5746584
2,3-5746641
2,3-5746715
2,3-5747376
2,3-5747629
2,3-5747886
2,3-5748272
2,3-5748326
2,3-5748925
2,3-5749158
2,3-5751393
2,3-5751625
2,3-5751657
2,3-5752329
2,3-5752381
2,3-5752528
2,3-5752608
2,3-5752639
2,3-5753195
2,3-5753199
2,3-5754293
2,3-5754583
2,3-5754697
2,3-5754751
2,3-5754996
2,3-5755000
2,3-5755177
2,3-5756081
2,3-5759157
2,3-5759300
2,3-5759533
2,3-5759559
2,3-5762354
2,3-5763216
2,3-5778554
2,3-5810563
2,3-5813822
2,3-5848788
2,3-5851595
2,3-5968343
2,3-6044573
2,3-6131199
2,3-6280023
2,3-6505496
2,3-6646680
2,3-9485503
