score,document_id
14,3-5486529
14,3-5547296
8,3-5926495
6,3-5723587
6,3-5925219
6,3-5926508
6,3-5929875
6,3-5934140
6,3-6244359
6,3-6492704
4,3-5296879
4,3-5725111
4,3-5926480
4,3-5927744
4,3-5928904
4,3-5931755
4,3-5932739
4,3-6244873
4,3-7143394
4,3-7633643
2,3-5315024
2,3-5345324
2,3-5345328
2,3-5346385
2,3-5352919
2,3-5523691
2,3-5588833
2,3-5633661
2,3-5686383
2,3-5778576
2,3-5924123
2,3-5926459
2,3-5926468
2,3-5926753
2,3-5926843
2,3-5927002
2,3-5927481
2,3-5927972
2,3-5928162
2,3-5928335
2,3-5928535
2,3-5928706
2,3-5928761
2,3-5929040
2,3-5929049
2,3-5929068
2,3-5929673
2,3-5930615
2,3-5930652
2,3-5930677
2,3-5931409
2,3-5931751
2,3-5940145
2,3-5950445
2,3-5950565
2,3-5965107
2,3-6014427
2,3-6044879
2,3-6058854
2,3-6071398
2,3-6071883
2,3-6083026
2,3-6142655
2,3-6166290
2,3-6168288
2,3-6241366
2,3-6329896
2,3-6536739
2,3-6541849
2,3-7907196
2,3-7940228
2,3-9029109
2,3-9686005
