score,document_id
12,3-5889563
12,3-5893696
12,3-6490275
10,3-5672954
10,3-8391980
8,3-7939683
8,3-8743628
8,3-8813706
6,3-10565494
6,3-5246727
6,3-5251914
6,3-5347338
6,3-5369643
6,3-5435565
6,3-5601815
6,3-5767020
6,3-5896990
6,3-6153263
6,3-6321830
6,3-6689777
6,3-6898698
6,3-7952069
6,3-8033243
6,3-8055536
6,3-9035621
4,3-10315358
4,3-5065887
4,3-5237376
4,3-5262501
4,3-5626229
4,3-5877607
4,3-5898966
4,3-6436255
4,3-7262278
4,3-7334494
4,3-7658070
4,3-7671923
4,3-7941756
4,3-8060054
2,20-253645
2,20-279956
2,3-10147169
2,3-10461083
2,3-10535918
2,3-5060783
2,3-5060788
2,3-5252022
2,3-5287316
2,3-5320498
2,3-5327087
2,3-5338015
2,3-5344713
2,3-5345318
2,3-5345462
2,3-5347076
2,3-5347528
2,3-5350090
2,3-5352621
2,3-5362789
2,3-5372271
2,3-5502376
2,3-5525723
2,3-5526679
2,3-5527729
2,3-5544902
2,3-5561252
2,3-5589493
2,3-5634872
2,3-5647837
2,3-5686354
2,3-5713995
2,3-5716684
2,3-5716686
2,3-5770282
2,3-5778820
2,3-5781666
2,3-5927215
2,3-6123249
2,3-6123340
2,3-6153376
2,3-6215649
2,3-6268428
2,3-6354426
2,3-6354636
2,3-6366771
2,3-6382313
2,3-6577050
2,3-6632814
2,3-6656778
2,3-6998611
2,3-7002669
2,3-7038499
2,3-7082843
2,3-7168931
2,3-7191392
2,3-7241989
2,3-7261771
2,3-7263852
2,3-7283136
2,3-7307918
2,3-7540983
2,3-7598537
2,3-7657664
2,3-7672529
2,3-7678849
2,3-7858280
2,3-7876715
2,3-7888658
2,3-7938925
2,3-7939626
2,3-7939753
2,3-7939816
2,3-7940984
2,3-8425733
2,3-8731613
2,3-8890370
2,3-8957214
2,3-9057195
2,3-9348755
2,3-9352157
2,3-9352510
2,3-9500906
2,3-9534804
2,3-9593560
2,3-9863950
2,3-9967675
