score,document_id
14,3-5970825
12,3-5628466
10,3-5236584
10,3-7675814
8,3-6176185
8,3-7554146
8,3-7939167
6,3-10178186
6,3-10214842
6,3-10256139
6,3-5283226
6,3-5345225
6,3-5346660
6,3-5408984
6,3-5446537
6,3-5580287
6,3-5708974
6,3-6354450
6,3-6510210
6,3-7261788
6,3-7261945
6,3-7979736
6,3-8060054
6,3-8119434
4,3-10399283
4,3-5316206
4,3-5370429
4,3-5436151
4,3-5639803
4,3-6050181
4,3-6159966
4,3-6353940
4,3-7024868
4,3-7261577
4,3-7974080
4,3-7978330
2,20-209745
2,3-10076908
2,3-10110065
2,3-10177375
2,3-10190579
2,3-10203606
2,3-10214234
2,3-10258986
2,3-10261110
2,3-10272643
2,3-10290088
2,3-10435471
2,3-5060898
2,3-5069472
2,3-5078129
2,3-5078660
2,3-5091458
2,3-5091672
2,3-5269779
2,3-5271983
2,3-5272219
2,3-5272238
2,3-5272256
2,3-5291681
2,3-5323127
2,3-5336884
2,3-5337330
2,3-5337331
2,3-5344511
2,3-5344707
2,3-5370490
2,3-5382067
2,3-5384363
2,3-5443518
2,3-5457116
2,3-5547375
2,3-5574265
2,3-5579426
2,3-5627204
2,3-5634866
2,3-5639736
2,3-5643181
2,3-5742484
2,3-5886308
2,3-6050691
2,3-6150926
2,3-6150933
2,3-6151555
2,3-6155380
2,3-6157468
2,3-6279369
2,3-6338671
2,3-6350241
2,3-6354388
2,3-6354618
2,3-6354784
2,3-6373741
2,3-6376204
2,3-6376384
2,3-6378615
2,3-6387912
2,3-6404267
2,3-6570116
2,3-6677983
2,3-6679862
2,3-6777153
2,3-6783790
2,3-6808163
2,3-6881327
2,3-7161746
2,3-7172753
2,3-7173136
2,3-7185447
2,3-7192795
2,3-7334494
2,3-7371274
2,3-7371456
2,3-7412140
2,3-7452119
2,3-7517297
2,3-7640254
2,3-7657607
2,3-7671873
2,3-7697437
2,3-7761411
2,3-7861107
2,3-7932398
2,3-7938828
2,3-7940376
2,3-7941121
2,3-7944003
2,3-8099171
2,3-8424518
2,3-8910579
2,3-9558186
2,3-9681385
2,3-9774503
2,3-9848859
