score,document_id
8,20-274604
6,20-253213
6,3-7939494
6,3-8794778
4,20-253230
4,20-254627
4,20-254640
4,3-7178251
4,3-7227627
4,3-7941566
4,3-7978080
4,3-8188956
4,3-8406975
4,3-8503663
4,3-9055802
2,20-253478
2,20-254497
2,20-254756
2,20-256479
2,20-257355
2,20-257421
2,3-10196056
2,3-10261967
2,3-10456335
2,3-7660184
2,3-7939747
2,3-7940797
2,3-7944842
2,3-7949045
2,3-7950361
2,3-8043316
2,3-8060054
2,3-8075165
2,3-8098568
2,3-8133969
2,3-8182135
2,3-8182416
2,3-8186827
2,3-8189144
2,3-8225893
2,3-8257904
2,3-8420635
2,3-8424480
2,3-8425370
2,3-8526442
2,3-8645999
2,3-8700769
2,3-8806602
2,3-9185490
2,3-9186191
2,3-9251017
2,3-9264676
2,3-9387846
2,3-9476813
2,3-9577346
2,3-9582980
2,3-9691705
2,3-9844131
2,3-9848469
2,3-9879696
2,3-9974526
