score,document_id
24,3-5060157
20,3-5054110
16,3-10001012
16,3-10011834
14,3-10025825
14,3-10047226
14,3-10489747
14,3-10491378
14,3-10520404
14,3-5054820
14,3-5059110
14,3-5062527
14,3-5443977
14,3-8899560
14,3-9455200
14,3-9455985
12,3-10020285
12,3-10489823
12,3-10548348
12,3-6887587
12,3-7469791
12,3-7802225
10,3-10011699
10,3-10046827
10,3-10272294
10,3-5053963
10,3-5054510
10,3-5059804
10,3-5060025
10,3-5060963
10,3-5061287
10,3-5062528
10,3-5062577
10,3-5062613
10,3-5069467
10,3-5084275
10,3-5302483
10,3-5438415
10,3-5457397
10,3-5678659
10,3-6099601
10,3-6740062
10,3-6885994
10,3-7010241
10,3-7044965
10,3-7465625
10,3-7492285
10,3-7550099
10,3-8233487
10,3-9281185
10,3-9335392
10,3-9346310
10,3-9455405
10,3-9784374
10,3-9999485
8,20-112722
8,20-113593
8,20-244541
8,20-89001
8,3-10024371
8,3-10025975
8,3-10045867
8,3-10045890
8,3-10045896
8,3-10045903
8,3-10045936
8,3-10046188
8,3-10046207
8,3-10046342
8,3-10487764
8,3-10489003
8,3-10489316
8,3-10491268
8,3-10524365
8,3-10540691
8,3-10558844
8,3-5051866
8,3-5053443
8,3-5053873
8,3-5053937
8,3-5053960
8,3-5054147
8,3-5056732
8,3-5059934
8,3-5059936
8,3-5060082
8,3-5060083
8,3-5060092
8,3-5060184
8,3-5061183
8,3-5061369
8,3-5061424
8,3-5062343
8,3-5062384
8,3-5062395
8,3-5062463
8,3-5062464
8,3-5062638
8,3-5297162
8,3-5373981
8,3-5442196
8,3-5450171
8,3-5454580
8,3-5463507
8,3-5464554
8,3-5640339
8,3-5994309
8,3-6540423
8,3-6885920
8,3-6892311
8,3-7234117
8,3-7235340
8,3-7368481
8,3-8201058
8,3-8514334
8,3-8645784
8,3-8658148
8,3-9145700
8,3-9343644
8,3-9455325
8,3-9455328
8,3-9848161
8,3-9951724
6,20-113556
6,20-127799
6,20-238933
6,20-244351
6,20-244447
6,20-244967
6,3-10006272
6,3-10045518
6,3-10045696
6,3-10045753
6,3-10045814
6,3-10045856
6,3-10045858
6,3-10045860
6,3-10045887
6,3-10045892
6,3-10045894
6,3-10045898
6,3-10045900
6,3-10045905
6,3-10045907
6,3-10045910
6,3-10045915
6,3-10045925
6,3-10045927
6,3-10045930
6,3-10045934
6,3-10045962
6,3-10045971
6,3-10046020
6,3-10046041
6,3-10046061
6,3-10046074
6,3-10046076
6,3-10046078
6,3-10046084
6,3-10046093
6,3-10046103
6,3-10046113
6,3-10046118
6,3-10046120
6,3-10046140
6,3-10046145
6,3-10046158
6,3-10046166
6,3-10046230
6,3-10046258
6,3-10046270
6,3-10046356
6,3-10046380
6,3-10046400
6,3-10046417
6,3-10121916
6,3-10474842
6,3-10482418
6,3-10488179
6,3-10488476
6,3-10491586
6,3-10540626
6,3-10548327
6,3-5051845
6,3-5052126
6,3-5052269
6,3-5052487
6,3-5052970
6,3-5053198
6,3-5053232
6,3-5053235
6,3-5053253
6,3-5053269
6,3-5053382
6,3-5053383
6,3-5053564
6,3-5053625
6,3-5053638
6,3-5053864
6,3-5053877
6,3-5054035
6,3-5054073
6,3-5054343
6,3-5054372
6,3-5054432
6,3-5054454
6,3-5054466
6,3-5054560
6,3-5055336
6,3-5057405
6,3-5057696
6,3-5059922
6,3-5059926
6,3-5059942
6,3-5059945
6,3-5059946
6,3-5059964
6,3-5059970
6,3-5059986
6,3-5059993
6,3-5059998
6,3-5060015
6,3-5060055
6,3-5060065
6,3-5060066
6,3-5060072
6,3-5060075
6,3-5060099
6,3-5060106
6,3-5060112
6,3-5060127
6,3-5060130
6,3-5060269
6,3-5060280
6,3-5060643
6,3-5060673
6,3-5060890
6,3-5060903
6,3-5061049
6,3-5061099
6,3-5061236
6,3-5061434
6,3-5061521
6,3-5062226
6,3-5062272
6,3-5062316
6,3-5062339
6,3-5062427
6,3-5062429
6,3-5062439
6,3-5062440
6,3-5062443
6,3-5062466
6,3-5062490
6,3-5062494
6,3-5062517
6,3-5062588
6,3-5062591
6,3-5062665
6,3-5062872
6,3-5064132
6,3-5172363
6,3-5295540
6,3-5295545
6,3-5295552
6,3-5322431
6,3-5328899
6,3-5374358
6,3-5380396
6,3-5391460
6,3-5405024
6,3-5409709
6,3-5444641
6,3-5457429
6,3-5458215
6,3-5464020
6,3-5465103
6,3-5474425
6,3-5495828
6,3-5552210
6,3-5578192
6,3-5627509
6,3-5677176
6,3-5680691
6,3-5765279
6,3-5788225
6,3-5796962
6,3-5885437
6,3-6031677
6,3-6109387
6,3-6251965
6,3-6251989
6,3-6273668
6,3-6322831
6,3-6389556
6,3-6479118
6,3-6826847
6,3-6883765
6,3-6884905
6,3-6886300
6,3-6887817
6,3-6899116
6,3-6899337
6,3-6910507
6,3-6920099
6,3-6926094
6,3-6939577
6,3-6940862
6,3-6940898
6,3-6944884
6,3-6945519
6,3-6945976
6,3-6950165
6,3-6950181
6,3-6950204
6,3-6950350
6,3-6955306
6,3-6972817
6,3-6977253
6,3-6979672
6,3-6996526
6,3-7010274
6,3-7049247
6,3-7050829
6,3-7051934
6,3-7052001
6,3-7102051
