score,document_id
10,3-5891651
8,3-8442446
6,3-5272890
6,3-5870695
6,3-6955078
6,3-7157605
4,3-5194817
4,3-7297618
4,3-8439339
2,3-5104157
2,3-5113632
2,3-5114034
2,3-5137838
2,3-5148704
2,3-5167439
2,3-5167926
2,3-5178279
2,3-5339480
2,3-5446260
2,3-5541082
2,3-5543750
2,3-5546660
2,3-5660884
2,3-5748618
2,3-5770115
2,3-5838213
2,3-5838315
2,3-5917027
2,3-5990517
2,3-6157576
2,3-6354455
2,3-6440731
2,3-6639864
2,3-6734043
2,3-6849761
2,3-6871325
2,3-6906831
2,3-6961850
2,3-7101387
2,3-7122892
2,3-7489296
2,3-7526516
2,3-7720242
2,3-8339816
2,3-8442946
