score,document_id
18,3-5772530
18,3-6995622
16,3-9270288
14,3-8010022
12,20-30616
12,3-8919790
10,20-104354
10,20-200138
10,20-30614
10,3-5710056
10,3-6752572
10,3-6783343
10,3-6883594
10,3-7666840
10,3-8362867
10,3-8363773
10,3-9451085
8,3-10293963
8,3-10462928
8,3-5291879
8,3-5674448
8,3-5749989
8,3-5821187
8,3-6123156
8,3-6215023
8,3-6278241
8,3-6446648
8,3-8296342
6,20-96852
6,3-10428464
6,3-10439127
6,3-5254840
6,3-5254980
6,3-5319284
6,3-5855214
6,3-5912390
6,3-6151295
6,3-6158526
6,3-6470669
6,3-6482560
6,3-6633836
6,3-6635421
6,3-6934579
6,3-7487571
6,3-9256563
6,3-9979819
4,20-161797
4,20-30618
4,3-10144783
4,3-10399283
4,3-10487022
4,3-5216799
4,3-5254719
4,3-5254751
4,3-5315712
4,3-5442982
4,3-5454584
4,3-5505587
4,3-5619679
4,3-5621385
4,3-5634402
4,3-5635656
4,3-5648513
4,3-5686712
4,3-5753823
4,3-5800398
4,3-5832639
4,3-5850726
4,3-5869770
4,3-5908643
4,3-5921116
4,3-6094890
4,3-6119106
4,3-6130699
4,3-6215249
4,3-6882492
4,3-7916133
4,3-8411004
4,3-8411311
4,3-8903434
4,3-9515825
4,3-9880385
2,20-100990
2,20-104801
2,20-109331
2,20-113862
2,20-124188
2,20-31475
2,20-45127
2,20-52519
2,20-70053
2,20-75959
2,3-10078252
2,3-10280552
2,3-10292830
2,3-10295657
2,3-10309502
2,3-10424790
2,3-10429629
2,3-5055234
2,3-5133120
2,3-5147598
2,3-5150723
2,3-5158549
2,3-5194171
2,3-5220546
2,3-5252805
2,3-5272770
2,3-5315416
2,3-5411625
2,3-5412176
2,3-5442639
2,3-5466760
2,3-5494607
2,3-5514000
2,3-5526050
2,3-5526487
2,3-5531992
2,3-5548528
2,3-5550890
2,3-5597094
2,3-5605472
2,3-5607623
2,3-5615184
2,3-5615340
2,3-5620369
2,3-5620476
2,3-5622162
2,3-5623660
2,3-5631057
2,3-5633760
2,3-5679211
2,3-5686164
2,3-5723240
2,3-5753922
2,3-5753996
2,3-5759979
2,3-5760017
2,3-5788067
2,3-5800610
2,3-5804677
2,3-5811629
2,3-5818772
2,3-5848463
2,3-5869692
2,3-5870088
2,3-5870469
2,3-5870473
2,3-5891634
2,3-5891830
2,3-5891894
2,3-5898479
2,3-5914209
2,3-5921263
2,3-5921809
2,3-5955658
2,3-6080927
2,3-6094849
2,3-6097716
2,3-6098107
2,3-6132772
2,3-6150997
2,3-6151409
2,3-6179214
2,3-6198126
2,3-6198407
2,3-6198702
2,3-6224162
2,3-6224389
2,3-6276954
2,3-6341034
2,3-6388258
2,3-6400330
2,3-6459097
2,3-6474514
2,3-6484600
2,3-6543668
2,3-6544073
2,3-6747327
2,3-6811284
2,3-6840954
2,3-6919206
2,3-6932184
2,3-6935084
2,3-6971465
2,3-6975008
2,3-6990920
2,3-6991304
2,3-7172589
2,3-7293983
2,3-7693492
2,3-7726446
2,3-8442290
2,3-8563020
2,3-9230276
2,3-9256817
2,3-9434193
2,3-9557620
2,3-9558289
2,3-9641624
2,3-9642258
2,3-9686044
2,3-9915148
2,3-9979467
2,3-9979901
2,3-9979948
2,3-9998682
