score,document_id
26,3-5337528
14,3-5414828
10,20-100363
10,3-10528984
10,3-10546868
10,3-5345351
10,3-5899589
10,3-7893911
8,20-128103
8,3-5324894
8,3-5366702
8,3-5764530
8,3-5764532
8,3-9340817
6,3-10527536
6,3-10538774
6,3-10541841
6,3-10546224
6,3-5110886
6,3-5265176
6,3-5305628
6,3-5338760
6,3-5338773
6,3-5362821
6,3-5635433
6,3-5714634
6,3-5889608
6,3-5893682
6,3-5912487
6,3-6318072
6,3-6353647
6,3-7189652
6,3-7263814
6,3-8059941
4,3-10526533
4,3-5082056
4,3-5246231
4,3-5248441
4,3-5248453
4,3-5286093
4,3-5370557
4,3-5508280
4,3-5525726
4,3-5543030
4,3-5553764
4,3-5588879
4,3-5627201
4,3-5684667
4,3-5714648
4,3-5768906
4,3-6020737
4,3-6133564
4,3-6154577
4,3-6515561
4,3-6558082
4,3-7788341
4,3-7794122
4,3-8236046
4,3-9255586
4,3-9585676
4,3-9941559
2,20-127839
2,20-128776
2,20-30286
2,20-30290
2,3-10531393
2,3-5069109
2,3-5070314
2,3-5072751
2,3-5082192
2,3-5102219
2,3-5109312
2,3-5120619
2,3-5124203
2,3-5132628
2,3-5133842
2,3-5136663
2,3-5137838
2,3-5141101
2,3-5141107
2,3-5142410
2,3-5151706
2,3-5151817
2,3-5154062
2,3-5156859
2,3-5159753
2,3-5164922
2,3-5166713
2,3-5167622
2,3-5173245
2,3-5177088
2,3-5178822
2,3-5179402
2,3-5181622
2,3-5182932
2,3-5217979
2,3-5220822
2,3-5224373
2,3-5243868
2,3-5243871
2,3-5244513
2,3-5244568
2,3-5245304
2,3-5246060
2,3-5250671
2,3-5252011
2,3-5263438
2,3-5263440
2,3-5265158
2,3-5286178
2,3-5308651
2,3-5312011
2,3-5330333
2,3-5342254
2,3-5343379
2,3-5343390
2,3-5345308
2,3-5346671
2,3-5362786
2,3-5364128
2,3-5372024
2,3-5487659
2,3-5515683
2,3-5530806
2,3-5531586
2,3-5549132
2,3-5561256
2,3-5566229
2,3-5578231
2,3-5581059
2,3-5624936
2,3-5637488
2,3-5650168
2,3-5651330
2,3-5664102
2,3-5674348
2,3-5676436
2,3-5714399
2,3-5743454
2,3-5744165
2,3-5750115
2,3-5755647
2,3-5766993
2,3-5767010
2,3-5768943
2,3-5771796
2,3-5787726
2,3-5787775
2,3-5860817
2,3-5864450
2,3-5891795
2,3-5891862
2,3-5898355
2,3-5907114
2,3-5907922
2,3-5972374
2,3-6085671
2,3-6131186
2,3-6132963
2,3-6153841
2,3-6154134
2,3-6158962
2,3-6164037
2,3-6251752
2,3-6316180
2,3-6336398
2,3-6336541
2,3-6357469
2,3-6372894
2,3-6373477
2,3-6381395
2,3-6412499
2,3-6416745
2,3-6419744
2,3-6432615
2,3-6470553
2,3-6524110
2,3-6615671
2,3-6773100
2,3-6880558
2,3-6882323
2,3-6889569
2,3-7735495
2,3-7767029
2,3-7792845
2,3-7894319
2,3-8058156
2,3-8234785
2,3-8595188
2,3-8597963
2,3-8792301
2,3-8934958
2,3-9515584
2,3-9556332
2,3-9890831
2,3-9897911
2,3-9942702
