score,document_id
16,3-5277766
14,3-5609598
14,3-7826633
12,3-5089412
10,3-5551606
10,3-5629511
10,3-5636314
10,3-5636861
10,3-5641267
10,3-6308748
10,3-6318460
10,3-7823486
8,3-5092174
8,3-5326280
8,3-5339691
8,3-5517794
8,3-5594463
8,3-5630046
8,3-5636040
8,3-5638378
8,3-5771288
8,3-5804764
6,3-5091422
6,3-5535524
6,3-5540800
6,3-5647837
6,3-5764110
6,3-5769302
6,3-5770856
6,3-5914320
6,3-5920940
6,3-5922170
6,3-6142796
6,3-6157813
6,3-9163418
4,20-29333
4,3-5089618
4,3-5245142
4,3-5279083
4,3-5342034
4,3-5572555
4,3-5610869
4,3-5637579
4,3-5673827
4,3-5757298
4,3-5763503
4,3-5769350
4,3-5807726
4,3-5920335
4,3-5996016
4,3-8106342
4,3-8287308
4,3-8918397
2,20-30286
2,20-30290
2,3-5057740
2,3-5089205
2,3-5103086
2,3-5105595
2,3-5112614
2,3-5126217
2,3-5126271
2,3-5126472
2,3-5128830
2,3-5128893
2,3-5131530
2,3-5137838
2,3-5149173
2,3-5151774
2,3-5178829
2,3-5217254
2,3-5219708
2,3-5226165
2,3-5241442
2,3-5252022
2,3-5272945
2,3-5313945
2,3-5320300
2,3-5328474
2,3-5372790
2,3-5427301
2,3-5525420
2,3-5621975
2,3-5639535
2,3-5644348
2,3-5755000
2,3-5759082
2,3-5766173
2,3-5783886
2,3-5810536
2,3-5813964
2,3-5836938
2,3-5838212
2,3-5838315
2,3-5866061
2,3-5866863
2,3-5869733
2,3-5890696
2,3-5946020
2,3-6212868
2,3-6317752
2,3-6335108
2,3-6552756
2,3-7251416
2,3-7479852
2,3-7895227
2,3-9380646
