score,document_id
14,3-9751842
10,3-7446119
10,3-7538583
10,3-9669362
8,3-6720154
8,3-7459541
6,3-6362579
6,3-6571145
6,3-7136274
6,3-7215571
6,3-7448446
6,3-7461177
6,3-7534079
6,3-8490891
6,3-9686208
4,3-6798033
4,3-6878834
4,3-7453396
4,3-9115161
4,3-9195185
2,3-5244569
2,3-5255042
2,3-5255733
2,3-5345824
2,3-5688021
2,3-6504744
2,3-6988562
2,3-7134160
2,3-7368095
2,3-7502875
2,3-7587966
2,3-7593285
2,3-7644134
2,3-7688092
2,3-7699159
2,3-7774836
2,3-7803698
2,3-7905470
2,3-7939494
2,3-7940119
2,3-7946097
2,3-8229210
2,3-8235803
2,3-8675055
2,3-9485503
2,3-9556406
2,3-9689847
2,3-9942906
