score,document_id
20,3-5898116
10,3-5345227
10,3-5356104
10,3-5647657
10,3-5654472
10,3-6670720
8,3-5893682
8,3-6080560
8,3-7939699
6,3-5060083
6,3-5071356
6,3-5355811
6,3-5359061
6,3-5362821
6,3-5899589
6,3-6678760
6,3-6734897
6,3-7316159
6,3-7599370
6,3-7633202
6,3-7658439
4,3-5063346
4,3-5095968
4,3-5398080
4,3-5467432
4,3-5529995
4,3-5563352
4,3-5627201
4,3-5870601
4,3-5962902
4,3-6515585
4,3-6662612
4,3-7063179
4,3-7829122
4,3-7891936
2,3-5059076
2,3-5250671
2,3-5252011
2,3-5328902
2,3-5334124
2,3-5337528
2,3-5344545
2,3-5344574
2,3-5353089
2,3-5359110
2,3-5362786
2,3-5365703
2,3-5370557
2,3-5405911
2,3-5409311
2,3-5440447
2,3-5451299
2,3-5453697
2,3-5525726
2,3-5549132
2,3-5564686
2,3-5588879
2,3-5635433
2,3-5637488
2,3-5732714
2,3-5778590
2,3-5862054
2,3-5862099
2,3-5871163
2,3-5891862
2,3-5892508
2,3-5907114
2,3-5907922
2,3-5963956
2,3-6082562
2,3-6131186
2,3-6150965
2,3-6158775
2,3-6224546
2,3-6279369
2,3-6294034
2,3-6436231
2,3-6526193
2,3-6682768
2,3-6813659
2,3-6816454
2,3-6838938
2,3-6924779
2,3-7063559
2,3-7066038
2,3-7069391
2,3-7134142
2,3-7444705
2,3-7445491
2,3-7548649
2,3-7672019
2,3-7686594
2,3-7767029
2,3-7827940
2,3-7829549
2,3-7863355
2,3-8821041
2,3-8824992
2,3-8919400
2,3-9255586
2,3-9292012
2,3-9347930
2,3-9352920
2,3-9506807
2,3-9516389
